Player,Game,Pts*,XPA,XPM,FGA,FGM,50+
Jason MyersJ. Myers,WAS@SEA,17.00,2,2,5,5,0
Matt PraterM. Prater,ATL@ARI,17.00,1,1,4,4,2
Greg ZuerleinG. Zuerlein,NYJ@LV,14.00,0,0,4,4,1
Dustin HopkinsD. Hopkins,CLE@BAL,13.00,2,1,4,4,0
Matt AmmendolaM. Ammendola,HOU@CIN,12.00,3,3,3,3,0
Daniel CarlsonD. Carlson,NYJ@LV,12.00,1,1,3,3,1
Wil LutzW. Lutz,DEN@BUF,12.00,1,0,4,4,0
Cairo SantosC. Santos,CAR@CHI,12.00,1,1,3,3,1
Chris BoswellC. Boswell,GB@PIT,11.00,2,2,3,3,0
Evan McPhersonE. McPherson,HOU@CIN,11.00,3,3,2,2,1
Riley PattersonR. Patterson,DET@LAC,11.00,5,5,2,2,0
Jake MoodyJ. Moody,SF@JAX,10.00,4,4,2,2,0
Greg JosephG. Joseph,NO@MIN,9.00,3,3,3,2,0
Cameron DickerC. Dicker,DET@LAC,8.00,5,5,1,1,0
Chase McLaughlinC. McLaughlin,TEN@TB,8.00,2,2,2,2,0
Joey SlyeJ. Slye,WAS@SEA,8.00,3,2,2,2,0
Brandon AubreyB. Aubrey,NYG@DAL,7.00,7,7,0,0,0
Anders CarlsonA. Carlson,GB@PIT,7.00,2,1,2,2,0
Eddy PineiroE. Pineiro,CAR@CHI,7.00,1,1,3,2,0
Justin TuckerJ. Tucker,CLE@BAL,7.00,4,4,2,1,0
Nick FolkN. Folk,TEN@TB,6.00,0,0,3,2,0
Matt GayM. Gay,IND@NE,6.00,1,1,2,1,1
Chad RylandC. Ryland,IND@NE,6.00,0,0,3,2,0
Randy BullockR. Bullock,NYG@DAL,5.00,2,2,1,1,0
Younghoe KooY. Koo,ATL@ARI,5.00,2,2,1,1,0
Blake GrupeB. Grupe,NO@MIN,3.00,0,0,1,1,0
Brandon McManusB. McManus,SF@JAX,3.00,0,0,1,1,0
Tyler BassT. Bass,DEN@BUF,2.00,2,2,0,0,0
