Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Green Bay PackersGreen Bay,@ TEN,24,8.0,2,0,1,0,1,14,204,33,237
New York JetsNY Jets,vs NE,19,7.0,0,0,1,0,0,3,61,78,139
Denver BroncosDenver,@ TB,18,7.0,1,0,1,0,0,7,132,91,223
Buffalo BillsBuffalo,vs JAX,16,5.0,1,0,1,0,0,10,147,92,239
New York GiantsNY Giants,@ CLE,16,8.0,0,0,2,0,0,15,148,69,217
Seattle SeahawksSeattle,vs MIA,16,6.0,0,0,0,0,0,3,140,65,205
Minnesota VikingsMinnesota,vs HOU,16,5.0,2,0,0,0,0,7,258,38,296
New Orleans SaintsNew Orleans,vs PHI,14,4.0,1,0,1,1,0,15,288,172,460
Indianapolis ColtsIndianapolis,vs CHI,14,4.0,2,0,1,0,0,16,332,63,395
Pittsburgh SteelersPittsburgh,vs LAC,12,5.0,0,0,0,0,0,10,105,61,166
Philadelphia EaglesPhiladelphia,@ NO,10,1.0,1,0,0,0,0,12,130,89,219
Detroit LionsDetroit,@ ARI,10,1.0,1,0,0,0,0,13,200,77,277
Los Angeles ChargersLA Chargers,@ PIT,8,2.0,1,0,0,0,0,20,232,114,346
Miami DolphinsMiami,@ SEA,8,3.0,2,0,0,0,0,24,270,100,370
Kansas City ChiefsKansas City,@ ATL,8,2.0,1,0,0,0,0,17,229,82,311
Arizona CardinalsArizona,vs DET,8,2.0,1,0,0,0,0,20,186,187,373
Cleveland BrownsCleveland,vs NYG,7,2.0,0,0,2,0,0,21,228,112,340
Chicago BearsChicago,@ IND,6,1.0,2,0,0,0,0,21,156,150,306
Carolina PanthersCarolina,@ LV,6,3.0,1,0,0,0,0,22,276,55,331
Baltimore RavensBaltimore,@ DAL,6,3.0,0,0,1,0,0,25,361,51,412
Los Angeles RamsLA Rams,vs SF,4,1.0,0,0,1,0,0,24,288,137,425
Houston TexansHouston,@ MIN,4,4.0,0,0,0,0,0,34,156,118,274
San Francisco 49ersSan Francisco,@ LA,4,3.0,0,0,0,0,0,27,198,98,296
Tampa Bay BuccaneersTampa Bay,vs DEN,3,0.0,0,0,1,0,0,26,216,136,352
Tennessee TitansTennessee,vs GB,3,3.0,0,0,0,0,0,30,190,188,378
Atlanta FalconsAtlanta,vs KC,3,0.0,1,0,0,0,0,22,217,128,345
New England PatriotsNew England,@ NYJ,3,2.0,0,0,0,0,0,24,267,133,400
Las Vegas RaidersLas Vegas,vs CAR,2,2.0,0,0,0,0,0,36,306,131,437
Jacksonville JaguarsJacksonville,@ BUF,2,0.0,0,0,0,1,0,47,266,122,388
Cincinnati BengalsCincinnati,vs WAS,2,2.0,0,0,0,0,0,38,248,108,356
Washington CommandersWashington,@ CIN,2,2.0,0,0,0,0,0,33,312,124,436
Dallas CowboysDallas,vs BAL,0,0.0,0,0,0,0,0,28,182,274,456
