Player,Game,Pts*,XPA,XPM,FGA,FGM,50+
Greg ZuerleinG. Zuerlein,NYJ@DEN,17.00,2,2,5,5,0
Cairo SantosC. Santos,CHI@WAS,16.00,4,4,4,4,0
Blake GrupeB. Grupe,NO@NE,14.00,4,4,2,2,2
Ka'imi FairbairnK. Fairbairn,HOU@ATL,13.00,1,1,4,4,0
Nick FolkN. Folk,TEN@IND,12.00,1,1,3,3,1
Graham GanoG. Gano,NYG@MIA,12.00,1,1,4,3,1
Jake ElliottJ. Elliott,PHI@LA,11.00,2,2,3,3,0
Matt GayM. Gay,TEN@IND,11.00,2,2,3,3,0
Evan McPhersonE. McPherson,CIN@ARI,10.00,4,4,2,2,0
Chris BoswellC. Boswell,BAL@PIT,9.00,0,0,3,3,0
Harrison ButkerH. Butker,KC@MIN,9.00,3,3,2,2,0
Greg JosephG. Joseph,KC@MIN,8.00,2,2,2,2,0
Joey SlyeJ. Slye,CHI@WAS,8.00,0,0,3,2,1
Anders CarlsonA. Carlson,GB@LV,7.00,1,1,2,2,0
Younghoe KooY. Koo,HOU@ATL,7.00,1,1,2,2,0
Wil LutzW. Lutz,NYJ@DEN,7.00,1,1,2,2,0
Jason SandersJ. Sanders,NYG@MIA,7.00,4,4,1,1,0
Brandon AubreyB. Aubrey,DAL@SF,6.00,1,1,1,1,1
Jake MoodyJ. Moody,DAL@SF,6.00,6,6,0,0,0
Riley PattersonR. Patterson,CAR@DET,6.00,6,6,0,0,0
Eddy PineiroE. Pineiro,CAR@DET,6.00,3,3,1,1,0
Daniel CarlsonD. Carlson,GB@LV,5.00,2,2,3,1,0
Brandon McManusB. McManus,JAX@BUF,5.00,2,2,1,1,0
Justin TuckerJ. Tucker,BAL@PIT,4.00,1,1,1,1,0
Tyler BassT. Bass,JAX@BUF,2.00,2,2,0,0,0
Brett MaherB. Maher,PHI@LA,2.00,2,2,0,0,0
Matt PraterM. Prater,CIN@ARI,2.00,3,2,0,0,0
Chad RylandC. Ryland,NO@NE,0.00,0,0,1,0,0
