Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Dallas CowboysDallas,@ WAS,23,4.0,2,0,1,0,2,26,267,145,412
Seattle SeahawksSeattle,vs ARI,23,5.0,1,0,0,0,1,6,249,49,298
Houston TexansHouston,vs TEN,20,8.0,1,0,2,0,1,32,237,132,369
Green Bay PackersGreen Bay,vs SF,15,2.0,1,0,2,0,0,10,197,44,241
Tampa Bay BuccaneersTampa Bay,@ NYG,13,4.0,0,0,1,0,0,7,169,76,245
Denver BroncosDenver,@ LV,13,5.0,1,0,1,0,0,19,300,69,369
Miami DolphinsMiami,vs NE,12,4.0,1,0,1,0,0,15,183,86,269
Arizona CardinalsArizona,@ SEA,11,5.0,1,0,0,0,0,16,220,65,285
Tennessee TitansTennessee,@ HOU,11,4.0,2,1,0,0,0,27,220,40,260
Philadelphia EaglesPhiladelphia,@ LA,11,5.0,0,0,1,0,0,20,198,92,290
Cleveland BrownsCleveland,vs PIT,10,4.0,0,0,1,0,0,19,248,120,368
Detroit LionsDetroit,@ IND,10,0.0,0,0,0,0,0,6,172,96,268
New England PatriotsNew England,@ MIA,10,2.0,0,0,1,0,1,34,308,65,373
Pittsburgh SteelersPittsburgh,@ CLE,8,1.0,1,0,2,0,0,24,219,85,304
Minnesota VikingsMinnesota,@ CHI,8,3.0,0,0,1,1,0,27,320,78,398
Washington CommandersWashington,vs DAL,5,1.0,0,0,1,1,0,34,241,91,332
Chicago BearsChicago,vs MIN,5,3.0,0,0,1,0,0,30,328,124,452
Carolina PanthersCarolina,vs KC,5,5.0,0,0,0,0,0,30,226,165,391
Baltimore RavensBaltimore,@ LAC,5,4.0,0,0,0,0,0,23,202,83,285
Indianapolis ColtsIndianapolis,vs DET,4,3.0,0,0,0,0,0,24,253,137,390
Kansas City ChiefsKansas City,@ CAR,3,2.0,0,0,0,0,0,27,249,85,334
New York GiantsNY Giants,vs TB,2,0.0,0,0,1,0,0,30,294,157,451
San Francisco 49ersSan Francisco,@ GB,2,2.0,0,0,0,0,0,38,156,169,325
Las Vegas RaidersLas Vegas,vs DEN,1,1.0,0,0,0,0,0,29,262,63,325
Los Angeles ChargersLA Chargers,vs BAL,1,1.0,0,0,0,0,0,30,177,212,389
Los Angeles RamsLA Rams,vs PHI,1,1.0,0,0,0,0,0,37,167,314,481
