Player,Game,Pts*,Passing_Att,Passing_Cmp,Passing_Yds,Passing_TD,Passing_Int,Passing_2Pt,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_2Pt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_2Pt,Fumble_FL,Fumble_TD
Josh AllenJ. Allen,BUF@TB,38.00,54,36,308,2,1,0,12,109,1,0,0,0,0,0,0,0
Aaron RodgersA. Rodgers,CHI@GB,37.00,37,29,341,4,0,0,1,0,0,0,0,0,0,0,0,0
Tom BradyT. Brady,BUF@TB,33.00,46,31,363,2,0,0,7,16,1,0,0,0,0,0,0,0
Dalvin CookD. Cook,PIT@MIN,33.00,0,0,0,0,0,0,27,205,2,0,1,17,0,0,0,0
Justin HerbertJ. Herbert,NYG@LAC,30.00,31,23,275,3,0,0,4,19,0,0,0,0,0,0,0,0
Ben RoethlisbergerB. Roethlisberger,PIT@MIN,30.00,40,28,308,3,1,1,1,5,0,0,0,0,0,0,0,0
Matthew StaffordM. Stafford,LA@ARI,29.00,30,23,287,3,0,0,0,0,0,0,0,0,0,0,0,0
Taysom HillT. Hill,NO@NYJ,26.00,21,15,175,0,0,0,11,73,2,0,0,0,0,0,0,0
Joe BurrowJ. Burrow,SF@CIN,25.00,34,25,348,2,0,0,2,3,0,0,0,0,0,0,0,0
Rashaad PennyR. Penny,SEA@HOU,25.00,0,0,0,0,0,0,16,137,2,0,1,1,0,0,0,0
Davante AdamsD. Adams,CHI@GB,24.00,0,0,0,0,0,0,0,0,0,0,10,121,2,0,0,0
James ConnerJ. Conner,LA@ARI,24.00,0,0,0,0,0,0,13,31,2,0,9,94,0,0,0,0
Patrick MahomesP. Mahomes,LV@KC,24.00,24,20,258,2,0,0,4,20,0,0,0,0,0,0,0,0
Russell WilsonR. Wilson,SEA@HOU,24.00,28,17,260,2,0,1,2,8,0,0,0,0,0,0,0,0
Jimmy GaroppoloJ. Garoppolo,SF@CIN,23.00,41,27,296,2,0,0,1,3,0,0,0,0,0,0,0,0
Melvin GordonM. Gordon,DET@DEN,23.00,0,0,0,0,0,0,24,111,2,0,0,0,0,0,0,0
Justin FieldsJ. Fields,CHI@GB,22.00,33,18,224,2,2,0,9,74,0,0,0,0,0,0,1,0
Mike GlennonM. Glennon,NYG@LAC,22.00,36,17,191,2,1,0,1,7,1,0,0,0,0,0,1,0
Najee HarrisN. Harris,PIT@MIN,22.00,0,0,0,0,0,0,20,94,1,0,3,10,1,0,0,0
Tyler LockettT. Lockett,SEA@HOU,22.00,0,0,0,0,0,0,0,0,0,0,5,142,1,1,0,0
George KittleG. Kittle,SF@CIN,21.00,0,0,0,0,0,0,0,0,0,0,13,151,1,0,0,0
Alvin KamaraA. Kamara,NO@NYJ,20.00,0,0,0,0,0,0,27,120,1,0,4,25,0,0,0,0
Javonte WilliamsJ. Williams,DET@DEN,20.00,0,0,0,0,0,0,15,73,1,0,1,10,1,0,0,0
Teddy BridgewaterT. Bridgewater,DET@DEN,19.00,25,18,179,2,0,0,0,0,0,0,0,0,0,0,0,0
Ja'Marr ChaseJ. Chase,SF@CIN,19.00,0,0,0,0,0,0,1,6,0,0,5,77,2,0,0,0
Davis MillsD. Mills,SEA@HOU,19.00,49,33,331,1,0,0,2,8,0,0,0,0,0,0,0,0
Leonard FournetteL. Fournette,BUF@TB,18.00,0,0,0,0,0,0,19,113,1,0,4,19,0,0,0,0
Tyler HuntleyT. Huntley,BAL@CLE,18.00,38,27,270,1,0,0,6,45,0,0,0,0,0,0,2,0
Aaron JonesA. Jones,CHI@GB,18.00,0,0,0,0,0,0,5,35,1,0,3,30,1,0,0,0
Cooper KuppC. Kupp,LA@ARI,18.00,0,0,0,0,0,0,0,0,0,0,13,123,1,0,0,0
Baker MayfieldB. Mayfield,BAL@CLE,18.00,32,22,190,2,1,0,6,14,0,0,0,0,0,0,0,0
Mark AndrewsM. Andrews,BAL@CLE,17.00,0,0,0,0,0,0,0,0,0,0,11,115,1,0,0,0
Kirk CousinsK. Cousins,PIT@MIN,17.00,31,14,216,2,2,0,2,14,0,0,0,0,0,0,0,0
Kyler MurrayK. Murray,LA@ARI,17.00,49,32,383,0,2,0,7,61,0,0,0,0,0,0,0,0
Hunter RenfrowH. Renfrow,LV@KC,16.00,0,0,0,0,0,0,0,0,0,0,13,117,1,0,1,0
Saquon BarkleyS. Barkley,NYG@LAC,15.00,0,0,0,0,0,0,16,64,0,0,3,31,1,0,0,0
Clyde Edwards-HelaireC. Edwards-Helaire,LV@KC,15.00,0,0,0,0,0,0,10,37,2,0,3,5,0,0,0,0
Mike EvansM. Evans,BUF@TB,15.00,0,0,0,0,0,0,0,0,0,0,6,91,1,0,0,0
Ryan TannehillR. Tannehill,JAX@TEN,15.00,31,20,191,0,0,0,4,29,1,0,0,0,0,0,0,0
Robbie ChosenR. Chosen,ATL@CAR,14.00,0,0,0,0,0,0,0,0,0,0,7,84,1,0,0,0
Derrick GoreD. Gore,LV@KC,14.00,0,0,0,0,0,0,9,66,1,0,2,23,0,0,0,0
Jalen GuytonJ. Guyton,NYG@LAC,14.00,0,0,0,0,0,0,0,0,0,0,3,87,1,0,0,0
Allen LazardA. Lazard,CHI@GB,14.00,0,0,0,0,0,0,1,14,0,0,6,75,1,0,0,0
Cam NewtonC. Newton,ATL@CAR,14.00,23,15,178,0,1,0,10,47,1,0,0,0,0,0,1,0
K.J. OsbornK. Osborn,PIT@MIN,14.00,0,0,0,0,0,0,0,0,0,0,3,83,1,0,0,0
Odell Beckham Jr.O. Beckham,LA@ARI,13.00,0,0,0,0,0,0,0,0,0,0,6,77,1,0,0,0
Damiere ByrdD. Byrd,CHI@GB,13.00,0,0,0,0,0,0,0,0,0,0,2,76,1,0,0,0
Derek CarrD. Carr,LV@KC,13.00,45,33,263,1,1,0,0,0,0,0,0,0,0,0,1,0
Austin EkelerA. Ekeler,NYG@LAC,13.00,0,0,0,0,0,0,12,67,1,0,2,17,0,0,0,0
Jared GoffJ. Goff,DET@DEN,13.00,39,24,215,1,1,0,2,10,0,0,0,0,0,0,0,0
