Player,Game,Pts*,Passing_Att,Passing_Cmp,Passing_Yds,Passing_TD,Passing_Int,Passing_2Pt,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_2Pt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_2Pt,Fumble_FL,Fumble_TD
Jared GoffJ. Goff,JAX@DET,42.00,29,24,412,4,0,0,4,21,0,0,0,0,0,0,0,0
Bo NixB. Nix,ATL@DEN,36.00,33,28,307,4,0,0,2,5,0,0,0,0,0,0,0,0
Matthew StaffordM. Stafford,LA@NE,35.00,27,18,295,4,0,0,4,0,0,0,0,0,0,0,0,0
Joe BurrowJ. Burrow,CIN@LAC,34.00,50,28,356,3,0,0,2,28,0,0,0,0,0,0,0,0
Taysom HillT. Hill,CLE@NO,33.00,2,1,18,0,1,0,7,138,3,0,8,50,0,0,1,0
Joe MixonJ. Mixon,HOU@DAL,32.00,0,0,0,0,0,0,20,109,3,0,2,44,0,0,0,0
Saquon BarkleyS. Barkley,WAS@PHI,31.00,0,0,0,0,0,0,26,146,2,0,2,52,0,0,0,0
Anthony RichardsonA. Richardson,IND@NYJ,30.00,30,20,272,1,0,0,10,32,2,0,0,0,0,0,1,0
Tua TagovailoaT. Tagovailoa,LV@MIA,29.00,36,28,288,3,0,0,0,0,0,0,0,0,0,0,0,0
Jameis WinstonJ. Winston,CLE@NO,29.00,46,30,395,2,0,1,1,8,0,0,0,0,0,0,0,0
Justin HerbertJ. Herbert,CIN@LAC,28.00,36,17,297,2,0,0,5,65,0,0,0,0,0,0,1,0
Amon-Ra St. BrownA. St. Brown,JAX@DET,28.00,0,0,0,0,0,0,1,-4,0,0,11,161,2,0,0,0
Sam DarnoldS. Darnold,MIN@TEN,27.00,32,20,246,2,0,0,8,18,1,0,0,0,0,0,1,0
Josh AllenJ. Allen,KC@BUF,25.00,40,27,262,1,1,0,12,55,1,0,0,0,0,0,0,0
Breece HallB. Hall,IND@NYJ,23.00,0,0,0,0,0,0,16,78,1,0,7,43,1,0,0,0
Cooper KuppC. Kupp,LA@NE,22.00,0,0,0,0,0,0,0,0,0,0,6,106,2,0,0,0
Drake MayeD. Maye,LA@NE,22.00,39,29,282,2,1,0,3,27,0,0,0,0,0,0,1,0
Jonnu SmithJ. Smith,LV@MIA,22.00,0,0,0,0,0,0,0,0,0,0,6,101,2,0,0,0
Derek CarrD. Carr,CLE@NO,21.00,27,21,248,2,0,0,1,8,0,0,0,0,0,0,0,0
Jordan LoveJ. Love,GB@CHI,21.00,17,13,261,1,1,0,4,18,1,0,0,0,0,0,0,0
Patrick MahomesP. Mahomes,KC@BUF,21.00,33,23,196,3,2,0,0,0,0,0,0,0,0,0,0,0
Gardner MinshewG. Minshew,LV@MIA,21.00,43,30,282,2,1,0,2,7,0,0,0,0,0,0,0,0
David MontgomeryD. Montgomery,JAX@DET,21.00,0,0,0,0,0,0,15,75,2,0,3,20,0,0,0,0
Tee HigginsT. Higgins,CIN@LAC,20.00,0,0,0,0,0,0,0,0,0,0,9,148,1,0,0,0
Jerry JeudyJ. Jeudy,CLE@NO,20.00,0,0,0,0,0,0,0,0,0,0,6,142,1,0,0,0
Brock PurdyB. Purdy,SEA@SF,20.00,28,21,159,1,1,0,5,40,1,0,0,0,0,0,0,0
Ja'Marr ChaseJ. Chase,CIN@LAC,19.00,0,0,0,0,0,0,0,0,0,0,7,75,2,0,0,0
Aaron RodgersA. Rodgers,IND@NYJ,19.00,29,22,184,2,0,0,1,7,0,0,0,0,0,0,0,0
