Player,Game,Pts*,Passing_Att,Passing_Cmp,Passing_Yds,Passing_TD,Passing_Int,Passing_2Pt,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_2Pt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_2Pt,Fumble_FL,Fumble_TD
Josh AllenJ. Allen,MIA@BUF,44.00,40,25,304,4,0,0,10,77,0,1,0,0,0,0,1,0
Kirk CousinsK. Cousins,IND@MIN,40.00,54,34,460,4,2,1,2,0,0,0,0,0,0,0,0,0
Patrick MahomesP. Mahomes,KC@HOU,36.00,41,36,336,2,0,1,5,33,1,0,0,0,0,0,0,0
Trevor LawrenceT. Lawrence,DAL@JAX,35.00,42,27,318,4,1,0,3,21,0,0,0,0,0,0,1,0
Jalen HurtsJ. Hurts,PHI@CHI,34.00,37,22,315,0,2,0,17,61,3,1,0,0,0,0,0,0
Joe BurrowJ. Burrow,CIN@TB,32.00,39,27,200,4,1,1,3,8,0,0,0,0,0,0,0,0
Zay JonesZ. Jones,DAL@JAX,28.00,0,0,0,0,0,0,0,0,0,0,6,109,3,0,0,0
Justin FieldsJ. Fields,PHI@CHI,27.00,21,14,152,2,0,0,15,95,0,0,0,0,0,0,0,0
Jerick McKinnonJ. McKinnon,KC@HOU,26.00,0,0,0,0,0,0,10,52,1,0,8,70,1,1,0,0
Dak PrescottD. Prescott,DAL@JAX,26.00,30,23,256,3,2,0,5,20,0,0,0,0,0,0,0,0
Derek CarrD. Carr,NE@LV,25.00,38,20,231,3,1,0,0,0,0,0,0,0,0,0,0,0
Tom BradyT. Brady,CIN@TB,24.00,44,30,312,3,2,0,2,1,0,0,0,0,0,0,2,0
Dalvin CookD. Cook,IND@MIN,23.00,0,0,0,0,0,0,17,95,0,0,4,95,1,0,1,0
Davis MillsD. Mills,KC@HOU,23.00,24,12,121,2,0,0,5,21,1,0,0,0,0,0,1,0
Rhamondre StevensonR. Stevenson,NE@LV,23.00,0,0,0,0,0,0,19,172,1,0,2,-4,0,0,0,0
Zach WilsonZ. Wilson,DET@NYJ,22.00,35,18,317,2,1,0,3,7,0,0,0,0,0,0,0,0
Tyler AllgeierT. Allgeier,ATL@NO,21.00,0,0,0,0,0,0,17,139,1,1,1,-3,0,0,0,0
Derrick HenryD. Henry,TEN@LAC,21.00,0,0,0,0,0,0,21,104,1,0,4,59,0,0,0,0
George KittleG. Kittle,SF@SEA,21.00,0,0,0,0,0,0,0,0,0,0,4,93,2,0,0,0
K.J. OsbornK. Osborn,IND@MIN,21.00,0,0,0,0,0,0,0,0,0,0,10,157,1,0,0,0
Tua TagovailoaT. Tagovailoa,MIA@BUF,21.00,30,17,234,2,0,0,1,7,0,0,0,0,0,0,0,0
