Player,Game,Pts*,XPA,XPM,FGA,FGM,50+
Joey SlyeJ. Slye,WAS@PHI,18.00,2,2,4,4,2
Eddy PineiroE. Pineiro,ATL@CAR,13.00,2,1,4,4,0
Tyler BassT. Bass,MIN@BUF,12.00,3,3,3,3,0
Cameron DickerC. Dicker,LAC@SF,10.00,1,1,3,3,0
Ka'imi FairbairnK. Fairbairn,HOU@NYG,10.00,1,1,3,3,0
Robbie GouldR. Gould,LAC@SF,10.00,2,1,3,3,0
Greg JosephG. Joseph,MIN@BUF,9.00,4,3,2,2,0
Jason SandersJ. Sanders,CLE@MIA,9.00,5,3,2,2,0
Tristan VizcainoT. Vizcaino,ARI@LA,9.00,3,3,2,2,0
Matthew WrightM. Wright,NO@PIT,8.00,2,2,4,2,0
Michael BadgleyM. Badgley,DET@CHI,7.00,4,4,1,1,0
Mason CrosbyM. Crosby,DAL@GB,7.00,4,4,2,1,0
Chase McLaughlinC. McLaughlin,IND@LV,7.00,1,1,3,2,0
Graham GanoG. Gano,HOU@NYG,6.00,3,3,1,1,0
Jason MyersJ. Myers,SEA@TB,6.00,1,1,1,1,1
Cairo SantosC. Santos,DET@CHI,6.00,4,3,1,1,0
Randy BullockR. Bullock,DEN@TEN,5.00,2,2,1,1,0
Matt GayM. Gay,ARI@LA,5.00,2,2,1,1,0
Riley PattersonR. Patterson,JAX@KC,5.00,2,2,3,1,0
Cade YorkC. York,CLE@MIA,5.00,2,2,1,1,0
Wil LutzW. Lutz,NO@PIT,4.00,1,1,1,1,0
Brett MaherB. Maher,DAL@GB,4.00,4,4,0,0,0
Brandon McManusB. McManus,DEN@TEN,4.00,1,1,1,1,0
Harrison ButkerH. Butker,JAX@KC,3.00,4,3,0,0,0
Jake ElliottJ. Elliott,WAS@PHI,3.00,3,3,0,0,0
Younghoe KooY. Koo,ATL@CAR,3.00,2,0,1,1,0
Ryan SuccopR. Succop,SEA@TB,3.00,3,3,1,0,0
Daniel CarlsonD. Carlson,IND@LV,2.00,2,2,0,0,0
