Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Baltimore RavensBaltimore,vs CIN,29,7.0,1,0,2,0,1,3,135,70,205
Los Angeles RamsLA Rams,@ WAS,15,8.0,0,0,0,0,0,10,70,38,108
Miami DolphinsMiami,@ SF,15,5.0,2,0,1,0,0,17,128,131,259
Cleveland BrownsCleveland,vs IND,14,1.0,2,1,0,0,1,23,240,68,308
Houston TexansHouston,vs JAX,12,4.0,0,0,2,0,0,14,289,75,364
New York GiantsNY Giants,@ DAL,12,2.0,1,0,1,0,1,37,276,126,402
Indianapolis ColtsIndianapolis,@ CLE,11,1.0,2,0,0,0,1,32,261,124,385
Tennessee TitansTennessee,vs BUF,11,1.0,2,0,1,0,0,16,275,95,370
Dallas CowboysDallas,vs NYG,10,2.0,0,0,1,0,1,34,211,89,300
Arizona CardinalsArizona,@ NYJ,10,3.0,0,0,0,0,0,10,162,123,285
Pittsburgh SteelersPittsburgh,vs PHI,9,5.0,2,0,0,0,0,29,242,94,336
Chicago BearsChicago,vs TB,9,3.0,0,0,1,0,0,19,233,106,339
Tampa Bay BuccaneersTampa Bay,@ CHI,9,3.0,1,0,0,0,0,20,208,35,243
Seattle SeahawksSeattle,vs MIN,8,3.0,1,0,1,0,0,26,248,201,449
Carolina PanthersCarolina,@ ATL,8,2.0,1,0,0,0,0,16,207,166,373
Minnesota VikingsMinnesota,@ SEA,7,4.0,1,0,0,0,0,27,190,124,314
Jacksonville JaguarsJacksonville,@ HOU,5,1.0,2,0,0,0,0,30,357,129,486
Las Vegas RaidersLas Vegas,@ KC,5,3.0,1,0,0,0,0,32,333,80,413
New Orleans SaintsNew Orleans,vs LAC,4,3.0,0,0,0,0,0,27,239,111,350
Cincinnati BengalsCincinnati,@ BAL,4,1.0,1,0,0,0,0,27,171,161,332
Los Angeles ChargersLA Chargers,@ NO,4,2.0,1,0,0,0,0,30,313,95,408
Washington Football TeamWashington,vs LA,3,1.0,1,0,0,0,0,30,300,129,429
Philadelphia EaglesPhiladelphia,@ PIT,3,1.0,0,0,1,0,0,38,231,136,367
New York JetsNY Jets,vs ARI,3,1.0,1,0,0,0,0,30,369,127,496
Kansas City ChiefsKansas City,vs LV,3,1.0,1,0,0,0,0,40,346,144,490
San Francisco 49ersSan Francisco,vs MIA,2,2.0,0,0,0,0,0,43,342,94,436
Atlanta FalconsAtlanta,vs CAR,1,0.0,0,0,0,0,0,23,313,124,437
Buffalo BillsBuffalo,@ TEN,0,0.0,0,0,0,0,0,42,195,139,334
