Team,Game,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Buffalo BillsBUF,BUF@WAS,35.00,9.0,4,0,1,0,1,3,125,105,230
Detroit LionsDET,ATL@DET,19.00,7.0,0,0,1,0,0,6,139,44,183
Houston TexansHOU,HOU@JAX,16.00,0.0,1,0,1,1,1,17,288,116,404
Philadelphia EaglesPHI,PHI@TB,15.00,2.0,1,1,1,0,0,11,133,41,174
Cleveland BrownsCLE,TEN@CLE,15.00,5.0,0,0,0,0,0,3,68,26,94
Cincinnati BengalsCIN,LA@CIN,14.00,6.0,2,0,0,0,0,16,221,71,292
Kansas City ChiefsKC,CHI@KC,14.00,3.0,1,0,1,0,0,10,87,116,203
Pittsburgh SteelersPIT,PIT@LV,14.00,4.0,3,0,0,0,0,18,293,69,362
New Orleans SaintsNO,NO@GB,13.00,1.0,1,0,0,0,1,18,245,95,340
Indianapolis ColtsIND,IND@BAL,12.00,4.0,0,0,2,0,0,19,178,186,364
New England PatriotsNE,NE@NYJ,12.00,3.0,0,1,0,0,0,10,133,38,171
San Francisco 49ersSF,NYG@SF,11.00,2.0,1,0,0,0,0,12,121,29,150
Miami DolphinsMIA,DEN@MIA,11.00,1.0,1,0,2,0,0,20,294,69,363
Los Angeles ChargersLAC,LAC@MIN,9.00,4.0,1,0,1,0,0,24,345,130,475
Los Angeles RamsLA,LA@CIN,8.00,2.0,1,0,0,0,0,19,242,67,309
Baltimore RavensBAL,IND@BAL,8.00,5.0,0,1,0,0,0,22,188,139,327
Green Bay PackersGB,NO@GB,8.00,4.0,0,0,0,0,0,17,175,77,252
Arizona CardinalsARI,DAL@ARI,8.00,2.0,1,0,0,0,0,16,231,185,416
Tampa Bay BuccaneersTB,PHI@TB,6.00,1.0,2,0,0,0,0,25,271,201,472
Tennessee TitansTEN,TEN@CLE,6.00,3.0,0,0,1,0,0,27,263,78,341
Atlanta FalconsATL,ATL@DET,6.00,0.0,1,0,0,0,0,20,243,115,358
Denver BroncosDEN,DEN@MIA,6.00,0.0,0,0,0,0,1,70,376,350,726
New York JetsNYJ,NE@NYJ,4.00,0.0,0,0,0,0,0,15,201,157,358
Seattle SeahawksSEA,CAR@SEA,4.00,3.0,0,0,0,0,0,27,334,44,378
Chicago BearsCHI,CHI@KC,4.00,0.0,2,0,0,0,0,41,303,153,456
Carolina PanthersCAR,CAR@SEA,4.00,2.0,1,0,0,0,0,37,279,146,425
Minnesota VikingsMIN,LAC@MIN,3.00,1.0,0,0,1,0,0,28,445,30,475
Las Vegas RaidersLV,PIT@LV,2.00,1.0,0,0,0,0,0,23,228,105,333
New York GiantsNYG,NYG@SF,2.00,2.0,0,0,0,0,0,30,300,141,441
Dallas CowboysDAL,DAL@ARI,2.00,2.0,0,0,0,0,0,28,178,222,400
Washington CommandersWAS,BUF@WAS,2.00,0.0,1,0,0,0,0,37,218,168,386
Jacksonville JaguarsJAX,HOU@JAX,0.00,0.0,0,0,0,0,0,37,280,86,366
