Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Rodrigo BlankenshipINDR. BlankenshipIND,@ LV,14,5,5,3,3,0
Mike NugentARIM. NugentARI,@ NYG,14,2,2,4,4,0
Greg ZuerleinDALG. ZuerleinDAL,@ CIN,14,3,3,3,3,1
Dustin HopkinsWASD. HopkinsWAS,@ SF,13,2,2,4,3,1
Jason MyersSEAJ. MyersSEA,vs NYJ,10,5,4,2,2,0
Cairo SantosCHIC. SantosCHI,vs HOU,10,4,4,2,2,0
Daniel CarlsonLVD. CarlsonLV,vs IND,9,3,3,2,2,0
Mason CrosbyGBM. CrosbyGB,@ DET,9,4,4,1,1,1
Stephen GostkowskiTENS. GostkowskiTEN,@ JAX,9,4,4,1,1,1
Jason SandersMIAJ. SandersMIA,vs KC,9,3,3,3,2,0
Joey SlyeCARJ. SlyeCAR,vs DEN,9,3,3,2,2,0
Justin TuckerBALJ. TuckerBAL,@ CLE,9,5,4,1,1,1
Michael BadgleyLACM. BadgleyLAC,vs ATL,8,2,2,2,2,0
Tyler BassBUFT. BassBUF,vs PIT,8,3,2,2,2,0
Ryan SuccopTBR. SuccopTB,vs MIN,8,3,2,2,2,0
Harrison ButkerKCH. ButkerKC,@ MIA,7,4,4,1,1,0
Jake ElliottPHIJ. ElliottPHI,vs NO,6,3,3,2,1,0
Matt GayLAM. GayLA,vs NE,6,3,3,1,1,0
Matt PraterDETM. PraterDET,vs GB,6,3,3,1,1,0
Aldrick RosasJAXA. RosasJAX,vs TEN,6,1,1,2,1,1
Younghoe KooATLY. KooATL,@ LAC,5,2,2,1,1,0
Cody ParkeyCLEC. ParkeyCLE,vs BAL,4,5,4,1,0,0
Sergio CastilloNYJS. CastilloNYJ,@ SEA,3,0,0,4,1,0
Nick FolkNEN. FolkNE,@ LA,3,0,0,1,1,0
Wil LutzNOW. LutzNO,@ PHI,3,3,3,2,0,0
Brandon McManusDENB. McManusDEN,@ CAR,2,4,2,0,0,0
Chris BoswellPITC. BoswellPIT,@ BUF,1,1,1,0,0,0
Ka'imi FairbairnHOUK. FairbairnHOU,@ CHI,1,1,1,0,0,0
Graham GanoNYGG. GanoNYG,vs ARI,1,1,1,0,0,0
Robbie GouldSFR. GouldSF,vs WAS,1,1,1,0,0,0
Austin SeibertCINA. SeibertCIN,vs DAL,1,1,1,0,0,0
Dan BaileyMIND. BaileyMIN,@ TB,0,1,0,3,0,0
