Player,Game,Pts*,XPA,XPM,FGA,FGM,50+
Dustin HopkinsD. Hopkins,CLE@IND,21.00,3,3,4,4,3
Wil LutzW. Lutz,GB@DEN,15.00,1,1,4,4,1
Greg JosephG. Joseph,SF@MIN,12.00,2,1,4,3,1
Younghoe KooY. Koo,ATL@TB,12.00,1,1,3,3,1
Chad RylandC. Ryland,BUF@NE,11.00,2,2,3,3,0
Blake GrupeB. Grupe,JAX@NO,10.00,1,1,4,3,0
Chris BoswellC. Boswell,PIT@LA,8.00,3,3,1,1,1
Matt GayM. Gay,CLE@IND,8.00,5,5,2,1,0
Jason MyersJ. Myers,ARI@SEA,8.00,2,2,2,2,0
Cairo SantosC. Santos,LV@CHI,8.00,4,3,1,1,1
Justin TuckerJ. Tucker,DET@BAL,8.00,5,5,1,1,0
Harrison ButkerH. Butker,LAC@KC,7.00,4,4,1,1,0
Cameron DickerC. Dicker,LAC@KC,7.00,2,2,1,1,1
Jake ElliottJ. Elliott,MIA@PHI,7.00,4,4,1,1,0
Chase McLaughlinC. McLaughlin,ATL@TB,7.00,1,1,2,2,0
Brandon McManusB. McManus,JAX@NO,7.00,4,4,1,1,0
Jake MoodyJ. Moody,SF@MIN,7.00,2,2,2,1,1
Daniel CarlsonD. Carlson,LV@CHI,6.00,0,0,3,2,0
Tyler BassT. Bass,BUF@NE,5.00,2,2,2,1,0
Anders CarlsonA. Carlson,GB@DEN,5.00,2,2,2,1,0
Jason SandersJ. Sanders,MIA@PHI,5.00,2,2,1,1,0
Matt PraterM. Prater,ARI@SEA,4.00,1,1,2,1,0
Brett MaherB. Maher,PIT@LA,3.00,1,0,3,1,0
Graham GanoG. Gano,WAS@NYG,2.00,2,2,1,0,0
Joey SlyeJ. Slye,WAS@NYG,1.00,1,1,1,0,0
