Team,Game,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Washington CommandersWAS,WAS@HOU,22.00,5.0,2,0,0,0,1,10,127,21,148
Baltimore RavensBAL,CAR@BAL,20.00,4.0,2,0,1,0,0,3,169,36,205
New England PatriotsNE,NYJ@NE,20.00,4.0,0,0,0,0,1,3,44,59,103
Dallas CowboysDAL,DAL@MIN,19.00,7.0,0,0,1,0,0,3,110,73,183
San Francisco 49ersSF,SF@ARI,14.00,3.0,2,0,0,0,0,10,247,67,314
Detroit LionsDET,DET@NYG,14.00,2.0,2,0,1,1,0,18,324,89,413
Atlanta FalconsATL,CHI@ATL,13.00,4.0,1,0,0,0,1,24,128,160,288
New York JetsNYJ,NYJ@NE,13.00,6.0,0,0,0,0,0,10,198,99,297
Carolina PanthersCAR,CAR@BAL,12.00,3.0,1,0,0,0,0,13,193,115,308
Indianapolis ColtsIND,PHI@IND,11.00,3.0,0,0,2,0,0,17,173,141,314
Philadelphia EaglesPHI,PHI@IND,10.00,4.0,0,0,1,0,0,16,185,99,284
Kansas City ChiefsKC,KC@LAC,10.00,5.0,1,0,1,0,0,27,250,115,365
Las Vegas RaidersLV,LV@DEN,9.00,3.0,0,0,0,1,0,16,226,94,320
New Orleans SaintsNO,LA@NO,8.00,4.0,0,0,0,0,0,20,188,148,336
Tennessee TitansTEN,TEN@GB,7.00,1.0,0,0,0,1,0,17,215,56,271
Buffalo BillsBUF,CLE@BUF,6.00,1.0,0,0,1,1,0,23,316,80,396
Pittsburgh SteelersPIT,CIN@PIT,6.00,2.0,2,0,0,0,0,37,346,62,408
Green Bay PackersGB,TEN@GB,6.00,3.0,1,0,0,0,0,27,320,88,408
Los Angeles RamsLA,LA@NO,5.00,4.0,0,0,0,0,0,27,235,88,323
Chicago BearsCHI,CHI@ATL,5.00,0.0,0,0,2,0,0,27,131,149,280
Los Angeles ChargersLAC,KC@LAC,3.00,1.0,0,0,1,0,0,30,322,163,485
Cleveland BrownsCLE,CLE@BUF,2.00,2.0,0,0,0,0,0,31,186,171,357
Cincinnati BengalsCIN,CIN@PIT,2.00,2.0,0,0,0,0,0,30,249,102,351
Denver BroncosDEN,LV@DEN,2.00,1.0,0,0,0,0,0,22,298,109,407
Houston TexansHOU,WAS@HOU,1.00,0.0,0,0,0,0,0,23,191,153,344
Arizona CardinalsARI,SF@ARI,0.00,0.0,0,0,0,0,0,38,228,159,387
New York GiantsNYG,DET@NYG,0.00,0.0,0,0,0,0,0,31,165,160,325
Minnesota VikingsMIN,DAL@MIN,0.00,0.0,0,0,0,0,0,40,307,151,458
