Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
San Francisco 49ersSan Francisco,vs NE,25,6.0,1,0,2,0,1,13,143,73,216
Atlanta FalconsAtlanta,vs NO,18,1.0,1,0,1,0,2,24,235,131,366
Tampa Bay BuccaneersTampa Bay,vs PHI,14,6.0,0,0,2,0,0,16,114,113,227
Cleveland BrownsCleveland,@ LV,14,2.0,0,0,1,0,1,20,116,152,268
Denver BroncosDenver,@ NYJ,14,5.0,0,0,1,0,0,9,184,64,248
Tennessee TitansTennessee,@ MIA,13,2.0,0,1,1,0,0,12,78,106,184
Baltimore RavensBaltimore,vs BUF,12,3.0,0,0,1,0,0,10,155,81,236
Chicago BearsChicago,vs LA,11,3.0,1,0,1,0,0,18,203,119,322
Los Angeles ChargersLA Chargers,vs KC,11,3.0,1,0,1,0,0,17,228,101,329
Washington CommandersWashington,@ ARI,10,4.0,0,0,1,0,0,14,115,181,296
Las Vegas RaidersLas Vegas,vs CLE,9,3.0,1,0,0,0,0,16,149,92,241
New York JetsNY Jets,vs DEN,9,0.0,0,0,1,0,0,10,60,126,186
Indianapolis ColtsIndianapolis,vs PIT,9,4.0,0,0,2,0,0,24,282,122,404
Minnesota VikingsMinnesota,@ GB,9,1.0,3,0,1,0,0,29,379,86,465
Kansas City ChiefsKansas City,@ LAC,9,2.0,0,0,0,0,0,10,169,55,224
Green Bay PackersGreen Bay,vs MIN,8,2.0,1,0,2,0,0,31,254,120,374
Detroit LionsDetroit,vs SEA,7,3.0,1,0,1,0,0,29,383,133,516
Dallas CowboysDallas,@ NYG,7,1.0,1,0,0,0,0,15,277,26,303
Philadelphia EaglesPhiladelphia,@ TB,6,2.0,0,0,0,1,0,33,334,111,445
Jacksonville JaguarsJacksonville,@ HOU,5,2.0,0,0,1,0,0,24,334,101,435
New England PatriotsNew England,@ SF,5,1.0,1,0,1,0,0,30,283,148,431
New York GiantsNY Giants,vs DAL,5,1.0,0,0,0,0,0,20,213,80,293
Houston TexansHouston,vs JAX,5,1.0,0,0,0,0,0,20,155,158,313
Seattle SeahawksSeattle,@ DET,5,3.0,0,1,0,0,0,42,273,116,389
New Orleans SaintsNew Orleans,@ ATL,4,1.0,1,0,0,0,0,26,227,88,315
Los Angeles RamsLA Rams,@ CHI,4,3.0,0,0,0,0,0,24,133,131,264
Miami DolphinsMiami,vs TEN,3,1.0,1,0,0,0,0,31,102,142,244
Pittsburgh SteelersPittsburgh,@ IND,3,2.0,0,0,0,0,0,27,225,133,358
Cincinnati BengalsCincinnati,@ CAR,3,0.0,1,0,0,0,0,24,220,155,375
Buffalo BillsBuffalo,@ BAL,3,1.0,0,0,1,0,0,35,156,271,427
Carolina PanthersCarolina,vs CIN,2,0.0,1,0,0,0,0,34,232,141,373
Arizona CardinalsArizona,vs WAS,2,0.0,1,0,0,0,0,42,233,216,449
