Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Ka'imi FairbairnHOUK. FairbairnHOU,@ JAX,16,3,3,3,3,2
Chris BoswellPITC. BoswellPIT,vs TEN,13,1,1,5,4,0
Evan McPhersonCINE. McPhersonCIN,@ DEN,13,0,0,3,3,2
Riley PattersonDETR. PattersonDET,vs ARI,12,3,3,3,3,0
Daniel CarlsonLVD. CarlsonLV,@ CLE,10,1,1,3,3,0
Matt GayLAM. GayLA,vs SEA,10,2,2,2,2,1
Matthew WrightJAXM. WrightJAX,vs HOU,10,1,1,3,3,0
Michael BadgleyINDM. BadgleyIND,vs NE,9,3,3,3,2,0
Jake ElliottPHIJ. ElliottPHI,vs WAS,9,3,3,2,2,0
Brett MaherNOB. MaherNO,@ TB,9,0,0,3,3,0
Greg ZuerleinDALG. ZuerleinDAL,@ NYG,9,2,0,3,3,0
Harrison ButkerKCH. ButkerKC,@ LAC,8,2,2,2,2,0
Tyler BassBUFT. BassBUF,vs CAR,7,4,4,1,1,0
Randy BullockTENR. BullockTEN,@ PIT,7,1,1,2,2,0
Mason CrosbyGBM. CrosbyGB,@ BAL,7,4,4,1,1,0
Robbie GouldSFR. GouldSF,vs ATL,7,4,4,1,1,0
Younghoe KooATLY. KooATL,@ SF,7,1,1,2,2,0
Jason SandersMIAJ. SandersMIA,vs NYJ,7,4,4,1,1,0
Graham GanoNYGG. GanoNYG,vs DAL,6,0,0,2,2,0
Brandon McManusDENB. McManusDEN,vs CIN,6,1,1,2,1,1
Eddy PineiroNYJE. PineiroNYJ,@ MIA,6,3,3,1,1,0
Matt PraterARIM. PraterARI,@ DET,6,0,0,2,2,0
Justin TuckerBALJ. TuckerBAL,vs GB,6,3,3,1,1,0
Nick FolkNEN. FolkNE,@ IND,5,2,2,1,1,0
Brian JohnsonWASB. JohnsonWAS,@ PHI,5,2,2,1,1,0
Greg JosephMING. JosephMIN,@ CHI,5,2,2,1,1,0
Dustin HopkinsLACD. HopkinsLAC,vs KC,4,4,4,0,0,0
Jason MyersSEAJ. MyersSEA,@ LA,4,1,1,1,1,0
Cairo SantosCHIC. SantosCHI,vs MIN,3,0,0,2,1,0
Chase McLaughlinCLEC. McLaughlinCLE,vs LV,2,2,2,1,0,0
Ryan SuccopTBR. SuccopTB,vs NO,0,0,0,1,0,0
