Player,Pos,Team,College
"Johnson, Theo",TE,NY Giants,Penn State
"Johnson, Ty",RB,Buffalo,Maryland
"Johnson, Tyler",WR,LA Rams,Minnesota
"Johnson, Tyron",WR,Dallas,Oklahoma State
"Johnson, Xavier",WR,Buffalo,Ohio State
"Johnson, Zack",OG,Cleveland,North Dakota State
"Johnson, Zion",OG,LA Chargers,Boston College
"Johnston, Cameron",P,Pittsburgh,Ohio State
"Johnston, Quentin",WR,LA Chargers,Texas Christian
"Jolly, Shaun",DB,LA Rams,Appalachian State
"Jonathan, Kingsley",DE,Buffalo,Syracuse
"Jones, Aaron",RB,Minnesota,Texas-El Paso
"Jones, Andre",DE,Washington,Louisiana-Lafayette
"Jones, Austin",RB,Washington,Southern California
"Jones, Avery",C,Tampa Bay,Auburn
"Jones, Benito",DT,Miami,Mississippi
"Jones, Brandon",DB,Denver,Texas
"Jones, Braxton",OT,Chicago,Southern Utah
"Jones, Broderick",OT,Pittsburgh,Georgia
"Jones, Buddha",DT,Seattle,Troy State
"Jones, Caleb",OT,Green Bay,Indiana
"Jones, Cam",LB,Kansas City,Indiana
"Jones, Carl",LB,Chicago,UCLA
"Jones, Charlie",WR,Cincinnati,Purdue
"Jones, Chris",DT,Kansas City,Mississippi State
"Jones, Christian",OT,Arizona,Texas
"Jones, D.J.",DT,Denver,Mississippi
"Jones, Daniel",QB,NY Giants,Duke
"Jones, DaQuan",DT,Buffalo,Penn State
"Jones, Dawand",OT,Cleveland,Ohio State
"Jones, Deion",LB,Buffalo,Louisiana State
"Jones, Dre'Mont",DE,Seattle,Ohio State
"Jones, Elijah",DB,Arizona,Boston College
"Jones, Emory",QB,Baltimore,Cincinnati
"Jones, Ernest",LB,LA Rams,South Carolina
"Jones, Jack",DB,Las Vegas,Arizona State
"Jones, Jarrian",DB,Jacksonville,Florida State
"Jones, Jaylon",DB,Chicago,Mississippi
"Jones, Jaylon",DB,Indianapolis,Texas A&M
"Jones, Jeshaun",WR,Minnesota,Maryland
"Jones, Jonathan",DB,New England,Auburn
"Jones, Josh",OT,Baltimore,Houston
"Jones, Justin",DT,Arizona,North Carolina State
"Jones, Keandre",LB,Washington,Maryland
"Jones, Latreal",WR,Tampa Bay,Southern Mississippi
"Jones, Leon",DB,Chicago,Arkansas State
"Jones, Levi",LB,Tampa Bay,North Carolina State
"Jones, Mac",QB,Jacksonville,Alabama
"Jones, Marcus",DB,New England,Houston
"Jones, Matthew",OG,Miami,Ohio State
"Jones, Myles",DB,NY Jets,Duke
"Jones, Naquan",DT,Arizona,Michigan State
"Jones, Nic",DB,Kansas City,Ball State
"Jones, Patrick",LB,Minnesota,Pittsburgh
"Jones, Robert",OG,Miami,Middle Tennessee State
"Jones, Steven",OG,Jacksonville,Oregon
"Jones, Tim",WR,Jacksonville,Southern Mississippi
"Jones, Tony",RB,Arizona,Notre Dame
"Jones, Travis",DT,Baltimore,Connecticut
"Jones, Truman",DE,Kansas City,Harvard
"Jones, Velus",WR,Chicago,Tennessee
"Jones, Zay",WR,Arizona,East Carolina
"Jones-Smith, Jaryd",OT,Atlanta,Pittsburgh
"Jordan, Brevin",TE,Houston,Miami
"Jordan, Cameron",DE,New Orleans,California
"Jordan, Jawhar",RB,Houston,Louisville
"Jordan, Michael",OG,New England,Ohio State
"Joseph, Brandon",DB,Detroit,Notre Dame
"Joseph, Greg",K,Green Bay,Florida Atlantic
"Joseph, Kelvin",DB,Kansas City,Kentucky
"Joseph, Kerby",DB,Detroit,Illinois
"Joseph, Sebastian",DT,Tennessee,Rutgers
"Judon, Matt",LB,New England,Grand Valley State
"Jules, P.J.",DB,Cincinnati,Southern Illinois
"Junior, Gregory",DB,Jacksonville,Ouachita Baptist
"Jurgens, Cameron",OG,Philadelphia,Nebraska
"Jurgens, Michael",C,Minnesota,Wake Forest
"Juszczyk, Kyle",RB,San Francisco,Harvard
