game_count_2023,discounted_ci_lower,Avg_Fumble_Recoveries,game_count_2020,game_count_2024,name,weighted_game_count,ci_upper,Avg_Sacks,Avg_Defensive_TDs,ci_lower,pos,team,weighted_mean,game_count_2022,Player,Avg_Points_Allowed,Avg_Interceptions,game_count_2021
0.0,1.35,,0.0,2.0,"Conner, Tanner",0.6666666666666666,2.5,,,1.5,TE,Miami,2.0,0.0,"Conner, Tanner",,,0.0
0.0,1.35,,0.0,0.0,"Fromm, Jake",0.1333333333333333,2.5,,,1.5,,,2.0,0.0,"Fromm, Jake",,,2.0
0.0,1.35,,0.0,0.0,"Darby, Frank",0.1,2.5,,,1.5,WR,San Francisco,2.0,0.0,"Darby, Frank",,,1.0
0.0,1.35,,0.0,1.0,"Williams, Isaiah",0.5,2.5,,,1.5,WR,Detroit,2.0,0.0,"Williams, Isaiah",,,0.0
0.0,1.35,,2.0,0.0,"Foster, Robert",0.0666666666666666,2.5,,,1.5,,,2.0,0.0,"Foster, Robert",,,0.0
9.0,1.35,,0.0,7.0,"Farrell, Luke",0.4777777777777778,2.5,,,1.5,TE,Jacksonville,2.0,3.0,"Farrell, Luke",,,7.0
0.0,1.35,,1.0,0.0,"Dieter, Gehrig",0.05,2.5,,,1.5,,,2.0,0.0,"Dieter, Gehrig",,,0.0
0.0,1.35,,0.0,0.0,"Davis, Davion",0.1,2.5,,,1.5,WR,Washington,2.0,0.0,"Davis, Davion",,,1.0
0.0,1.35,,1.0,0.0,"Willson, Luke",0.05,2.5,,,1.5,,,2.0,0.0,"Willson, Luke",,,0.0
0.0,1.35,,4.0,0.0,"Daniel, Chase",0.15,2.5,,,1.5,,,2.0,2.0,"Daniel, Chase",,,1.0
2.0,1.35,,0.0,0.0,"Jackson, Trishton",0.2666666666666666,2.5,,,1.5,WR,Minnesota,2.0,0.0,"Jackson, Trishton",,,0.0
2.0,1.2980769230769231,,2.0,5.0,"Woerner, Charlie",0.4857142857142857,2.4038461538461537,,,1.4423076923076923,TE,Atlanta,1.9230769230769231,0.0,"Woerner, Charlie",,,4.0
0.0,1.2886363636363638,,6.0,0.0,"Nabers, Gabe",0.1333333333333333,2.3863636363636367,,,1.431818181818182,,,1.9090909090909092,0.0,"Nabers, Gabe",,,5.0
0.0,1.275,,7.0,0.0,"Samuels, Jaylen",0.11,2.361111111111111,,,1.4166666666666663,,,1.8888888888888888,0.0,"Samuels, Jaylen",,,2.0
4.0,1.2705882352941176,,0.0,2.0,"Stoll, Jack",0.3666666666666666,2.3529411764705883,,,1.4117647058823528,TE,NY Giants,1.8823529411764703,8.0,"Stoll, Jack",,,3.0
9.0,1.265625,,0.0,7.0,"Hutchinson, Xavier",0.6235294117647059,2.34375,,,1.40625,WR,Houston,1.875,0.0,"Hutchinson, Xavier",,,0.0
0.0,1.26,,13.0,0.0,"Smith, Kaden",0.10625,2.3333333333333335,,,1.4,,,1.8666666666666667,0.0,"Smith, Kaden",,,2.0
0.0,1.2375,,0.0,0.0,"Davis, Tyler",0.2307692307692307,2.2916666666666665,,,1.375,TE,Green Bay,1.8333333333333333,6.0,"Davis, Tyler",,,6.0
0.0,1.2375,,0.0,5.0,"Long, Hunter",0.7428571428571429,2.2916666666666665,,,1.375,TE,LA Rams,1.8333333333333333,0.0,"Long, Hunter",,,1.0
0.0,1.215,,0.0,5.0,"McIntosh, Kenny",0.8333333333333334,2.25,,,1.35,RB,Seattle,1.8,0.0,"McIntosh, Kenny",,,0.0
1.0,1.215,,1.0,2.0,"Ward, Jonathan",0.3454545454545454,2.25,,,1.35,RB,Pittsburgh,1.8,1.0,"Ward, Jonathan",,,5.0
0.0,1.205357142857143,,9.0,0.0,"Board, C.J.",0.1333333333333333,2.232142857142857,,,1.3392857142857144,,,1.7857142857142858,1.0,"Board, C.J.",,,4.0
0.0,1.205357142857143,,0.0,0.0,"Williams, Avery",0.28,2.232142857142857,,,1.3392857142857144,RB,Atlanta,1.7857142857142858,14.0,"Williams, Avery",,,0.0
0.0,1.205357142857143,,0.0,0.0,"Milne, Dax",0.2266666666666666,2.232142857142857,,,1.3392857142857144,WR,Washington,1.7857142857142858,6.0,"Milne, Dax",,,8.0
13.0,1.1965909090909093,,0.0,9.0,"Davis, Derius",0.6173913043478261,2.215909090909091,,,1.3295454545454546,WR,LA Chargers,1.7727272727272727,0.0,"Davis, Derius",,,0.0
0.0,1.18125,,0.0,12.0,"Corum, Blake",0.9230769230769232,2.1875,,,1.3125,RB,LA Rams,1.75,0.0,"Corum, Blake",,,0.0
0.0,1.18125,,0.0,5.0,"Chestnut, Julius",0.6555555555555556,2.1875,,,1.3125,RB,Tennessee,1.75,3.0,"Chestnut, Julius",,,0.0
0.0,1.165909090909091,,0.0,0.0,"Hesse, Parker",0.25,2.159090909090909,,,1.2954545454545454,TE,Detroit,1.7272727272727273,8.0,"Hesse, Parker",,,3.0
0.0,1.125,,0.0,0.0,"Hudson, Tommy",0.15,2.0833333333333335,,,1.25,TE,New Orleans,1.6666666666666667,0.0,"Hudson, Tommy",,,3.0
1.0,1.125,,11.0,0.0,"McFarland, Anthony",0.1375,2.0833333333333335,,,1.25,,,1.6666666666666667,1.0,"McFarland, Anthony",,,2.0
0.0,1.125,,0.0,3.0,"Brooks, Jonathon",0.75,2.0833333333333335,,,1.25,RB,Carolina,1.6666666666666667,0.0,"Brooks, Jonathon",,,0.0
0.0,1.125,,1.0,0.0,"Kemp, Marcus",0.125,2.0833333333333335,,,1.25,,,1.6666666666666667,0.0,"Kemp, Marcus",,,2.0
0.0,1.125,,0.0,1.0,"Darden, Jaelon",0.29,2.0833333333333335,,,1.25,WR,Cleveland,1.6666666666666667,3.0,"Darden, Jaelon",,,5.0
0.0,1.125,,0.0,12.0,"Wright, Jaylen",0.9230769230769232,2.0833333333333335,,,1.25,RB,Miami,1.6666666666666667,0.0,"Wright, Jaylen",,,0.0
0.0,1.125,,0.0,0.0,"Rountree, Larry",0.19,2.0833333333333335,,,1.25,,,1.6666666666666667,1.0,"Rountree, Larry",,,8.0
3.0,1.125,,0.0,1.0,"Trammell, Austin",0.4,2.0833333333333335,,,1.25,WR,Jacksonville,1.6666666666666667,2.0,"Trammell, Austin",,,0.0
0.0,1.096875,,6.0,0.0,"Stocker, Luke",0.1111111111111111,2.03125,,,1.21875,,,1.625,0.0,"Stocker, Luke",,,2.0
0.0,1.0800000000000003,,5.0,0.0,"Toilolo, Levine",0.0833333333333333,2.0,,,1.2000000000000002,,,1.6,0.0,"Toilolo, Levine",,,0.0
0.0,1.0800000000000003,,5.0,0.0,"Keizer, Nick",0.0833333333333333,2.0,,,1.2000000000000002,,,1.6,0.0,"Keizer, Nick",,,0.0
0.0,1.0800000000000003,,0.0,0.0,"Conner, Snoop",0.25,2.0,,,1.2000000000000002,RB,Dallas,1.6,5.0,"Conner, Snoop",,,0.0
1.0,1.0800000000000003,,0.0,0.0,"Davis-Price, Tyrion",0.2666666666666666,2.0,,,1.2000000000000002,RB,Philadelphia,1.6,4.0,"Davis-Price, Tyrion",,,0.0
0.0,1.0607142857142855,,5.0,0.0,"Carter, Cethan",0.1125,1.9642857142857144,,,1.1785714285714286,,,1.5714285714285714,0.0,"Carter, Cethan",,,2.0
1.0,1.05,,4.0,0.0,"Ozigbo, Devine",0.19,1.9444444444444444,,,1.1666666666666667,,,1.5555555555555556,3.0,"Ozigbo, Devine",,,1.0
0.0,1.0125,,2.0,0.0,"Callaway, Antonio",0.0666666666666666,1.875,,,1.125,,,1.5,0.0,"Callaway, Antonio",,,0.0
6.0,1.0125,,0.0,4.0,"Vaughn, Deuce",0.5818181818181819,1.875,,,1.125,RB,Dallas,1.5,0.0,"Vaughn, Deuce",,,0.0
