Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Cairo SantosCHIC. SantosCHI,@ ARI,13,0,0,3,3,2
Tyler BassBUFT. BassBUF,vs MIA,12,2,1,3,3,1
Blake GrupeNOB. GrupeNO,@ CAR,12,1,1,3,3,1
Evan McPhersonCINE. McPhersonCIN,vs LV,11,5,5,2,2,0
Chad RylandARIC. RylandARI,vs CHI,11,3,3,2,2,1
Justin TuckerBALJ. TuckerBAL,vs DEN,11,5,5,2,2,0
Brandon AubreyDALB. AubreyDAL,@ ATL,9,1,1,2,2,1
Ka'imi FairbairnHOUK. FairbairnHOU,@ NYJ,9,1,1,4,2,1
Matt GayINDM. GayIND,@ MIN,9,1,1,3,2,1
Jason SandersMIAJ. SandersMIA,@ BUF,9,3,3,2,2,0
Austin SeibertWASA. SeibertWAS,@ NYG,9,3,3,2,2,0
Nick FolkTENN. FolkTEN,vs NE,8,2,2,2,2,0
Joshua KartyLAJ. KartyLA,@ SEA,8,2,2,2,2,0
Joey SlyeNEJ. SlyeNE,@ TEN,7,2,2,2,1,1
Jake BatesDETJ. BatesDET,@ GB,6,3,3,1,1,0
Harrison ButkerKCH. ButkerKC,vs TB,6,3,3,1,1,0
Daniel CarlsonLVD. CarlsonLV,@ CIN,6,3,3,1,1,0
Chase McLaughlinTBC. McLaughlinTB,@ KC,6,3,3,1,1,0
Brandon McManusGBB. McManusGB,vs DET,6,0,0,3,2,0
Eddy PineiroCARE. PineiroCAR,vs NO,5,2,2,1,1,0
Jake ElliottPHIJ. ElliottPHI,vs JAX,4,1,1,2,1,0
Dustin HopkinsCLED. HopkinsCLE,vs LAC,4,1,1,2,1,0
Wil LutzDENW. LutzDEN,@ BAL,4,1,1,1,1,0
Jude McAtamneyNYGJ. McAtamneyNYG,vs WAS,4,1,1,1,1,0
Cameron DickerLACC. DickerLAC,@ CLE,3,4,3,1,0,0
Younghoe KooATLY. KooATL,vs DAL,3,3,3,0,0,0
Riley PattersonATLR. PattersonATL,@ NYJ,3,3,3,0,0,0
Will ReichardMINW. ReichardMIN,vs IND,3,3,3,2,0,0
Jason MyersSEAJ. MyersSEA,vs LA,2,3,2,0,0,0
Cam LittleJAXC. LittleJAX,@ PHI,1,1,1,0,0,0
