Player,Game,Pts*,Passing_Att,Passing_Cmp,Passing_Yds,Passing_TD,Passing_Int,Passing_2Pt,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_2Pt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_2Pt,Fumble_FL,Fumble_TD
Saquon BarkleyS. Barkley,PHI@LA,41.00,0,0,0,0,0,0,26,255,2,0,4,47,0,0,0,0
Tua TagovailoaT. Tagovailoa,NE@MIA,36.00,40,29,317,4,0,0,3,-2,0,0,0,0,0,0,0,0
Jayden DanielsJ. Daniels,DAL@WAS,34.00,38,25,275,2,2,0,7,74,1,1,0,0,0,0,0,0
Patrick MahomesP. Mahomes,KC@CAR,34.00,37,27,269,3,0,0,5,60,0,0,0,0,0,0,0,0
Caleb WilliamsC. Williams,MIN@CHI,30.00,47,32,340,2,0,1,6,33,0,0,0,0,0,0,0,0
Josh JacobsJ. Jacobs,SF@GB,28.00,0,0,0,0,0,0,26,106,3,0,0,0,0,0,0,0
Lamar JacksonL. Jackson,BAL@LAC,26.00,22,16,177,2,0,0,8,15,1,0,0,0,0,0,0,0
Sam DarnoldS. Darnold,MIN@CHI,25.00,34,22,330,2,0,0,2,-1,0,0,0,0,0,0,0,0
Jordan AddisonJ. Addison,MIN@CHI,22.00,0,0,0,0,0,0,0,0,0,0,8,162,1,0,0,0
Bo NixB. Nix,DEN@LV,22.00,42,25,273,2,0,0,1,5,0,0,0,0,0,0,0,0
Matthew StaffordM. Stafford,PHI@LA,22.00,36,24,243,2,0,0,1,15,0,0,0,0,0,0,0,0
Jahmyr GibbsJ. Gibbs,DET@IND,21.00,0,0,0,0,0,0,21,90,2,0,3,9,0,0,0,0
Will LevisW. Levis,TEN@HOU,21.00,24,18,278,2,1,0,8,10,0,0,0,0,0,0,1,0
Cooper RushC. Rush,DAL@WAS,21.00,32,24,247,2,0,0,4,1,0,0,0,0,0,0,0,0
Courtland SuttonC. Sutton,DEN@LV,21.00,0,0,0,0,0,0,0,0,0,0,8,97,2,0,0,0
