GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,,SeriesFirstDown,,NextScore,Description,TeamWin,,,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2021112500,2021-11-25,2,0,33,CHI,DET,2,8,65,,1,,0,"(:33) (SHOTGUN) 14-A.DALTON PASS SHORT MIDDLE TO 85-C.KMET TO DET 25 FOR 10 YARDS (38-C.MOORE).",0,,,2021,10,SHOTGUN,PASS,0,1,0,0,"SHORT MIDDLE",0,0,0,,0,0,0,0,0,0,,35,OPP,0,,0,,0
2021112500,2021-11-25,2,0,15,CHI,DET,1,10,75,,0,,0,"(:15) (NO HUDDLE, SHOTGUN) 14-A.DALTON PASS INCOMPLETE SHORT LEFT TO 11-D.MOONEY (39-J.JACOBS).",0,,,2021,0,"NO HUDDLE SHOTGUN",PASS,0,1,1,0,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,25,OPP,0,,0,,0
2021112500,2021-11-25,2,0,10,CHI,DET,2,10,75,,0,,0,"(:10) (SHOTGUN) 14-A.DALTON PASS INCOMPLETE SHORT LEFT. BALL THROWN AWAY",0,,,2021,0,SHOTGUN,PASS,0,1,1,0,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,25,OPP,0,,0,,0
2021112500,2021-11-25,4,3,58,CHI,DET,1,10,73,,0,,0,"(3:58) (SHOTGUN) 14-A.DALTON SCRAMBLES LEFT END TO DET 18 FOR 9 YARDS (21-T.WALKER).",0,,,2021,9,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,0,,27,OPP,0,,0,,0
2021112500,2021-11-25,4,3,13,CHI,DET,2,1,82,,1,,0,"(3:13) (SHOTGUN) 32-D.MONTGOMERY UP THE MIDDLE TO DET 17 FOR 1 YARD (97-N.WILLIAMS; 25-W.HARRIS).",0,,,2021,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,18,OPP,0,,0,,0
2021112500,2021-11-25,4,2,28,CHI,DET,1,10,83,,0,,0,"(2:28) 32-D.MONTGOMERY LEFT GUARD TO DET 17 FOR NO GAIN (54-A.MCNEILL).",0,,,2021,0,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"LEFT GUARD",17,OPP,0,,0,,0
2021112500,2021-11-25,4,2,0,,,0,0,100,,1,,0,"TWO-MINUTE WARNING",0,,,2021,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OPP,0,,0,,0
2021112500,2021-11-25,4,2,0,CHI,DET,2,10,83,,0,,0,"(2:00) 32-D.MONTGOMERY RIGHT GUARD TO DET 16 FOR 1 YARD (99-J.OKWARA).",0,,,2021,1,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"RIGHT GUARD",17,OPP,0,,0,,0
2021112500,2021-11-25,4,1,54,,,0,0,100,,1,,0,"TIMEOUT #1 BY DET AT 01:54.",0,,,2021,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OPP,0,,0,,0
2021112500,2021-11-25,4,1,54,CHI,DET,3,9,84,,0,,0,"(1:54) (SHOTGUN) PENALTY ON DET, DEFENSIVE DELAY OF GAME, 5 YARDS, ENFORCED AT DET 16 - NO PLAY.",0,,,2021,0,SHOTGUN,"NO PLAY",0,0,0,0,,0,0,0,,0,0,0,1,0,0,,16,OPP,1,DET,1,"DEFENSIVE DELAY OF GAME",5
