Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
San Francisco 49ersSan Francisco,vs LA,24,7.0,1,0,1,0,1,9,200,57,257
New York GiantsNY Giants,vs CHI,19,6.0,0,0,3,0,0,12,155,149,304
Philadelphia EaglesPhiladelphia,vs JAX,15,4.0,1,0,4,0,0,21,148,71,219
New York JetsNY Jets,@ PIT,15,3.0,4,0,0,0,0,20,178,119,297
Dallas CowboysDallas,vs WAS,13,2.0,2,0,0,0,0,10,155,142,297
Tennessee TitansTennessee,@ IND,13,3.0,1,0,2,0,0,17,327,38,365
Las Vegas RaidersLas Vegas,vs DEN,12,3.0,0,0,1,0,1,23,214,85,299
Arizona CardinalsArizona,@ CAR,12,2.0,2,0,1,0,0,16,180,40,220
New England PatriotsNew England,@ GB,12,1.0,1,0,1,0,1,27,244,199,443
Cincinnati BengalsCincinnati,vs MIA,11,1.0,2,0,0,1,0,15,293,85,378
Seattle SeahawksSeattle,@ DET,11,1.0,1,0,1,0,1,45,375,145,520
Buffalo BillsBuffalo,@ BAL,10,2.0,2,0,0,0,0,20,134,162,296
Carolina PanthersCarolina,vs ARI,10,1.0,1,0,0,0,1,26,206,132,338
Jacksonville JaguarsJacksonville,@ PHI,10,2.0,1,0,0,0,1,29,191,210,401
Atlanta FalconsAtlanta,vs CLE,9,1.0,1,0,1,0,0,20,226,177,403
Los Angeles ChargersLA Chargers,@ HOU,9,4.0,2,0,0,0,0,24,215,131,346
Chicago BearsChicago,@ NYG,9,1.0,1,0,1,0,0,20,71,262,333
Minnesota VikingsMinnesota,@ NO,7,2.0,0,0,2,0,0,25,227,111,338
Green Bay PackersGreen Bay,vs NE,7,4.0,0,0,1,0,0,24,104,167,271
Baltimore RavensBaltimore,vs BUF,6,1.0,1,0,1,0,0,23,201,125,326
Pittsburgh SteelersPittsburgh,vs NYJ,6,1.0,2,0,0,0,0,24,250,98,348
Kansas City ChiefsKansas City,@ TB,5,1.0,0,0,2,0,0,31,373,3,376
New Orleans SaintsNew Orleans,vs MIN,5,3.0,1,0,0,0,0,28,263,81,344
Tampa Bay BuccaneersTampa Bay,vs KC,5,3.0,1,0,0,0,0,41,228,189,417
Washington CommandersWashington,@ DAL,4,1.0,0,0,0,1,0,25,217,62,279
Indianapolis ColtsIndianapolis,vs TEN,4,3.0,0,0,0,0,0,24,116,127,243
Cleveland BrownsCleveland,@ ATL,4,1.0,1,0,0,0,0,23,131,202,333
Houston TexansHouston,vs LAC,3,1.0,0,0,1,0,0,34,338,81,419
Miami DolphinsMiami,@ CIN,2,1.0,0,0,0,0,0,27,304,67,371
Detroit LionsDetroit,vs SEA,2,0.0,0,0,1,0,0,48,320,235,555
Denver BroncosDenver,@ LV,2,2.0,0,0,0,0,0,32,173,212,385
Los Angeles RamsLA Rams,@ SF,1,0.0,0,0,0,0,0,24,239,88,327
