Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Matt PraterARIM. PraterARI,@ CLE,15,4,4,3,3,1
Matthew WrightJAXM. WrightJAX,vs MIA,15,2,2,3,3,2
Tyler BassBUFT. BassBUF,@ TEN,13,2,2,3,3,1
Chris BoswellPITC. BoswellPIT,vs SEA,13,2,2,3,3,1
Daniel CarlsonLVD. CarlsonLV,@ DEN,12,4,4,3,2,1
Justin TuckerBALJ. TuckerBAL,vs LAC,12,4,4,2,2,1
Greg ZuerleinDALG. ZuerleinDAL,@ NE,11,2,2,4,3,0
Randy BullockTENR. BullockTEN,vs BUF,10,4,4,2,2,0
Greg JosephMING. JosephMIN,@ CAR,10,1,1,5,3,0
Evan McPhersonCINE. McPhersonCIN,@ DET,10,4,4,2,2,0
Harrison ButkerKCH. ButkerKC,@ WAS,9,4,4,1,1,1
Dustin HopkinsLACD. HopkinsLAC,@ WAS,9,1,1,3,2,1
Matt GayLAM. GayLA,@ NYG,8,5,5,1,1,0
Zane GonzalezCARZ. GonzalezCAR,vs MIN,8,2,2,2,2,0
Jason MyersSEAJ. MyersSEA,@ PIT,8,2,2,2,2,0
Jason SandersMIAJ. SandersMIA,@ JAX,8,2,2,3,2,0
Michael BadgleyINDM. BadgleyIND,vs HOU,7,4,4,1,1,0
Mason CrosbyGBM. CrosbyGB,@ CHI,6,3,3,1,1,0
Brandon McManusDENB. McManusDEN,vs LV,6,3,3,1,1,0
Ryan SuccopTBR. SuccopTB,@ PHI,4,4,4,0,0,0
Ka'imi FairbairnHOUK. FairbairnHOU,@ IND,3,0,0,1,1,0
Nick FolkNEN. FolkNE,vs DAL,3,3,3,0,0,0
Graham GanoNYGG. GanoNYG,vs LA,3,0,0,1,1,0
Austin SeibertDETA. SeibertDET,vs CIN,3,0,0,1,1,0
Jake ElliottPHIJ. ElliottPHI,vs TB,2,2,2,1,0,0
Chase McLaughlinCLEC. McLaughlinCLE,vs ARI,2,2,2,0,0,0
Cairo SantosCHIC. SantosCHI,vs GB,2,2,2,0,0,0
Tristan VizcainoLACT. VizcainoLAC,@ BAL,0,1,0,0,0,0
