Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Washington Football TeamWashington,@ SF,26,4.0,1,0,2,0,2,15,236,108,344
Los Angeles RamsLA Rams,vs NE,24,6.0,1,0,0,0,1,3,113,107,220
Dallas CowboysDallas,@ CIN,21,2.0,0,0,3,0,1,7,208,101,309
Arizona CardinalsArizona,@ NYG,21,8.0,0,0,3,0,0,7,81,78,159
Chicago BearsChicago,vs HOU,20,7.0,0,1,2,0,0,7,155,108,263
Buffalo BillsBuffalo,vs PIT,15,1.0,2,0,0,0,1,15,177,47,224
Seattle SeahawksSeattle,vs NYJ,15,3.0,0,0,1,0,0,3,116,69,185
Kansas City ChiefsKansas City,@ MIA,15,4.0,1,1,0,0,1,27,287,80,367
Indianapolis ColtsIndianapolis,@ LV,13,0.0,2,0,1,0,1,27,345,79,424
Tampa Bay BuccaneersTampa Bay,vs MIN,12,6.0,0,0,1,0,0,14,173,162,335
Los Angeles ChargersLA Chargers,vs ATL,12,2.0,3,0,0,0,0,17,249,70,319
Miami DolphinsMiami,vs KC,11,3.0,3,0,1,0,0,33,354,94,448
Tennessee TitansTennessee,@ JAX,11,0.0,1,0,0,1,0,10,263,91,354
Denver BroncosDenver,@ CAR,11,4.0,0,0,0,0,1,27,245,125,370
Philadelphia EaglesPhiladelphia,vs NO,10,5.0,1,0,1,0,0,21,262,96,358
Atlanta FalconsAtlanta,@ LAC,7,1.0,1,0,0,0,0,20,240,105,345
Cleveland BrownsCleveland,vs BAL,6,4.0,0,0,0,1,0,47,154,231,385
Pittsburgh SteelersPittsburgh,@ BUF,6,1.0,1,0,1,0,0,26,230,104,334
Green Bay PackersGreen Bay,@ DET,5,4.0,0,0,0,0,0,24,242,51,293
San Francisco 49ersSan Francisco,vs WAS,5,2.0,1,0,0,0,0,23,95,98,193
Baltimore RavensBaltimore,@ CLE,4,0.0,1,1,0,0,0,42,355,138,493
New England PatriotsNew England,@ LA,4,1.0,1,0,0,0,0,24,132,186,318
Jacksonville JaguarsJacksonville,vs TEN,3,1.0,0,0,1,0,0,31,205,249,454
Carolina PanthersCarolina,vs DEN,3,1.0,0,0,1,0,0,32,269,96,365
New York JetsNY Jets,@ SEA,3,1.0,1,0,0,0,0,40,236,174,410
New Orleans SaintsNew Orleans,@ PHI,3,0.0,0,0,1,0,0,24,167,246,413
Houston TexansHouston,@ CHI,3,3.0,0,0,0,0,0,36,241,169,410
New York GiantsNY Giants,vs ARI,2,1.0,0,0,0,0,0,26,231,159,390
Cincinnati BengalsCincinnati,vs DAL,2,2.0,0,0,0,0,0,30,171,101,272
Minnesota VikingsMinnesota,@ TB,1,0.0,0,0,0,0,0,26,196,107,303
Las Vegas RaidersLas Vegas,vs IND,0,0.0,0,0,0,0,0,44,244,212,456
Detroit LionsDetroit,vs GB,0,0.0,0,0,0,0,0,31,290,120,410
