Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Chicago BearsChicago,vs CIN,23,5.0,3,0,1,0,1,17,179,69,248
New England PatriotsNew England,@ NYJ,22,4.0,4,0,0,0,0,6,184,152,336
Buffalo BillsBuffalo,@ MIA,22,6.0,1,0,2,0,0,0,145,71,216
Tampa Bay BuccaneersTampa Bay,vs ATL,20,1.0,3,0,0,0,2,25,293,55,348
Carolina PanthersCarolina,vs NO,15,4.0,2,0,0,0,0,7,80,48,128
Minnesota VikingsMinnesota,@ ARI,13,3.0,2,0,0,0,1,34,371,103,474
Denver BroncosDenver,@ JAX,12,1.0,2,0,0,0,0,13,114,75,189
Indianapolis ColtsIndianapolis,vs LA,12,1.0,1,0,1,0,1,27,270,101,371
San Francisco 49ersSan Francisco,@ PHI,11,2.0,0,0,0,1,0,11,177,151,328
Kansas City ChiefsKansas City,@ BAL,11,1.0,2,0,0,0,1,36,230,251,481
Dallas CowboysDallas,@ LAC,10,2.0,2,0,0,0,0,17,313,95,408
Jacksonville JaguarsJacksonville,vs DEN,10,3.0,0,0,0,0,1,23,302,96,398
Green Bay PackersGreen Bay,vs DET,9,1.0,1,0,1,0,0,17,236,108,344
Cincinnati BengalsCincinnati,@ CHI,9,3.0,1,0,0,0,0,20,83,123,206
Cleveland BrownsCleveland,vs HOU,8,1.0,1,0,1,1,0,21,220,82,302
Los Angeles RamsLA Rams,@ IND,8,3.0,2,0,0,0,0,24,245,109,354
Los Angeles ChargersLA Chargers,vs DAL,8,2.0,1,0,0,0,0,20,221,198,419
Las Vegas RaidersLas Vegas,@ PIT,8,2.0,1,0,0,0,0,17,292,39,331
New Orleans SaintsNew Orleans,@ CAR,7,2.0,1,0,0,1,0,26,294,89,383
Houston TexansHouston,@ CLE,6,2.0,1,0,1,0,0,31,199,156,355
Atlanta FalconsAtlanta,@ TB,5,3.0,0,0,1,0,0,48,259,82,341
Seattle SeahawksSeattle,vs TEN,5,3.0,0,0,1,0,0,33,320,212,532
Miami DolphinsMiami,vs BUF,5,1.0,1,0,1,0,0,35,171,143,314
New York JetsNY Jets,vs NE,4,3.0,0,0,0,0,0,25,159,101,260
Philadelphia EaglesPhiladelphia,vs SF,4,0.0,0,0,0,0,0,17,189,117,306
Baltimore RavensBaltimore,vs KC,4,0.0,1,0,1,0,0,35,343,62,405
Washington Football TeamWashington,vs NYG,4,4.0,0,0,0,0,0,29,228,163,391
Pittsburgh SteelersPittsburgh,vs LV,3,2.0,0,0,0,0,0,26,373,52,425
New York GiantsNY Giants,@ WAS,3,1.0,1,0,0,0,0,30,320,87,407
Detroit LionsDetroit,@ GB,3,3.0,0,0,0,0,0,35,227,96,323
Tennessee TitansTennessee,@ SEA,3,3.0,0,0,0,0,0,30,320,77,397
Arizona CardinalsArizona,vs MIN,1,1.0,0,0,0,0,0,33,242,177,419
