Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Rodrigo BlankenshipINDR. BlankenshipIND,vs GB,14,2,2,5,4,0
Younghoe KooATLY. KooATL,@ NO,13,0,0,3,3,2
Michael BadgleyLACM. BadgleyLAC,vs NYJ,10,4,4,2,2,0
Stephen GostkowskiTENS. GostkowskiTEN,@ BAL,10,1,1,3,3,0
Dustin HopkinsWASD. HopkinsWAS,vs CIN,10,2,2,3,2,1
Joey SlyeCARJ. SlyeCAR,vs DET,10,2,2,2,2,1
Justin TuckerBALJ. TuckerBAL,vs TEN,10,1,1,3,3,0
Chris BoswellPITC. BoswellPIT,@ JAX,9,3,3,3,2,0
Ka'imi FairbairnHOUK. FairbairnHOU,vs NE,9,3,3,2,2,0
Matt GayLAM. GayLA,@ TB,9,3,3,3,2,0
Jason SandersMIAJ. SandersMIA,@ DEN,9,1,1,2,2,1
Nick FolkNEN. FolkNE,@ HOU,8,2,2,2,2,0
Brandon McManusDENB. McManusDEN,vs MIA,8,2,2,2,2,0
Jason MyersSEAJ. MyersSEA,vs ARI,8,3,2,2,2,0
Cody ParkeyCLEC. ParkeyCLE,vs PHI,8,2,2,3,2,0
Daniel CarlsonLVD. CarlsonLV,vs KC,7,4,4,1,1,0
Mason CrosbyGBM. CrosbyGB,@ IND,7,4,4,1,1,0
Wil LutzNOW. LutzNO,vs ATL,6,3,3,2,1,0
Ryan SuccopTBR. SuccopTB,vs LA,6,3,3,1,1,0
Randy BullockCINR. BullockCIN,@ WAS,5,1,0,3,1,1
Harrison ButkerKCH. ButkerKC,@ LV,5,5,5,0,0,0
Jake ElliottPHIJ. ElliottPHI,@ CLE,5,2,2,1,1,0
Greg ZuerleinDALG. ZuerleinDAL,@ MIN,5,3,2,1,1,0
Dan BaileyMIND. BaileyMIN,vs DAL,4,4,4,0,0,0
Zane GonzalezARIZ. GonzalezARI,@ SEA,3,3,3,0,0,0
Chase McLaughlinNYJC. McLaughlinNYJ,@ JAX,3,0,0,1,1,0
Sam FickenNYJS. FickenNYJ,@ LAC,2,4,2,0,0,0
Matt PraterDETM. PraterDET,@ CAR,0,0,0,1,0,0
