Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Zane GonzalezCARZ. GonzalezCAR,@ ATL,17,1,1,4,4,2
Joey SlyeWASJ. SlyeWAS,@ CHI,15,2,1,5,4,1
Jake ElliottPHIJ. ElliottPHI,@ DET,14,5,5,3,3,0
Nick FolkNEN. FolkNE,@ LAC,13,1,1,4,4,0
Brian JohnsonWASB. JohnsonWAS,@ NO,12,4,3,3,3,0
Tyler BassBUFT. BassBUF,vs MIA,10,2,2,2,2,1
Randy BullockTENR. BullockTEN,@ IND,10,4,4,2,2,0
Greg JosephMING. JosephMIN,vs DAL,10,1,1,3,3,0
Cairo SantosCHIC. SantosCHI,vs SF,10,2,1,3,3,0
Younghoe KooATLY. KooATL,vs CAR,9,1,1,3,2,1
Matt AmmendolaNYJM. AmmendolaNYJ,vs CIN,8,2,2,3,2,0
Harrison ButkerKCH. ButkerKC,vs NYG,8,2,2,2,2,0
Matt GayLAM. GayLA,@ HOU,8,5,5,1,1,0
Greg ZuerleinDALG. ZuerleinDAL,@ MIN,8,2,2,3,2,0
Michael BadgleyINDM. BadgleyIND,vs TEN,7,4,4,1,1,0
Evan McPhersonCINE. McPhersonCIN,@ NYJ,7,4,4,1,1,0
Jason MyersSEAJ. MyersSEA,vs JAX,7,4,4,1,1,0
Chris BlewittCLEC. BlewittCLE,@ DEN,6,1,1,3,1,1
Mason CrosbyGBM. CrosbyGB,@ ARI,6,3,3,1,1,0
Dustin HopkinsLACD. HopkinsLAC,vs NE,6,3,3,1,1,0
Graham GanoNYGG. GanoNYG,@ KC,5,2,2,1,1,0
Brandon McManusDENB. McManusDEN,vs WAS,5,2,2,2,1,0
Jason SandersMIAJ. SandersMIA,@ BUF,5,0,0,2,1,1
Chase McLaughlinCLEC. McLaughlinCLE,vs PIT,4,1,1,1,1,0
Chris BoswellPITC. BoswellPIT,@ CLE,3,0,0,1,1,0
Matt PraterARIM. PraterARI,vs GB,3,3,3,0,0,0
Ryan SuccopTBR. SuccopTB,@ NO,3,3,3,0,0,0
Ka'imi FairbairnHOUK. FairbairnHOU,vs LA,2,2,2,1,0,0
Matthew WrightJAXM. WrightJAX,@ SEA,1,1,1,0,0,0
Austin SeibertDETA. SeibertDET,vs PHI,0,0,0,1,0,0
