Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Miami DolphinsMiami,vs CAR,26,5.0,3,0,0,1,1,10,134,64,198
Cincinnati BengalsCincinnati,vs PIT,22,3.0,2,0,1,0,1,10,250,51,301
Denver BroncosDenver,vs LAC,20,3.0,2,0,0,0,1,13,285,72,357
New England PatriotsNew England,vs TEN,17,2.0,1,0,3,0,0,13,85,270,355
New York GiantsNY Giants,vs PHI,16,1.0,3,0,1,0,0,7,124,208,332
Baltimore RavensBaltimore,vs CLE,14,3.0,0,0,2,0,0,10,222,40,262
Buffalo BillsBuffalo,@ NO,14,2.0,1,0,0,0,0,6,146,44,190
Cleveland BrownsCleveland,@ BAL,14,2.0,4,0,0,0,0,16,155,148,303
Green Bay PackersGreen Bay,vs LA,14,2.0,1,0,2,0,1,28,285,68,353
Tampa Bay BuccaneersTampa Bay,@ IND,13,3.0,2,0,3,0,0,31,285,107,392
Seattle SeahawksSeattle,@ WAS,11,1.0,1,0,0,1,0,17,219,152,371
New York JetsNY Jets,@ HOU,11,5.0,1,0,0,0,0,14,106,96,202
Minnesota VikingsMinnesota,@ SF,10,2.0,1,0,0,0,1,34,215,208,423
Atlanta FalconsAtlanta,@ JAX,9,1.0,1,0,1,0,0,14,216,141,357
Dallas CowboysDallas,vs LV,9,3.0,0,0,0,0,1,36,366,143,509
Philadelphia EaglesPhiladelphia,@ NYG,8,1.0,0,0,0,0,0,13,194,70,264
Washington Football TeamWashington,vs SEA,8,2.0,0,0,1,0,0,15,233,34,267
Detroit LionsDetroit,vs CHI,7,1.0,1,0,0,0,0,16,310,68,378
Houston TexansHouston,vs NYJ,7,4.0,1,0,0,0,0,21,109,157,266
Chicago BearsChicago,@ DET,7,1.0,0,0,1,0,0,14,163,76,239
New Orleans SaintsNew Orleans,vs BUF,6,2.0,2,0,0,0,0,31,248,113,361
San Francisco 49ersSan Francisco,vs MIN,6,1.0,1,0,1,0,0,26,256,67,323
Indianapolis ColtsIndianapolis,vs TB,6,2.0,1,0,1,0,0,38,217,142,359
Jacksonville JaguarsJacksonville,vs ATL,4,1.0,1,0,0,0,0,21,183,149,332
Pittsburgh SteelersPittsburgh,@ CIN,4,2.0,1,0,0,0,0,41,172,198,370
Carolina PanthersCarolina,@ MIA,4,2.0,0,0,1,0,0,33,204,111,315
Los Angeles ChargersLA Chargers,@ DEN,3,1.0,1,0,0,0,0,28,155,147,302
Los Angeles RamsLA Rams,@ GB,3,1.0,0,0,1,0,0,36,307,92,399
Tennessee TitansTennessee,@ NE,2,2.0,0,0,0,0,0,36,289,105,394
Las Vegas RaidersLas Vegas,@ DAL,1,1.0,0,0,0,0,0,33,373,64,437
