Player,Game,Pts*,Passing_Att,Passing_Cmp,Passing_Yds,Passing_TD,Passing_Int,Passing_2Pt,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_2Pt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_2Pt,Fumble_FL,Fumble_TD
Lamar JacksonL. Jackson,IND@BAL,50.00,43,37,442,4,0,2,14,62,0,0,0,0,0,0,1,0
Justin HerbertJ. Herbert,CLE@LAC,49.00,43,26,398,4,0,1,4,29,1,0,0,0,0,0,0,0
Tom BradyT. Brady,MIA@TB,47.00,41,30,411,5,0,0,1,13,0,0,0,0,0,0,0,0
Josh AllenJ. Allen,BUF@KC,41.00,26,15,315,3,0,0,11,59,1,0,0,0,0,0,0,0
Jameis WinstonJ. Winston,NO@WAS,34.00,30,15,279,4,1,0,6,26,0,0,0,0,0,0,1,0
Derrick HenryD. Henry,TEN@JAX,31.00,0,0,0,0,0,0,29,130,3,0,0,0,0,0,0,0
Mark AndrewsM. Andrews,IND@BAL,30.00,0,0,0,0,0,0,0,0,0,0,11,147,2,2,0,0
Davis MillsD. Mills,NE@HOU,30.00,29,21,312,3,0,0,1,2,0,0,0,0,0,0,0,0
Austin EkelerA. Ekeler,CLE@LAC,28.00,0,0,0,0,0,0,17,66,2,0,5,53,1,0,1,0
Jonathan TaylorJ. Taylor,IND@BAL,28.00,0,0,0,0,0,0,15,53,1,0,3,116,1,0,0,0
Mike WilliamsM. Williams,CLE@LAC,28.00,0,0,0,0,0,0,0,0,0,0,8,165,2,0,0,0
Dak PrescottD. Prescott,NYG@DAL,27.00,32,22,302,3,1,0,2,6,0,0,0,0,0,0,1,0
Carson WentzC. Wentz,IND@BAL,27.00,35,25,402,2,0,0,2,5,0,0,0,0,0,0,1,0
Davante AdamsD. Adams,GB@CIN,26.00,0,0,0,0,0,0,0,0,0,0,11,206,1,0,0,0
Baker MayfieldB. Mayfield,CLE@LAC,26.00,32,23,305,2,0,1,2,8,0,0,0,0,0,0,0,0
Matt RyanM. Ryan,NYJ@ATL,25.00,45,33,342,2,0,0,1,-1,0,0,0,0,0,0,0,0
Antonio BrownA. Brown,MIA@TB,24.00,0,0,0,0,0,0,0,0,0,0,7,124,2,0,0,0
Marquise BrownM. Brown,IND@BAL,24.00,0,0,0,0,0,0,0,0,0,0,9,125,2,0,0,0
Alvin KamaraA. Kamara,NO@WAS,24.00,0,0,0,0,0,0,16,71,1,0,5,51,1,0,0,0
Ezekiel ElliottE. Elliott,NYG@DAL,23.00,0,0,0,0,0,0,21,110,1,0,2,2,1,0,0,0
Mike EvansM. Evans,MIA@TB,23.00,0,0,0,0,0,0,0,0,0,0,6,113,2,0,0,0
Patrick MahomesP. Mahomes,BUF@KC,23.00,54,33,272,2,2,0,8,61,0,0,0,0,0,0,1,0
Aaron RodgersA. Rodgers,GB@CIN,23.00,39,27,344,2,1,0,0,0,0,0,0,0,0,0,0,0
Teddy BridgewaterT. Bridgewater,DEN@PIT,22.00,38,24,288,2,1,0,1,11,0,0,0,0,0,0,0,0
Joe BurrowJ. Burrow,GB@CIN,22.00,38,26,281,2,2,1,3,11,0,0,0,0,0,0,0,0
Nick ChubbN. Chubb,CLE@LAC,22.00,0,0,0,0,0,0,21,161,1,0,1,9,0,0,0,0
Jalen HurtsJ. Hurts,PHI@CAR,22.00,37,22,198,0,1,1,9,30,2,0,0,0,0,0,0,0
Trevor LawrenceT. Lawrence,TEN@JAX,22.00,33,23,273,1,1,0,7,28,1,0,0,0,0,0,0,0
Ja'Marr ChaseJ. Chase,GB@CIN,21.00,0,0,0,0,0,0,0,0,0,0,6,159,1,0,0,0
Myles GaskinM. Gaskin,MIA@TB,21.00,0,0,0,0,0,0,5,25,0,0,10,74,2,0,0,0
D.K. MetcalfD. Metcalf,LA@SEA,21.00,0,0,0,0,0,0,0,0,0,0,5,98,2,0,0,0
Ben RoethlisbergerB. Roethlisberger,DEN@PIT,21.00,25,15,253,2,0,0,1,-1,0,0,0,0,0,0,1,0
Jacoby BrissettJ. Brissett,MIA@TB,20.00,39,27,275,2,1,0,0,0,0,0,0,0,0,0,1,0
Marquez CallawayM. Callaway,NO@WAS,20.00,0,0,0,0,0,0,0,0,0,0,4,85,2,0,0,0
Najee HarrisN. Harris,DEN@PIT,20.00,0,0,0,0,0,0,23,122,1,0,2,20,0,0,0,0
Kareem HuntK. Hunt,CLE@LAC,20.00,0,0,0,0,0,0,12,61,2,0,5,28,0,0,0,0
Alexander MattisonA. Mattison,DET@MIN,20.00,0,0,0,0,0,0,25,113,0,0,7,40,1,0,1,0
David NjokuD. Njoku,CLE@LAC,20.00,0,0,0,0,0,0,0,0,0,0,7,149,1,0,0,0
James RobinsonJ. Robinson,TEN@JAX,20.00,0,0,0,0,0,0,18,149,1,0,1,-2,0,0,0,0
Chase ClaypoolC. Claypool,DEN@PIT,19.00,0,0,0,0,0,0,0,0,0,0,5,130,1,0,0,0
Antonio GibsonA. Gibson,NO@WAS,19.00,0,0,0,0,0,0,20,60,2,0,2,12,0,0,0,0
Matthew StaffordM. Stafford,LA@SEA,18.00,37,25,365,1,1,0,1,-1,0,0,0,0,0,0,0,0
Courtland SuttonC. Sutton,DEN@PIT,18.00,0,0,0,0,0,0,0,0,0,0,7,120,1,0,0,0
Kadarius ToneyK. Toney,NYG@DAL,18.00,1,0,0,0,0,0,1,7,0,0,10,189,0,0,0,0
Devontae BookerD. Booker,NYG@DAL,17.00,0,0,0,0,0,0,16,42,1,0,3,16,1,0,0,0
Dawson KnoxD. Knox,BUF@KC,17.00,0,0,0,0,0,0,0,0,0,0,3,117,1,0,0,0
Kyle PittsK. Pitts,NYJ@ATL,17.00,0,0,0,0,0,0,0,0,0,0,9,119,1,0,0,0
Emmanuel SandersE. Sanders,BUF@KC,17.00,0,0,0,0,0,0,0,0,0,0,3,54,2,0,0,0
Leonard FournetteL. Fournette,MIA@TB,16.00,0,0,0,0,0,0,12,67,1,0,4,43,0,0,0,0
Chris MooreC. Moore,NE@HOU,16.00,0,0,0,0,0,0,0,0,0,0,5,109,1,0,0,0
D'Andre SwiftD. Swift,DET@MIN,16.00,0,0,0,0,0,0,11,51,1,0,6,53,0,0,0,0
Kirk CousinsK. Cousins,DET@MIN,15.00,34,25,275,1,1,0,1,4,0,0,0,0,0,0,0,0
Darrell HendersonD. Henderson,LA@SEA,15.00,0,0,0,0,0,0,17,82,1,0,1,17,0,0,0,0
Kyler MurrayK. Murray,SF@ARI,15.00,31,22,239,1,0,0,7,1,0,0,0,0,0,0,0,0
Ryan TannehillR. Tannehill,TEN@JAX,15.00,22,14,197,1,0,0,3,21,0,0,0,0,0,0,0,0
Robert WoodsR. Woods,LA@SEA,15.00,0,0,0,0,0,0,0,0,0,0,12,150,0,0,0,0
DeAndre HopkinsD. Hopkins,SF@ARI,14.00,0,0,0,0,0,0,0,0,0,0,6,87,1,0,0,0
CeeDee LambC. Lamb,NYG@DAL,14.00,0,0,0,0,0,0,1,4,0,0,4,84,1,0,0,0
Michael PittmanM. Pittman,IND@BAL,14.00,0,0,0,0,0,0,0,0,0,0,6,89,1,0,0,0
Damien WilliamsD. Williams,CHI@LV,14.00,0,0,0,0,0,0,16,64,1,0,2,20,0,0,0,0
Chris ConleyC. Conley,NE@HOU,13.00,0,0,0,0,0,0,0,0,0,0,3,84,1,0,1,0
AJ DillonA. Dillon,GB@CIN,13.00,0,0,0,0,0,0,8,30,0,0,4,49,1,0,0,0
Deonte HartyD. Harty,NO@WAS,13.00,0,0,0,0,0,0,0,0,0,0,1,72,1,0,0,0
Hunter HenryH. Henry,NE@HOU,13.00,0,0,0,0,0,0,0,0,0,0,6,75,1,0,0,0
Chuba HubbardC. Hubbard,PHI@CAR,13.00,0,0,0,0,0,0,24,101,0,0,5,33,0,0,0,0
Diontae JohnsonD. Johnson,DEN@PIT,13.00,0,0,0,0,0,0,0,0,0,0,2,72,1,0,0,0
Mac JonesM. Jones,NE@HOU,13.00,30,23,231,1,1,0,1,3,0,0,0,0,0,0,0,0
Trey LanceT. Lance,SF@ARI,13.00,29,15,192,0,1,0,16,89,0,0,0,0,0,0,0,0
Samaje PerineS. Perine,GB@CIN,13.00,0,0,0,0,0,0,11,59,0,0,4,24,1,0,0,0
Amari CooperA. Cooper,NYG@DAL,12.00,0,0,0,0,0,0,0,0,0,0,3,60,1,0,0,0
Justin JeffersonJ. Jefferson,DET@MIN,12.00,0,0,0,0,0,0,0,0,0,0,7,124,0,0,0,0
Deebo SamuelD. Samuel,SF@ARI,12.00,0,0,0,0,0,0,1,13,1,0,3,58,0,0,0,0
Michael CarterM. Carter,NYJ@ATL,11.00,0,0,0,0,0,0,10,38,1,0,3,20,0,0,0,0
Josh JacobsJ. Jacobs,CHI@LV,11.00,0,0,0,0,0,0,15,48,1,0,4,19,0,0,0,0
Travis KelceT. Kelce,BUF@KC,11.00,0,0,0,0,0,0,0,0,0,0,6,57,1,0,0,0
Cordarrelle PattersonC. Patterson,NYJ@ATL,11.00,1,0,0,0,0,0,14,54,0,0,7,60,0,0,0,0
Geno SmithG. Smith,LA@SEA,11.00,17,10,131,1,1,0,3,23,0,0,0,0,0,0,0,0
Russell WilsonR. Wilson,LA@SEA,11.00,16,11,152,1,1,0,2,10,0,0,0,0,0,0,0,0
Mike DavisM. Davis,NYJ@ATL,10.00,0,0,0,0,0,0,13,53,1,0,2,8,0,0,1,0
Justin FieldsJ. Fields,CHI@LV,10.00,20,12,111,1,0,0,3,4,0,0,0,0,0,0,0,0
Damien HarrisD. Harris,NE@HOU,10.00,0,0,0,0,0,0,14,58,1,0,0,0,0,0,1,0
Aaron JonesA. Jones,GB@CIN,10.00,0,0,0,0,0,0,14,103,0,0,4,6,0,0,0,0
Donald ParhamD. Parham,CLE@LAC,10.00,0,0,0,0,0,0,0,0,0,0,2,29,1,1,0,0
Giovani BernardG. Bernard,MIA@TB,9.00,0,0,0,0,0,0,4,21,0,0,2,14,1,0,0,0
Mike GlennonM. Glennon,NYG@DAL,9.00,25,16,196,1,2,0,2,2,0,0,0,0,0,0,0,0
Taylor HeinickeT. Heinicke,NO@WAS,9.00,41,20,248,0,2,0,5,40,0,0,0,0,0,0,0,0
Hayden HurstH. Hurst,NYJ@ATL,9.00,0,0,0,0,0,0,0,0,0,0,4,40,1,0,1,0
Ty JohnsonT. Johnson,NYJ@ATL,9.00,0,0,0,0,0,0,4,12,1,0,2,22,0,0,0,0
Cooper KuppC. Kupp,LA@SEA,9.00,0,0,0,0,0,0,0,0,0,0,7,92,0,0,0,0
