Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Cairo SantosCHIC. SantosCHI,@ MIN,15,3,3,4,4,0
Tyler BassBUFT. BassBUF,@ DEN,12,6,6,2,2,0
Nick FolkNEN. FolkNE,@ MIA,12,0,0,4,4,0
Rodrigo BlankenshipINDR. BlankenshipIND,vs HOU,11,3,3,2,2,1
Sam FickenNYJS. FickenNYJ,@ LA,11,2,2,3,3,0
Younghoe KooATLY. KooATL,vs TB,11,3,3,2,2,1
Greg ZuerleinDALG. ZuerleinDAL,vs SF,11,5,5,3,2,0
Joey SlyeCARJ. SlyeCAR,@ GB,10,1,1,3,3,0
Dan BaileyMIND. BaileyMIN,vs CHI,9,3,3,2,2,0
Daniel CarlsonLVD. CarlsonLV,vs LAC,9,3,3,2,2,0
Robbie GouldSFR. GouldSF,@ DAL,9,3,3,2,2,0
Austin SeibertCINA. SeibertCIN,vs PIT,9,3,3,3,2,0
Mason CrosbyGBM. CrosbyGB,vs CAR,8,3,3,1,1,1
Ka'imi FairbairnHOUK. FairbairnHOU,@ IND,8,2,2,2,2,0
Matt GayLAM. GayLA,vs NYJ,8,2,2,2,2,0
Stephen GostkowskiTENS. GostkowskiTEN,vs DET,8,5,5,1,1,0
Jason MyersSEAJ. MyersSEA,@ WAS,8,2,2,2,2,0
Justin TuckerBALJ. TuckerBAL,vs JAX,8,5,5,2,1,0
Mike NugentARIM. NugentARI,vs PHI,7,4,4,1,1,0
Matt PraterDETM. PraterDET,@ TEN,7,3,2,1,1,1
Ryan SuccopTBR. SuccopTB,@ ATL,7,4,4,1,1,0
Michael BadgleyLACM. BadgleyLAC,@ LV,6,3,3,3,1,0
Harrison ButkerKCH. ButkerKC,@ NO,6,3,3,1,1,0
Graham GanoNYGG. GanoNYG,vs CLE,6,0,0,2,2,0
Chris BoswellPITC. BoswellPIT,@ CIN,5,2,2,1,1,0
Dustin HopkinsWASD. HopkinsWAS,vs SEA,3,1,0,1,1,0
Wil LutzNOW. LutzNO,vs KC,3,3,3,0,0,0
Jake ElliottPHIJ. ElliottPHI,@ ARI,2,2,2,0,0,0
Cody ParkeyCLEC. ParkeyCLE,@ NYG,2,3,2,0,0,0
Aldrick RosasJAXA. RosasJAX,@ BAL,2,2,2,0,0,0
Jason SandersMIAJ. SandersMIA,vs NE,2,2,2,1,0,0
Taylor RussolinoDENT. RussolinoDEN,vs BUF,1,3,1,1,0,0
