Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Chase McLaughlinCLEC. McLaughlinCLE,vs CHI,18,2,2,4,4,2
Justin TuckerBALJ. TuckerBAL,@ DET,17,1,1,5,4,2
Mason CrosbyGBM. CrosbyGB,@ SF,16,3,3,3,3,2
Brandon McManusDENB. McManusDEN,vs NYJ,14,2,2,4,4,0
Tyler BassBUFT. BassBUF,vs WAS,13,4,4,3,3,0
Daniel CarlsonLVD. CarlsonLV,vs MIA,13,3,2,3,3,1
Greg JosephMING. JosephMIN,vs SEA,12,3,3,3,3,0
Rodrigo BlankenshipINDR. BlankenshipIND,@ TEN,10,1,1,4,3,0
Matt GayLAM. GayLA,vs TB,10,4,4,2,2,0
Jason SandersMIAJ. SandersMIA,@ LV,10,2,2,3,2,1
Nick FolkNEN. FolkNE,vs NO,7,1,1,2,2,0
Jason MyersSEAJ. MyersSEA,@ MIN,7,2,2,2,1,1
Matt PraterARIM. PraterARI,@ JAX,7,4,4,2,1,0
Harrison ButkerKCH. ButkerKC,vs LAC,6,3,3,1,1,0
Graham GanoNYGG. GanoNYG,vs ATL,6,0,0,2,2,0
Zane GonzalezCARZ. GonzalezCAR,@ HOU,6,3,3,1,1,0
Evan McPhersonCINE. McPhersonCIN,@ PIT,6,3,3,1,1,0
Cairo SantosCHIC. SantosCHI,@ CLE,6,0,0,2,2,0
Ryan SuccopTBR. SuccopTB,@ LA,6,3,3,2,1,0
Randy BullockTENR. BullockTEN,vs IND,5,2,2,1,1,0
Younghoe KooATLY. KooATL,@ NYG,5,2,2,1,1,0
Ryan SantosoLAR. SantosoLA,@ DET,5,2,2,1,1,0
Joey SlyeWASJ. SlyeWAS,@ HOU,5,1,0,1,1,1
Greg ZuerleinDALG. ZuerleinDAL,vs PHI,5,6,5,0,0,0
Chris BoswellPITC. BoswellPIT,vs CIN,4,1,1,2,1,0
Robbie GouldSFR. GouldSF,vs GB,4,4,4,0,0,0
Aldrick RosasDETA. RosasDET,@ NE,4,4,4,2,0,0
Tristan VizcainoLACT. VizcainoLAC,@ KC,4,3,1,1,1,0
Jake ElliottPHIJ. ElliottPHI,@ DAL,3,3,3,0,0,0
Dustin HopkinsLACD. HopkinsLAC,@ BUF,3,3,3,0,0,0
Josh LamboPITJ. LamboPIT,@ JAX,1,3,1,0,0,0
