Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Tyler BassBUFT. BassBUF,@ ARI,18,3,3,3,3,3
Matt PraterDETM. PraterDET,vs WAS,16,3,3,3,3,2
Ryan SuccopTBR. SuccopTB,@ CAR,16,5,4,4,4,0
Daniel CarlsonLVD. CarlsonLV,vs DEN,15,4,4,3,3,1
Zane GonzalezARIZ. GonzalezARI,vs BUF,14,2,2,4,4,0
Jason SandersMIAJ. SandersMIA,vs LAC,13,2,2,4,3,1
Chris BoswellPITC. BoswellPIT,vs CIN,12,3,3,3,3,0
Jason MyersSEAJ. MyersSEA,@ LA,12,1,1,3,3,1
Rodrigo BlankenshipINDR. BlankenshipIND,@ TEN,10,4,4,2,2,0
Chase McLaughlinNYJC. McLaughlinNYJ,@ GB,10,2,2,2,2,1
Graham GanoNYGG. GanoNYG,vs PHI,9,3,3,2,2,0
Dustin HopkinsWASD. HopkinsWAS,@ DET,9,3,3,3,2,0
Wil LutzNOW. LutzNO,vs SF,9,3,3,2,2,0
Brandon McManusDENB. McManusDEN,@ LV,8,0,0,2,2,1
Dan BaileyMIND. BaileyMIN,@ CHI,7,1,1,2,2,0
Stephen GostkowskiTENS. GostkowskiTEN,vs IND,7,2,2,2,1,1
Robbie GouldSFR. GouldSF,@ NO,7,1,1,2,2,0
Cairo SantosCHIC. SantosCHI,vs MIN,7,1,1,2,2,0
Mason CrosbyGBM. CrosbyGB,vs JAX,6,3,3,1,1,0
Nick FolkNEN. FolkNE,vs BAL,5,3,2,1,1,0
Kai ForbathLAK. ForbathLA,vs SEA,5,3,2,1,1,0
Joey SlyeCARJ. SlyeCAR,vs TB,5,2,2,1,1,0
Justin TuckerBALJ. TuckerBAL,@ NE,5,2,2,1,1,0
Randy BullockCINR. BullockCIN,@ PIT,4,1,1,1,1,0
Cody ParkeyCLEC. ParkeyCLE,vs HOU,4,1,1,1,1,0
Michael BadgleyLACM. BadgleyLAC,@ MIA,3,3,3,0,0,0
Jake ElliottPHIJ. ElliottPHI,@ NYG,3,0,0,1,1,0
Ka'imi FairbairnHOUK. FairbairnHOU,@ CLE,1,1,1,1,0,0
