Player,Game,Pts*,XPA,XPM,FGA,FGM,50+
Ka'imi FairbairnK. Fairbairn,HOU@DAL,15.00,2,2,3,3,2
Daniel CarlsonD. Carlson,LV@LA,12.00,1,1,3,3,1
Jake ElliottJ. Elliott,PHI@NYG,12.00,6,6,2,2,0
Riley PattersonR. Patterson,JAX@TEN,12.00,3,3,3,3,0
Eddy PineiroE. Pineiro,CAR@SEA,12.00,3,3,3,3,0
Cameron DickerC. Dicker,MIA@LAC,11.00,2,2,3,3,0
Nick FolkN. Folk,NE@ARI,11.00,3,3,2,2,1
Brett MaherB. Maher,HOU@DAL,11.00,3,3,2,2,1
Michael BadgleyM. Badgley,MIN@DET,10.00,4,4,3,2,0
Harrison ButkerH. Butker,KC@DEN,10.00,4,4,2,2,0
Justin TuckerJ. Tucker,BAL@PIT,10.00,1,1,3,3,0
Tyler BassT. Bass,NYJ@BUF,8.00,2,2,2,2,0
Matt GayM. Gay,LV@LA,7.00,2,2,2,1,1
Matt PraterM. Prater,NE@ARI,7.00,1,1,3,2,0
Jason SandersJ. Sanders,MIA@LAC,7.00,2,2,1,1,1
Jason MyersJ. Myers,CAR@SEA,6.00,3,3,1,1,0
Robbie GouldR. Gould,TB@SF,5.00,5,5,0,0,0
Greg JosephG. Joseph,MIN@DET,5.00,2,2,1,1,0
Evan McPhersonE. McPherson,CLE@CIN,5.00,3,2,1,1,0
Brandon McManusB. McManus,KC@DEN,4.00,4,4,0,0,0
Cade YorkC. York,CLE@CIN,4.00,1,1,1,1,0
Greg ZuerleinG. Zuerlein,NYJ@BUF,4.00,1,1,1,1,0
Chris BoswellC. Boswell,BAL@PIT,2.00,2,2,1,0,0
Randy BullockR. Bullock,JAX@TEN,2.00,2,2,0,0,0
Graham GanoG. Gano,PHI@NYG,2.00,2,2,0,0,0
Ryan SuccopR. Succop,TB@SF,1.00,1,1,1,0,0
