Player,Game,Pts*,XPA,XPM,FGA,FGM,50+
Nick FolkN. Folk,IND@NE,14.00,2,2,4,4,0
Ryan SuccopR. Succop,LA@TB,12.00,1,1,4,3,1
Greg ZuerleinG. Zuerlein,BUF@NYJ,10.00,2,2,2,2,1
Riley PattersonR. Patterson,LV@JAX,9.00,3,3,3,2,0
Justin TuckerJ. Tucker,BAL@NO,9.00,3,3,2,2,0
Daniel CarlsonD. Carlson,LV@JAX,8.00,2,2,2,2,0
Cameron DickerC. Dicker,LAC@ATL,8.00,2,2,2,2,0
Greg JosephG. Joseph,MIN@WAS,8.00,2,2,2,2,0
Tyler BassT. Bass,BUF@NYJ,7.00,2,2,2,1,1
Matt GayM. Gay,LA@TB,7.00,1,1,2,2,0
Wil LutzW. Lutz,BAL@NO,7.00,1,1,2,2,0
Jason MyersJ. Myers,SEA@ARI,7.00,4,4,1,1,0
Harrison ButkerH. Butker,TEN@KC,6.00,1,0,3,2,0
Evan McPhersonE. McPherson,CAR@CIN,6.00,6,6,1,0,0
Cairo SantosC. Santos,MIA@CHI,6.00,3,3,1,1,0
Randy BullockR. Bullock,TEN@KC,5.00,2,2,1,1,0
Ka'imi FairbairnK. Fairbairn,PHI@HOU,5.00,2,2,1,1,0
Younghoe KooY. Koo,LAC@ATL,5.00,2,2,2,1,0
Jason SandersJ. Sanders,MIA@CHI,5.00,5,5,1,0,0
Joey SlyeJ. Slye,MIN@WAS,5.00,2,2,1,1,0
Mason CrosbyM. Crosby,GB@DET,3.00,0,0,1,1,0
Jake ElliottJ. Elliott,PHI@HOU,3.00,3,3,1,0,0
Chase McLaughlinC. McLaughlin,IND@NE,3.00,0,0,2,1,0
Eddy PineiroE. Pineiro,CAR@CIN,3.00,3,3,0,0,0
Matt PraterM. Prater,SEA@ARI,3.00,3,3,0,0,0
Michael BadgleyM. Badgley,GB@DET,1.00,1,1,0,0,0
