Team,Game,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
New Orleans SaintsNO,NO@NE,24.00,2.0,2,0,1,0,1,0,111,45,156
Pittsburgh SteelersPIT,BAL@PIT,21.00,4.0,1,1,2,1,0,10,210,125,335
San Francisco 49ersSF,DAL@SF,19.00,4.0,3,0,1,0,0,10,140,57,197
New York JetsNYJ,NYJ@DEN,19.00,4.0,0,1,3,0,1,21,169,139,308
Cincinnati BengalsCIN,CIN@ARI,19.00,3.0,2,0,1,0,1,20,152,142,294
Las Vegas RaidersLV,GB@LV,15.00,2.0,3,0,0,0,0,13,175,110,285
Chicago BearsCHI,CHI@WAS,13.00,5.0,1,0,1,0,0,20,359,29,388
New York GiantsNYG,NYG@MIA,13.00,1.0,2,0,1,0,1,31,302,222,524
Green Bay PackersGB,GB@LV,12.00,4.0,1,0,0,1,0,17,183,96,279
Miami DolphinsMIA,NYG@MIA,11.00,7.0,0,0,0,0,0,16,183,85,268
Buffalo BillsBUF,JAX@BUF,10.00,5.0,0,0,2,0,0,25,278,196,474
Kansas City ChiefsKC,KC@MIN,9.00,3.0,0,0,1,0,0,20,259,70,329
Baltimore RavensBAL,BAL@PIT,9.00,3.0,0,0,1,0,0,17,202,87,289
Denver BroncosDEN,NYJ@DEN,8.00,4.0,1,0,1,0,0,31,173,234,407
Detroit LionsDET,CAR@DET,8.00,1.0,2,0,1,0,0,24,243,99,342
Jacksonville JaguarsJAX,JAX@BUF,8.00,0.0,1,0,1,0,0,20,359,29,388
Philadelphia EaglesPHI,PHI@LA,8.00,4.0,0,0,0,0,0,14,195,54,249
Indianapolis ColtsIND,TEN@IND,7.00,1.0,1,0,0,0,0,16,259,89,348
Houston TexansHOU,HOU@ATL,5.00,0.0,0,0,2,0,0,21,351,96,447
Arizona CardinalsARI,CIN@ARI,5.00,3.0,1,0,0,0,0,34,287,93,380
Atlanta FalconsATL,HOU@ATL,4.00,0.0,0,0,0,0,0,19,249,64,313
Los Angeles RamsLA,PHI@LA,4.00,1.0,1,0,0,0,0,23,295,159,454
Minnesota VikingsMIN,KC@MIN,3.00,2.0,0,0,0,0,0,27,266,67,333
Dallas CowboysDAL,DAL@SF,3.00,1.0,0,0,1,0,0,42,251,170,421
Washington CommandersWAS,CHI@WAS,3.00,3.0,0,0,0,0,0,40,273,178,451
New England PatriotsNE,NO@NE,2.00,2.0,0,0,0,0,0,34,168,136,304
Carolina PanthersCAR,CAR@DET,2.00,2.0,0,0,0,0,0,42,218,159,377
Tennessee TitansTEN,TEN@IND,2.00,1.0,0,0,0,0,0,23,236,193,429
