Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Matt PraterARIM. PraterARI,vs LA,15,2,2,3,3,2
Harrison ButkerKCH. ButkerKC,vs LV,14,6,6,2,2,1
Matt GayLAM. GayLA,@ ARI,14,3,3,3,3,1
Justin TuckerBALJ. TuckerBAL,@ CLE,14,1,1,3,3,2
Dustin HopkinsLACD. HopkinsLAC,vs NYG,13,4,4,3,3,0
Greg ZuerleinDALG. ZuerleinDAL,@ WAS,13,1,1,4,4,0
Greg JosephMING. JosephMIN,vs PIT,12,4,3,4,3,0
Brett MaherNOB. MaherNO,@ NYJ,12,3,3,3,3,0
Cairo SantosCHIC. SantosCHI,@ GB,12,3,3,3,3,0
Younghoe KooATLY. KooATL,@ CAR,11,2,2,3,3,0
Evan McPhersonCINE. McPhersonCIN,vs SF,11,2,2,4,3,0
Brandon McManusDENB. McManusDEN,vs DET,10,5,5,1,1,1
Tyler BassBUFT. BassBUF,@ TB,9,3,3,2,2,0
Mason CrosbyGBM. CrosbyGB,vs CHI,9,6,6,1,1,0
Ka'imi FairbairnHOUK. FairbairnHOU,vs SEA,9,1,1,2,2,1
Eddy PineiroNYJE. PineiroNYJ,vs NO,9,0,0,3,3,0
Ryan SuccopTBR. SuccopTB,vs BUF,9,3,3,2,2,0
Randy BullockTENR. BullockTEN,vs JAX,8,2,2,3,2,0
Robbie GouldSFR. GouldSF,@ CIN,8,2,2,3,2,0
Jason MyersSEAJ. MyersSEA,@ HOU,7,3,1,2,2,0
Chase McLaughlinCLEC. McLaughlinCLE,vs BAL,6,3,3,2,1,0
Riley PattersonDETR. PattersonDET,@ DEN,4,1,1,1,1,0
Daniel CarlsonLVD. CarlsonLV,@ KC,3,1,0,1,1,0
Zane GonzalezCARZ. GonzalezCAR,vs ATL,3,3,3,0,0,0
Chris BoswellPITC. BoswellPIT,@ MIN,2,2,2,1,0,0
Graham GanoNYGG. GanoNYG,@ LAC,1,1,1,0,0,0
Brian JohnsonWASB. JohnsonWAS,vs DAL,0,1,0,0,0,0
