Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
San Francisco 49ersSan Francisco,vs CHI,16,7.0,0,0,1,0,0,13,94,68,162
Tampa Bay BuccaneersTampa Bay,vs LV,13,2.0,1,0,1,0,0,13,195,91,286
Pittsburgh SteelersPittsburgh,vs CLE,13,3.0,2,0,1,0,0,14,196,104,300
New Orleans SaintsNew Orleans,@ NYG,13,2.0,1,0,0,1,0,11,213,112,325
Tennessee TitansTennessee,vs JAX,12,1.0,2,0,0,0,0,10,220,71,291
Jacksonville JaguarsJacksonville,@ TEN,12,2.0,0,0,0,0,0,6,146,126,272
Cincinnati BengalsCincinnati,@ DAL,11,3.0,1,0,1,0,0,20,166,156,322
Seattle SeahawksSeattle,@ ARI,10,2.0,2,0,0,0,0,18,235,121,356
Las Vegas RaidersLas Vegas,@ TB,10,4.0,2,0,1,0,0,28,268,152,420
New York GiantsNY Giants,vs NO,10,2.0,1,0,0,1,0,14,200,92,292
Minnesota VikingsMinnesota,vs ATL,8,1.0,2,0,1,0,0,21,338,158,496
Los Angeles RamsLA Rams,vs BUF,8,0.0,0,0,0,1,1,42,342,103,445
Kansas City ChiefsKansas City,vs LAC,7,3.0,0,0,0,0,0,17,194,94,288
Philadelphia EaglesPhiladelphia,vs CAR,7,1.0,1,0,0,0,0,16,184,118,302
Los Angeles ChargersLA Chargers,@ KC,7,3.0,0,0,0,0,0,19,202,96,298
Dallas CowboysDallas,vs CIN,5,2.0,1,0,0,0,0,27,359,74,433
Carolina PanthersCarolina,@ PHI,5,4.0,0,0,0,0,0,22,83,209,292
Miami DolphinsMiami,vs NYJ,4,3.0,0,0,0,0,0,26,319,83,402
Cleveland BrownsCleveland,@ PIT,4,1.0,0,0,1,0,0,27,147,120,267
Atlanta FalconsAtlanta,@ MIN,4,4.0,0,0,0,0,0,42,318,115,433
Green Bay PackersGreen Bay,@ DET,3,1.0,1,0,0,0,0,34,280,111,391
Detroit LionsDetroit,vs GB,3,1.0,0,0,1,0,0,31,199,99,298
Chicago BearsChicago,@ SF,3,1.0,1,0,0,0,0,38,321,131,452
Arizona CardinalsArizona,vs SEA,0,0.0,0,0,0,0,0,30,233,176,409
New York JetsNY Jets,@ MIA,0,0.0,0,0,0,0,0,32,331,44,375
Buffalo BillsBuffalo,@ LA,0,0.0,0,0,0,0,0,44,320,137,457
