Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Carolina PanthersCarolina,@ WAS,24,3.0,2,0,2,0,1,13,278,108,386
Tampa Bay BuccaneersTampa Bay,@ DET,15,4.0,1,0,1,0,0,7,113,73,186
San Francisco 49ersSan Francisco,@ ARI,14,3.0,1,0,1,0,0,12,230,120,350
Baltimore RavensBaltimore,vs NYG,13,6.0,0,0,0,0,0,13,215,54,269
Dallas CowboysDallas,vs PHI,13,3.0,2,0,1,0,0,17,326,151,477
New York JetsNY Jets,vs CLE,12,4.0,0,0,2,0,0,16,254,45,299
Seattle SeahawksSeattle,vs LA,12,3.0,1,0,0,0,0,9,216,118,334
Washington Football TeamWashington,vs CAR,12,4.0,1,0,1,0,0,20,167,113,280
Buffalo BillsBuffalo,@ NE,10,3.0,0,0,0,0,0,9,56,145,201
Green Bay PackersGreen Bay,vs TEN,10,2.0,2,0,0,0,0,14,104,156,260
Los Angeles ChargersLA Chargers,vs DEN,10,2.0,2,0,0,0,0,16,263,133,396
Pittsburgh SteelersPittsburgh,vs IND,10,5.0,1,0,1,0,0,24,238,127,365
Kansas City ChiefsKansas City,vs ATL,10,4.0,0,0,1,0,0,14,277,90,367
Chicago BearsChicago,@ JAX,9,1.0,2,0,0,0,0,17,203,76,279
Los Angeles RamsLA Rams,@ SEA,9,5.0,0,0,0,0,0,20,197,95,292
Arizona CardinalsArizona,vs SF,9,3.0,0,0,1,0,0,20,171,227,398
Atlanta FalconsAtlanta,@ KC,8,0.0,2,0,0,0,0,17,278,117,395
Detroit LionsDetroit,vs TB,8,2.0,0,0,0,0,1,47,477,111,588
Cleveland BrownsCleveland,@ NYJ,7,2.0,0,0,0,2,0,23,202,131,333
Miami DolphinsMiami,@ LV,6,3.0,0,0,1,0,0,25,314,104,418
Denver BroncosDenver,@ LAC,6,2.0,0,0,0,0,0,19,227,89,316
Minnesota VikingsMinnesota,@ NO,4,0.0,2,0,0,0,0,52,319,264,583
Las Vegas RaidersLas Vegas,vs MIA,4,3.0,0,0,0,0,0,26,253,130,383
Philadelphia EaglesPhiladelphia,@ DAL,4,2.0,1,0,0,0,0,37,362,151,513
New York GiantsNY Giants,@ BAL,3,0.0,0,0,1,0,0,27,183,249,432
Jacksonville JaguarsJacksonville,vs CHI,3,1.0,1,0,0,0,0,41,263,128,391
Tennessee TitansTennessee,@ GB,3,1.0,1,0,0,0,0,40,214,234,448
Cincinnati BengalsCincinnati,@ HOU,3,1.0,0,0,1,0,0,31,322,166,488
New Orleans SaintsNew Orleans,vs MIN,2,2.0,0,0,0,0,0,33,274,90,364
Indianapolis ColtsIndianapolis,@ PIT,1,1.0,0,0,0,0,0,28,332,22,354
New England PatriotsNew England,vs BUF,0,0.0,0,0,0,0,0,38,344,130,474
Houston TexansHouston,vs CIN,0,0.0,0,0,0,0,0,37,371,169,540
