Player,Game,Pts*,XPA,XPM,FGA,FGM,50+
Jake ElliottJ. Elliott,PHI@NE,17.00,2,1,4,4,2
Nick FolkN. Folk,TEN@NO,17.00,0,0,5,5,1
Brett MaherB. Maher,LA@SEA,14.00,3,3,5,3,1
Tyler BassT. Bass,BUF@NYJ,12.00,1,1,3,3,1
Cameron DickerC. Dicker,MIA@LAC,12.00,4,4,2,2,1
Blake GrupeB. Grupe,TEN@NO,12.00,1,1,3,3,1
Jake MoodyJ. Moody,SF@PIT,12.00,3,3,3,3,0
Matt PraterM. Prater,ARI@WAS,12.00,1,1,3,3,1
Jason SandersJ. Sanders,MIA@LAC,12.00,4,3,3,3,0
Brandon AubreyB. Aubrey,DAL@NYG,10.00,5,4,2,2,0
Anders CarlsonA. Carlson,GB@CHI,10.00,5,5,1,1,1
Dustin HopkinsD. Hopkins,CIN@CLE,10.00,1,1,3,3,0
Chase McLaughlinC. McLaughlin,TB@MIN,10.00,2,2,2,2,1
Greg ZuerleinG. Zuerlein,BUF@NYJ,10.00,1,1,3,3,0
Ka'imi FairbairnK. Fairbairn,HOU@BAL,9.00,0,0,3,3,0
Harrison ButkerH. Butker,DET@KC,8.00,2,2,2,2,0
Joey SlyeJ. Slye,ARI@WAS,8.00,2,2,2,2,0
Brandon McManusB. McManus,JAX@IND,7.00,4,4,1,1,0
Jason MyersJ. Myers,LA@SEA,7.00,1,1,3,2,0
Younghoe KooY. Koo,CAR@ATL,6.00,3,3,1,1,0
Cairo SantosC. Santos,GB@CHI,6.00,0,0,2,2,0
Daniel CarlsonD. Carlson,LV@DEN,5.00,2,2,1,1,0
Greg JosephG. Joseph,TB@MIN,5.00,2,2,1,1,0
Justin TuckerJ. Tucker,HOU@BAL,5.00,2,2,1,1,0
Wil LutzW. Lutz,LV@DEN,4.00,2,1,2,1,0
Eddy PineiroE. Pineiro,CAR@ATL,4.00,1,1,1,1,0
Matt GayM. Gay,JAX@IND,3.00,3,3,0,0,0
Evan McPhersonE. McPherson,CIN@CLE,3.00,0,0,2,1,0
Riley PattersonR. Patterson,DET@KC,3.00,3,3,0,0,0
Chad RylandC. Ryland,PHI@NE,2.00,2,2,0,0,0
Chris BoswellC. Boswell,SF@PIT,1.00,1,1,0,0,0
Graham GanoG. Gano,DAL@NYG,0.00,0,0,2,0,0
