Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
New York JetsNY Jets,@ GB,23,4.0,0,0,1,2,1,10,218,60,278
Arizona CardinalsArizona,@ SEA,17,5.0,0,0,1,0,1,19,160,136,296
Seattle SeahawksSeattle,vs ARI,17,6.0,1,0,1,0,0,9,171,144,315
Atlanta FalconsAtlanta,vs SF,16,0.0,2,0,1,0,1,14,296,50,346
Washington CommandersWashington,@ CHI,16,5.0,1,0,1,0,0,7,154,237,391
New England PatriotsNew England,@ CLE,16,4.0,2,0,2,0,0,15,258,70,328
Minnesota VikingsMinnesota,@ MIA,16,6.0,2,0,1,0,0,16,385,73,458
Los Angeles RamsLA Rams,vs CAR,11,2.0,1,0,0,0,0,10,110,93,203
Buffalo BillsBuffalo,@ KC,11,3.0,2,0,0,0,0,20,319,68,387
Los Angeles ChargersLA Chargers,vs DEN,10,4.0,0,0,1,0,0,16,160,98,258
Chicago BearsChicago,vs WAS,10,3.0,0,0,0,0,0,12,86,128,214
Philadelphia EaglesPhiladelphia,vs DAL,10,0.0,3,0,0,0,0,17,181,134,315
New York GiantsNY Giants,vs BAL,10,2.0,1,0,1,0,0,20,195,211,406
Carolina PanthersCarolina,@ LA,10,1.0,1,0,0,0,1,24,249,111,360
Denver BroncosDenver,@ LAC,8,2.0,1,0,0,0,0,19,224,73,297
Baltimore RavensBaltimore,@ NYG,7,4.0,0,0,1,0,0,24,155,83,238
Indianapolis ColtsIndianapolis,vs JAX,7,4.0,0,0,1,0,0,27,136,243,379
Tampa Bay BuccaneersTampa Bay,@ PIT,6,2.0,0,0,0,0,0,20,193,77,270
Pittsburgh SteelersPittsburgh,vs TB,6,2.0,0,0,0,0,0,18,229,75,304
New Orleans SaintsNew Orleans,vs CIN,5,3.0,0,0,1,0,0,30,273,75,348
Dallas CowboysDallas,@ PHI,5,4.0,0,0,0,0,0,26,132,136,268
Cleveland BrownsCleveland,vs NE,4,2.0,0,0,1,0,0,38,301,98,399
Miami DolphinsMiami,vs MIN,4,3.0,0,0,0,0,0,24,156,78,234
Kansas City ChiefsKansas City,vs BUF,4,1.0,0,0,1,0,0,24,318,125,443
Green Bay PackersGreen Bay,vs NYJ,3,2.0,0,0,0,0,0,27,99,179,278
Cincinnati BengalsCincinnati,@ NO,2,1.0,0,0,0,0,0,26,171,228,399
San Francisco 49ersSan Francisco,@ ATL,2,2.0,0,0,0,0,0,28,121,168,289
Jacksonville JaguarsJacksonville,@ IND,0,0.0,0,0,0,0,0,34,389,45,434
