Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Carolina PanthersCarolina,vs NO,19,1.0,2,0,1,1,1,14,342,84,426
Cincinnati BengalsCincinnati,@ NYJ,19,4.0,2,0,2,0,0,12,252,76,328
Denver BroncosDenver,vs SF,19,4.0,1,1,2,0,0,10,179,88,267
Philadelphia EaglesPhiladelphia,@ WAS,18,9.0,0,0,1,0,0,8,153,87,240
Green Bay PackersGreen Bay,@ TB,14,3.0,0,0,2,0,0,12,251,34,285
Cleveland BrownsCleveland,vs PIT,13,1.0,0,0,1,0,1,17,204,104,308
Dallas CowboysDallas,@ NYG,13,5.0,1,0,0,1,0,16,169,167,336
Baltimore RavensBaltimore,@ NE,12,3.0,3,0,1,0,0,26,302,145,447
Miami DolphinsMiami,vs BUF,12,4.0,0,0,1,1,0,19,382,115,497
Jacksonville JaguarsJacksonville,@ LAC,12,1.0,1,0,1,0,0,10,286,26,312
San Francisco 49ersSan Francisco,@ DEN,11,4.0,0,0,0,0,0,11,160,101,261
Kansas City ChiefsKansas City,@ IND,11,5.0,0,0,1,0,0,20,177,82,259
Houston TexansHouston,@ CHI,10,5.0,2,0,0,0,0,23,82,281,363
Los Angeles RamsLA Rams,@ ARI,9,2.0,0,0,0,0,0,12,295,70,365
Indianapolis ColtsIndianapolis,vs KC,9,1.0,1,0,1,0,0,17,257,58,315
Chicago BearsChicago,vs HOU,9,1.0,2,0,0,0,0,20,237,92,329
Tampa Bay BuccaneersTampa Bay,vs GB,9,1.0,1,0,1,0,0,14,248,67,315
Seattle SeahawksSeattle,vs ATL,8,3.0,1,0,1,0,0,27,207,179,386
New England PatriotsNew England,vs BAL,8,4.0,1,0,1,0,0,37,206,188,394
Arizona CardinalsArizona,vs LA,7,1.0,0,0,1,0,0,20,239,100,339
Washington CommandersWashington,vs PHI,6,3.0,0,1,0,0,0,24,328,72,400
New York JetsNY Jets,vs CIN,5,2.0,0,0,1,0,0,27,261,69,330
Buffalo BillsBuffalo,@ MIA,5,2.0,0,1,0,0,0,21,171,41,212
Atlanta FalconsAtlanta,@ SEA,5,2.0,1,0,0,0,0,23,308,112,420
Las Vegas RaidersLas Vegas,@ TEN,4,1.0,1,0,0,0,0,24,252,109,361
New Orleans SaintsNew Orleans,@ CAR,4,3.0,0,0,0,0,0,22,148,145,293
Tennessee TitansTennessee,vs LV,4,1.0,1,0,0,0,0,22,300,96,396
Minnesota VikingsMinnesota,vs DET,3,0.0,1,0,0,0,0,24,277,139,416
Detroit LionsDetroit,@ MIN,3,1.0,0,0,1,0,0,28,250,123,373
Pittsburgh SteelersPittsburgh,@ CLE,2,2.0,0,0,0,0,0,29,205,171,376
New York GiantsNY Giants,vs DAL,1,0.0,0,0,0,0,0,23,215,176,391
Los Angeles ChargersLA Chargers,vs JAX,0,0.0,0,0,0,0,0,38,262,151,413
