Player,Game,Pts*,XPA,XPM,FGA,FGM,50+
Brandon AubreyB. Aubrey,NYJ@DAL,18.00,1,1,5,5,1
Jake MoodyJ. Moody,SF@LA,14.00,3,3,3,3,1
Younghoe KooY. Koo,GB@ATL,13.00,2,1,4,4,0
Eddy PineiroE. Pineiro,NO@CAR,13.00,0,0,3,3,2
Chris BoswellC. Boswell,CLE@PIT,12.00,2,2,2,2,2
Jake ElliottJ. Elliott,MIN@PHI,12.00,4,4,3,2,1
Brett MaherB. Maher,SF@LA,11.00,2,2,3,3,0
Cameron DickerC. Dicker,LAC@TEN,10.00,1,1,3,3,0
Nick FolkN. Folk,LAC@TEN,9.00,3,3,2,2,0
Wil LutzW. Lutz,WAS@DEN,9.00,3,3,2,2,0
Chase McLaughlinC. McLaughlin,CHI@TB,9.00,3,3,3,2,0
Brandon McManusB. McManus,KC@JAX,9.00,0,0,3,3,0
Joey SlyeJ. Slye,WAS@DEN,9.00,3,3,4,2,0
Justin TuckerJ. Tucker,BAL@CIN,9.00,3,3,3,2,0
Tyler BassT. Bass,LV@BUF,8.00,5,5,1,1,0
Ka'imi FairbairnK. Fairbairn,IND@HOU,8.00,2,2,3,2,0
Blake GrupeB. Grupe,NO@CAR,8.00,2,2,2,2,0
Dustin HopkinsD. Hopkins,CLE@PIT,8.00,0,0,3,2,1
Matt PraterM. Prater,NYG@ARI,8.00,2,2,3,2,0
Graham GanoG. Gano,NYG@ARI,7.00,4,4,1,1,0
Matt GayM. Gay,IND@HOU,7.00,4,4,1,1,0
Jason MyersJ. Myers,SEA@DET,7.00,4,4,3,1,0
Riley PattersonR. Patterson,SEA@DET,7.00,4,4,1,1,0
Cairo SantosC. Santos,CHI@TB,7.00,2,2,1,1,1
Anders CarlsonA. Carlson,GB@ATL,6.00,3,3,1,1,0
Evan McPhersonE. McPherson,BAL@CIN,6.00,3,3,1,1,0
Jason SandersJ. Sanders,MIA@NE,6.00,3,3,3,1,0
Harrison ButkerH. Butker,KC@JAX,5.00,2,2,1,1,0
Chad RylandC. Ryland,MIA@NE,5.00,2,2,1,1,0
Daniel CarlsonD. Carlson,LV@BUF,4.00,1,1,1,1,0
Greg JosephG. Joseph,MIN@PHI,4.00,4,4,0,0,0
Austin SeibertA. Seibert,NYJ@DAL,4.00,1,1,1,1,0
