Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Evan McPhersonCINE. McPhersonCIN,@ LV,20,3,2,4,4,3
Jake ElliottPHIJ. ElliottPHI,vs NO,18,4,4,4,4,1
Nick FolkNEN. FolkNE,@ ATL,15,2,1,4,4,1
Chris BoswellPITC. BoswellPIT,@ LAC,13,4,4,3,3,0
Robbie GouldSFR. GouldSF,@ JAX,12,3,3,3,3,0
Ryan SuccopTBR. SuccopTB,vs NYG,12,3,3,3,3,0
Michael BadgleyINDM. BadgleyIND,@ BUF,11,5,5,2,2,0
Dustin HopkinsLACD. HopkinsLAC,vs PIT,11,5,5,2,2,0
Ka'imi FairbairnHOUK. FairbairnHOU,@ TEN,10,2,1,3,3,0
Greg JosephMING. JosephMIN,vs GB,10,3,2,2,2,1
Justin TuckerBALJ. TuckerBAL,@ CHI,10,1,1,3,3,0
Harrison ButkerKCH. ButkerKC,vs DAL,9,2,1,3,2,1
Mason CrosbyGBM. CrosbyGB,@ MIN,9,4,4,2,1,1
Joey SlyeWASJ. SlyeWAS,@ CAR,9,3,3,2,2,0
Greg ZuerleinDALG. ZuerleinDAL,@ KC,9,0,0,3,3,0
Daniel CarlsonLVD. CarlsonLV,vs CIN,7,1,1,2,2,0
Jason MyersSEAJ. MyersSEA,vs ARI,7,1,1,2,2,0
Matt PraterARIM. PraterARI,@ SEA,7,3,2,3,1,1
Jason SandersMIAJ. SandersMIA,@ NYJ,6,3,3,2,1,0
Matt AmmendolaNYJM. AmmendolaNYJ,vs MIA,5,2,2,3,1,0
Brett MaherNOB. MaherNO,@ PHI,5,3,2,1,1,0
Graham GanoNYGG. GanoNYG,@ TB,4,1,1,1,1,0
Aldrick RosasDETA. RosasDET,@ CLE,4,1,1,1,1,0
Matthew WrightJAXM. WrightJAX,vs SF,4,1,1,1,1,0
Zane GonzalezCARZ. GonzalezCAR,vs WAS,3,3,3,0,0,0
Tyler BassBUFT. BassBUF,vs IND,1,1,1,2,0,0
Randy BullockTENR. BullockTEN,vs HOU,1,2,1,0,0,0
Chase McLaughlinCLEC. McLaughlinCLE,vs DET,1,2,1,1,0,0
Cairo SantosCHIC. SantosCHI,vs BAL,1,1,1,1,0,0
Younghoe KooATLY. KooATL,vs NE,0,0,0,1,0,0
