Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Chris BoswellPITC. BoswellPIT,vs CHI,15,3,2,3,3,2
Matt GayLAM. GayLA,vs TEN,12,1,1,3,3,1
Brandon McManusDENB. McManusDEN,@ DAL,12,2,1,4,3,1
Graham GanoNYGG. GanoNYG,vs LV,11,2,2,3,3,0
Chase McLaughlinCLEC. McLaughlinCLE,@ CIN,11,5,5,3,2,0
Matthew WrightJAXM. WrightJAX,vs BUF,11,0,0,4,3,1
Daniel CarlsonLVD. CarlsonLV,@ NYG,10,1,1,4,3,0
Justin TuckerBALJ. TuckerBAL,vs MIN,10,4,4,2,2,0
Michael BadgleyINDM. BadgleyIND,vs NYJ,9,6,6,1,1,0
Harrison ButkerKCH. ButkerKC,vs GB,9,1,1,2,2,1
Ka'imi FairbairnHOUK. FairbairnHOU,@ MIA,9,0,0,3,3,0
Brian JohnsonWASB. JohnsonWAS,@ NO,9,1,1,2,2,1
Younghoe KooATLY. KooATL,@ NO,9,3,3,2,2,0
Cairo SantosCHIC. SantosCHI,@ PIT,9,3,3,3,2,0
Dustin HopkinsLACD. HopkinsLAC,@ PHI,7,2,1,2,2,0
Greg JosephMING. JosephMIN,@ BAL,7,4,4,1,1,0
Matt PraterARIM. PraterARI,@ SF,7,4,4,1,1,0
Matt AmmendolaNYJM. AmmendolaNYJ,@ IND,6,3,3,1,1,0
Tyler BassBUFT. BassBUF,@ JAX,6,0,0,2,2,0
Jake ElliottPHIJ. ElliottPHI,vs LAC,6,3,3,1,1,0
Nick FolkNEN. FolkNE,@ CAR,6,3,3,2,1,0
Zane GonzalezCARZ. GonzalezCAR,vs NE,6,0,0,2,2,0
Robbie GouldSFR. GouldSF,vs ARI,5,2,2,1,1,0
Jason SandersMIAJ. SandersMIA,vs HOU,5,2,2,1,1,0
Randy BullockTENR. BullockTEN,@ LA,4,4,4,0,0,0
Evan McPhersonCINE. McPhersonCIN,vs CLE,4,1,1,1,1,0
Mason CrosbyGBM. CrosbyGB,@ KC,1,1,1,2,0,0
