Player,Game,Pts*,Passing_Att,Passing_Cmp,Passing_Yds,Passing_TD,Passing_Int,Passing_2Pt,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_2Pt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_2Pt,Fumble_FL,Fumble_TD
Calvin RidleyC. Ridley,TEN@IND,13.00,0,0,0,0,0,0,0,0,0,0,3,78,1,0,0,0
Amon-Ra St. BrownA. St. Brown,DET@CHI,13.00,0,0,0,0,0,0,0,0,0,0,6,70,1,0,0,0
Xavier WorthyX. Worthy,HOU@KC,13.00,0,0,0,0,0,0,3,10,0,0,7,65,1,0,0,0
Davante AdamsD. Adams,LA@NYJ,12.00,0,0,0,0,0,0,0,0,0,0,7,68,1,0,0,0
Josh DownsJ. Downs,TEN@IND,12.00,0,0,0,0,0,0,0,0,0,0,3,61,1,0,0,0
Terry McLaurinT. McLaurin,PHI@WAS,12.00,0,0,0,0,0,0,0,0,0,0,5,60,1,0,0,0
Rhamondre StevensonR. Stevenson,NE@BUF,12.00,0,0,0,0,0,0,12,60,1,0,1,13,0,0,1,0
Tyrone TracyT. Tracy,NYG@ATL,12.00,0,0,0,0,0,0,7,26,0,0,4,43,1,0,0,0
Tee HigginsT. Higgins,CLE@CIN,11.00,0,0,0,0,0,0,0,0,0,0,8,58,1,0,0,0
Andrei IosivasA. Iosivas,CLE@CIN,11.00,0,0,0,0,0,0,0,0,0,0,3,53,1,0,0,0
Jalen McMillanJ. McMillan,TB@DAL,11.00,0,0,0,0,0,0,0,0,0,0,5,57,1,0,0,0
D.K. MetcalfD. Metcalf,MIN@SEA,11.00,0,0,0,0,0,0,0,0,0,0,3,57,1,0,0,0
Aidan O'ConnellA. O'Connell,JAX@LV,11.00,38,24,257,0,0,0,7,12,0,0,0,0,0,0,0,0
Cartavious BigsbyC. Bigsby,JAX@LV,10.00,0,0,0,0,0,0,12,50,1,0,1,1,0,0,1,0
Chase BrownC. Brown,CLE@CIN,10.00,0,0,0,0,0,0,18,91,0,0,3,18,0,0,0,0
Audric EstimeA. Estime,DEN@LAC,10.00,0,0,0,0,0,0,9,48,1,0,0,0,0,0,0,0
Zay FlowersZ. Flowers,PIT@BAL,10.00,0,0,0,0,0,0,1,3,0,0,5,100,0,0,0,0
George KittleG. Kittle,SF@MIA,10.00,0,0,0,0,0,0,0,0,0,0,8,106,0,0,0,0
CeeDee LambC. Lamb,TB@DAL,10.00,0,0,0,0,0,0,0,0,0,0,7,105,0,0,0,0
Sam LaPortaS. LaPorta,DET@CHI,10.00,0,0,0,0,0,0,0,0,0,0,4,43,1,0,0,0
Alexander MattisonA. Mattison,JAX@LV,10.00,0,0,0,0,0,0,12,27,1,0,4,29,0,0,0,0
Chigoziem OkonkwoC. Okonkwo,TEN@IND,10.00,0,0,0,0,0,0,0,0,0,0,9,81,0,1,0,0
Kenny PickettK. Pickett,PHI@WAS,10.00,24,14,143,1,1,0,3,13,0,0,0,0,0,0,0,0
Dalton SchultzD. Schultz,HOU@KC,10.00,0,0,0,0,0,0,0,0,0,0,5,45,1,0,0,0
Adam ThielenA. Thielen,ARI@CAR,10.00,0,0,0,0,0,0,0,0,0,0,5,43,1,0,0,0
Jordan AddisonJ. Addison,MIN@SEA,9.00,0,0,0,0,0,0,0,0,0,0,5,35,1,0,0,0
Mark AndrewsM. Andrews,PIT@BAL,9.00,0,0,0,0,0,0,1,1,0,0,4,37,1,0,0,0
Brock BowersB. Bowers,JAX@LV,9.00,0,0,0,0,0,0,0,0,0,0,11,99,0,0,0,0
Derius DavisD. Davis,DEN@LAC,9.00,0,0,0,0,0,0,1,-3,0,0,2,31,1,0,0,0
Hassan HaskinsH. Haskins,DEN@LAC,9.00,0,0,0,0,0,0,0,0,0,0,2,39,1,0,0,0
Hunter HenryH. Henry,NE@BUF,9.00,0,0,0,0,0,0,0,0,0,0,4,39,1,0,0,0
Drew LockD. Lock,NYG@ATL,9.00,39,22,210,1,2,0,1,1,0,0,0,0,0,0,1,0
David MooreD. Moore,ARI@CAR,9.00,0,0,0,0,0,0,1,0,0,0,2,39,1,0,0,0
Breece HallB. Hall,LA@NYJ,8.00,0,0,0,0,0,0,14,52,0,0,5,38,0,0,0,0
Tyreek HillT. Hill,SF@MIA,8.00,0,0,0,0,0,0,0,0,0,0,3,29,1,0,0,0
Aaron JonesA. Jones,MIN@SEA,8.00,0,0,0,0,0,0,18,67,0,0,3,26,0,0,0,0
Isaiah LikelyI. Likely,PIT@BAL,8.00,0,0,0,0,0,0,0,0,0,0,3,29,1,0,0,0
Ladd McConkeyL. McConkey,DEN@LAC,8.00,0,0,0,0,0,0,0,0,0,0,6,87,0,0,0,0
Darnell MooneyD. Mooney,NYG@ATL,8.00,0,0,0,0,0,0,0,0,0,0,5,82,0,0,0,0
Matthew StaffordM. Stafford,LA@NYJ,8.00,19,14,110,1,1,0,3,-4,0,0,0,0,0,0,0,0
Jalen TolbertJ. Tolbert,TB@DAL,8.00,0,0,0,0,0,0,0,0,0,0,2,20,1,0,0,0
Devaughn VeleD. Vele,DEN@LAC,8.00,0,0,0,0,0,0,0,0,0,0,2,21,1,0,0,0
Jaylen WarrenJ. Warren,PIT@BAL,8.00,0,0,0,0,0,0,12,48,0,0,5,44,0,0,0,0
AJ BarnerA. Barner,MIN@SEA,7.00,0,0,0,0,0,0,0,0,0,0,2,13,1,0,0,0
