Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Graham GanoNYGG. GanoNYG,vs CAR,17,1,1,4,4,2
Daniel CarlsonLVD. CarlsonLV,vs ARI,13,2,2,3,3,1
Brett MaherDALB. MaherDAL,vs CIN,12,2,2,2,2,2
Brandon McManusDENB. McManusDEN,vs HOU,12,1,1,3,3,1
Tyler BassBUFT. BassBUF,vs TEN,11,5,5,2,2,0
Evan McPhersonCINE. McPhersonCIN,@ DAL,11,0,0,3,3,1
Eddy PineiroCARE. PineiroCAR,@ NYG,10,1,1,3,3,0
Austin SeibertDETA. SeibertDET,vs WAS,10,4,4,2,2,0
Justin TuckerBALJ. TuckerBAL,vs MIA,10,5,5,1,1,1
Matt AmmendolaGBM. AmmendolaGB,@ KC,9,3,3,2,2,0
Mason CrosbyGBM. CrosbyGB,vs CHI,9,3,3,2,2,0
Ka'imi FairbairnHOUK. FairbairnHOU,@ DEN,9,0,0,3,3,0
Robbie GouldSFR. GouldSF,vs SEA,9,3,3,3,2,0
Greg ZuerleinNYJG. ZuerleinNYJ,@ CLE,9,4,4,1,1,1
Chris BoswellPITC. BoswellPIT,vs NE,8,0,0,2,2,1
Riley PattersonJAXR. PattersonJAX,vs IND,8,3,3,1,1,1
Ryan SuccopTBR. SuccopTB,@ NO,8,2,2,2,2,0
Matt GayLAM. GayLA,vs ATL,7,4,4,1,1,0
Jake ElliottPHIJ. ElliottPHI,vs MIN,6,3,3,2,1,0
Dustin HopkinsLACD. HopkinsLAC,@ KC,6,3,3,1,1,0
Jason SandersMIAJ. SandersMIA,@ BAL,6,6,6,0,0,0
Cade YorkCLEC. YorkCLE,vs NYJ,6,4,3,1,1,0
Nick FolkNEN. FolkNE,@ PIT,5,2,2,2,1,0
Younghoe KooATLY. KooATL,@ LA,5,2,2,2,1,0
Wil LutzNOW. LutzNO,vs TB,4,1,1,1,1,0
Cairo SantosCHIC. SantosCHI,@ GB,4,1,1,1,1,0
Randy BullockTENR. BullockTEN,@ BUF,1,1,1,0,0,0
Greg JosephMING. JosephMIN,@ PHI,1,1,1,0,0,0
Jason MyersSEAJ. MyersSEA,@ SF,1,1,1,0,0,0
Matt PraterARIM. PraterARI,@ LV,1,1,1,0,0,0
Joey SlyeWASJ. SlyeWAS,@ DET,1,2,1,0,0,0
