Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Miami DolphinsMiami,@ NO,28,8.0,2,0,0,0,1,3,81,83,164
Dallas CowboysDallas,vs WAS,27,5.0,2,0,0,1,2,14,172,85,257
Tampa Bay BuccaneersTampa Bay,@ CAR,19,7.0,1,0,0,0,0,6,206,67,273
Philadelphia EaglesPhiladelphia,vs NYG,19,2.0,2,0,0,0,1,10,108,84,192
Kansas City ChiefsKansas City,vs PIT,15,2.0,1,0,2,0,0,10,173,130,303
Green Bay PackersGreen Bay,vs CLE,14,5.0,4,0,0,0,0,22,189,219,408
Houston TexansHouston,vs LAC,13,1.0,2,0,1,0,1,29,328,89,417
Los Angeles RamsLA Rams,@ MIN,12,3.0,1,0,0,0,1,23,295,66,361
Denver BroncosDenver,@ LV,12,2.0,1,0,2,0,0,17,182,160,342
New York JetsNY Jets,vs JAX,10,1.0,0,0,1,0,1,21,252,132,384
Tennessee TitansTennessee,vs SF,10,2.0,2,0,0,0,0,17,306,83,389
Las Vegas RaidersLas Vegas,vs DEN,9,2.0,0,0,0,0,0,13,140,18,158
Detroit LionsDetroit,@ ATL,9,3.0,0,0,1,0,0,20,207,47,254
New Orleans SaintsNew Orleans,vs MIA,9,3.0,1,0,0,0,0,20,173,86,259
San Francisco 49ersSan Francisco,@ TEN,8,4.0,0,0,0,0,0,20,188,90,278
Atlanta FalconsAtlanta,vs DET,6,0.0,1,0,0,0,0,16,208,130,338
Minnesota VikingsMinnesota,vs LA,6,0.0,3,0,0,0,0,30,197,159,356
Indianapolis ColtsIndianapolis,@ ARI,6,0.0,0,1,0,0,0,16,245,133,378
Buffalo BillsBuffalo,@ NE,6,1.0,2,0,0,0,0,21,139,149,288
Seattle SeahawksSeattle,vs CHI,5,4.0,0,0,0,0,0,25,229,88,317
Jacksonville JaguarsJacksonville,@ NYJ,4,1.0,0,0,0,1,0,26,100,273,373
Cincinnati BengalsCincinnati,vs BAL,4,1.0,1,0,0,0,0,21,295,39,334
Chicago BearsChicago,@ SEA,3,2.0,0,0,0,0,0,24,161,170,331
Baltimore RavensBaltimore,@ CIN,3,3.0,0,0,0,0,0,41,498,77,575
Arizona CardinalsArizona,vs IND,3,2.0,0,0,0,0,0,22,220,126,346
Washington Football TeamWashington,@ DAL,3,3.0,0,0,0,0,0,56,389,108,497
Pittsburgh SteelersPittsburgh,@ KC,2,2.0,0,0,0,0,0,36,254,127,381
New York GiantsNY Giants,@ PHI,1,1.0,0,0,0,0,0,34,194,130,324
Cleveland BrownsCleveland,@ GB,1,0.0,0,0,0,0,0,24,202,109,311
Los Angeles ChargersLA Chargers,@ HOU,1,1.0,0,0,0,0,0,41,248,189,437
New England PatriotsNew England,vs BUF,0,0.0,0,0,0,0,0,33,314,114,428
Carolina PanthersCarolina,vs TB,0,0.0,0,0,0,0,0,32,232,159,391
