Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Dallas CowboysDallas,vs DET,25,5.0,2,0,3,0,0,6,195,117,312
Tennessee TitansTennessee,vs IND,22,3.0,2,0,1,0,1,10,227,65,292
Arizona CardinalsArizona,vs NO,18,0.0,3,0,0,0,2,34,409,85,494
Baltimore RavensBaltimore,vs CLE,15,5.0,0,0,2,1,0,20,223,113,336
Miami DolphinsMiami,vs PIT,15,2.0,3,0,0,0,0,10,246,95,341
Kansas City ChiefsKansas City,@ SF,14,5.0,2,1,1,0,0,23,343,101,444
Chicago BearsChicago,@ NE,13,1.0,3,0,1,0,0,14,190,70,260
Las Vegas RaidersLas Vegas,vs HOU,13,1.0,1,0,0,0,1,20,296,108,404
Carolina PanthersCarolina,vs TB,11,1.0,0,0,0,0,0,3,276,46,322
New York JetsNY Jets,@ DEN,10,1.0,1,0,0,0,0,9,219,105,324
Green Bay PackersGreen Bay,@ WAS,10,1.0,1,0,0,0,1,23,198,166,364
Los Angeles ChargersLA Chargers,vs SEA,8,2.0,1,1,1,0,0,37,191,213,404
New York GiantsNY Giants,@ JAX,8,0.0,0,0,1,1,0,17,310,142,452
Seattle SeahawksSeattle,@ LAC,8,3.0,1,0,1,0,0,23,276,53,329
Indianapolis ColtsIndianapolis,@ TEN,8,2.0,0,0,1,0,0,19,116,138,254
Denver BroncosDenver,vs NYJ,7,3.0,0,0,0,0,0,16,105,155,260
Cincinnati BengalsCincinnati,vs ATL,7,3.0,0,0,0,0,0,17,107,107,214
New England PatriotsNew England,vs CHI,6,4.0,1,0,0,0,0,33,147,243,390
Cleveland BrownsCleveland,@ BAL,6,3.0,0,0,1,0,0,23,94,160,254
San Francisco 49ersSan Francisco,vs KC,5,1.0,1,0,1,0,0,44,417,112,529
Detroit LionsDetroit,@ DAL,5,2.0,0,0,1,0,0,24,191,139,330
Pittsburgh SteelersPittsburgh,@ MIA,4,0.0,0,0,0,0,0,16,261,111,372
Washington CommandersWashington,vs GB,3,0.0,0,0,1,0,0,21,194,38,232
Atlanta FalconsAtlanta,@ CIN,3,3.0,0,0,0,0,0,35,459,78,537
New Orleans SaintsNew Orleans,@ ARI,2,2.0,0,0,0,0,0,42,189,137,326
Jacksonville JaguarsJacksonville,vs NYG,2,1.0,0,0,0,0,0,23,200,236,436
Tampa Bay BuccaneersTampa Bay,@ CAR,2,1.0,0,0,0,0,0,21,170,173,343
Houston TexansHouston,@ LV,1,1.0,0,0,0,0,0,38,236,164,400
