Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Greg JosephMING. JosephMIN,@ NO,16,2,1,5,5,0
Brett MaherDALB. MaherDAL,vs WAS,15,2,1,4,4,1
Daniel CarlsonLVD. CarlsonLV,vs DEN,14,3,2,4,4,0
Jason MyersSEAJ. MyersSEA,@ DET,14,6,6,3,2,1
Michael BadgleyDETM. BadgleyDET,@ NYG,12,0,0,4,4,0
Chris BoswellPITC. BoswellPIT,vs NYJ,12,2,2,2,2,2
Tyler BassBUFT. BassBUF,@ BAL,11,2,2,3,3,0
Younghoe KooATLY. KooATL,vs CLE,11,2,2,3,3,0
Evan McPhersonCINE. McPhersonCIN,vs MIA,11,3,3,2,2,1
Matthew WrightKCM. WrightKC,@ TB,11,5,5,2,2,0
Dustin HopkinsLACD. HopkinsLAC,@ HOU,10,4,4,2,2,0
Justin TuckerBALJ. TuckerBAL,vs BUF,10,2,2,2,2,1
Mason CrosbyGBM. CrosbyGB,vs NE,9,3,3,2,2,0
Matt GayLAM. GayLA,@ SF,9,0,0,3,3,0
Jason SandersMIAJ. SandersMIA,@ CIN,9,1,0,4,3,0
Graham GanoNYGG. GanoNYG,vs CHI,8,2,2,3,2,0
Matt PraterARIM. PraterARI,@ CAR,8,2,2,2,2,0
Cade YorkCLEC. YorkCLE,@ ATL,8,2,2,2,2,0
Wil LutzNOW. LutzNO,vs MIN,7,2,2,2,1,1
Ryan SuccopTBR. SuccopTB,vs KC,7,4,4,1,1,0
Randy BullockTENR. BullockTEN,@ IND,6,3,3,1,1,0
Ka'imi FairbairnHOUK. FairbairnHOU,vs LAC,6,3,3,2,1,0
Nick FolkNEN. FolkNE,@ GB,6,3,3,1,1,0
Robbie GouldSFR. GouldSF,vs LA,6,3,3,2,1,0
Eddy PineiroCARE. PineiroCAR,vs ARI,6,1,1,1,1,1
Greg ZuerleinNYJG. ZuerleinNYJ,@ PIT,6,3,3,1,1,0
Dominik EberleDETD. EberleDET,vs SEA,5,4,2,1,1,0
Jake ElliottPHIJ. ElliottPHI,vs JAX,5,3,2,1,1,0
Chase McLaughlinINDC. McLaughlinIND,vs TEN,5,2,2,2,1,0
Brandon McManusDENB. McManusDEN,@ LV,5,3,2,1,1,0
Joey SlyeWASJ. SlyeWAS,@ DAL,4,1,1,1,1,0
Riley PattersonJAXR. PattersonJAX,@ PHI,3,3,3,0,0,0
