Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Nick FolkNEN. FolkNE,@ HOU,17,2,1,4,4,2
Greg JosephMING. JosephMIN,vs DET,17,1,1,5,4,2
Greg ZuerleinDALG. ZuerleinDAL,vs NYG,14,5,5,3,3,0
Mason CrosbyGBM. CrosbyGB,@ CIN,13,2,1,7,4,0
Graham GanoNYGG. GanoNYG,@ DAL,12,2,2,3,2,2
Zane GonzalezCARZ. GonzalezCAR,vs PHI,12,1,1,3,3,1
Younghoe KooATLY. KooATL,vs NYJ,11,3,3,2,2,1
Austin SeibertDETA. SeibertDET,@ MIN,11,0,0,3,3,1
Harrison ButkerKCH. ButkerKC,vs BUF,10,2,2,2,2,1
Dustin HopkinsLACD. HopkinsLAC,@ WAS,10,1,1,3,3,0
Chase McLaughlinCLEC. McLaughlinCLE,@ LAC,10,4,4,2,2,0
Chris BoswellPITC. BoswellPIT,vs DEN,9,3,3,2,2,0
Jake ElliottPHIJ. ElliottPHI,@ CAR,9,1,1,2,2,1
Ryan SuccopTBR. SuccopTB,vs MIA,9,6,6,1,1,0
Tyler BassBUFT. BassBUF,@ KC,8,5,5,1,1,0
Matt GayLAM. GayLA,@ SEA,8,3,2,2,2,0
Cairo SantosCHIC. SantosCHI,@ LV,8,2,2,2,2,0
Rodrigo BlankenshipINDR. BlankenshipIND,@ BAL,7,2,1,4,2,0
Randy BullockTENR. BullockTEN,@ JAX,7,5,4,1,1,0
Brandon McManusDENB. McManusDEN,@ PIT,7,1,1,2,2,0
Matt AmmendolaNYJM. AmmendolaNYJ,@ ATL,6,1,0,2,2,0
Jason MyersSEAJ. MyersSEA,vs LA,5,2,2,2,1,0
Matt PraterARIM. PraterARI,vs SF,5,2,2,2,1,0
Jason SandersMIAJ. SandersMIA,@ TB,5,2,2,1,1,0
Ka'imi FairbairnHOUK. FairbairnHOU,vs NE,4,3,1,2,1,0
Joey SlyeWASJ. SlyeWAS,@ ARI,4,1,1,1,1,0
Daniel CarlsonLVD. CarlsonLV,vs CHI,3,0,0,1,1,0
Cody ParkeyNOC. ParkeyNO,@ WAS,3,5,3,0,0,0
Justin TuckerBALJ. TuckerBAL,vs IND,3,0,0,1,1,0
Tristan VizcainoLACT. VizcainoLAC,vs CLE,3,5,3,0,0,0
Evan McPhersonCINE. McPhersonCIN,vs GB,2,2,2,2,0,0
Matthew WrightJAXM. WrightJAX,vs TEN,1,2,1,1,0,0
