Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Younghoe KooATLY. KooATL,vs NO,18,2,2,5,4,2
Cade YorkCLEC. YorkCLE,@ CAR,16,2,2,4,4,1
Chris BoswellPITC. BoswellPIT,@ CIN,13,2,2,4,3,1
Greg JosephMING. JosephMIN,vs GB,13,2,2,3,3,1
Ryan SuccopTBR. SuccopTB,@ DAL,13,1,1,5,4,0
Brandon McManusDENB. McManusDEN,@ SEA,10,1,1,4,3,0
Riley PattersonJAXR. PattersonJAX,@ WAS,10,1,1,4,3,0
Harrison ButkerKCH. ButkerKC,@ ARI,9,4,4,1,1,1
Daniel CarlsonLVD. CarlsonLV,@ LAC,9,1,1,2,2,1
Wil LutzNOW. LutzNO,@ ATL,9,1,1,3,2,1
Rodrigo BlankenshipARIR. BlankenshipARI,@ HOU,8,2,2,3,2,0
Randy BullockTENR. BullockTEN,vs NYG,8,2,2,3,2,0
Jake ElliottPHIJ. ElliottPHI,@ DET,8,5,5,1,1,0
Ka'imi FairbairnHOUK. FairbairnHOU,vs IND,8,2,2,2,2,0
Evan McPhersonCINE. McPhersonCIN,vs PIT,8,1,0,3,2,1
Jason SandersMIAJ. SandersMIA,vs NE,8,2,2,2,2,0
Tyler BassBUFT. BassBUF,@ LA,7,4,4,1,1,0
Matt GayLAM. GayLA,vs BUF,6,1,1,1,1,1
Dustin HopkinsLACD. HopkinsLAC,vs LV,6,3,3,2,1,0
Eddy PineiroCARE. PineiroCAR,vs CLE,6,3,3,1,1,0
Justin TuckerBALJ. TuckerBAL,@ NYJ,6,3,3,1,1,0
Brett MaherDALB. MaherDAL,vs TB,5,0,0,1,1,1
Jason MyersSEAJ. MyersSEA,vs DEN,5,2,2,1,1,0
Austin SeibertDETA. SeibertDET,vs PHI,5,5,5,0,0,0
Robbie GouldSFR. GouldSF,@ CHI,4,1,1,1,1,0
Greg ZuerleinNYJG. ZuerleinNYJ,vs BAL,3,1,0,2,1,0
Joey SlyeWASJ. SlyeWAS,vs JAX,2,2,2,0,0,0
Mason CrosbyGBM. CrosbyGB,@ MIN,1,1,1,0,0,0
Nick FolkNEN. FolkNE,@ MIA,1,1,1,0,0,0
Graham GanoNYGG. GanoNYG,@ TEN,1,1,1,0,0,0
Matt PraterARIM. PraterARI,vs KC,1,1,1,0,0,0
Cairo SantosCHIC. SantosCHI,vs SF,1,3,1,0,0,0
