Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Dallas CowboysDallas,vs ATL,26,2.0,3,0,0,1,1,3,111,103,214
Miami DolphinsMiami,vs BAL,21,4.0,1,0,1,0,1,10,210,94,304
San Francisco 49ersSan Francisco,vs LA,19,2.0,2,0,0,0,1,10,226,52,278
Philadelphia EaglesPhiladelphia,@ DEN,18,1.0,0,0,1,1,1,13,212,96,308
Green Bay PackersGreen Bay,vs SEA,17,3.0,2,0,0,0,0,0,133,75,208
Indianapolis ColtsIndianapolis,vs JAX,17,3.0,0,0,1,1,1,17,152,179,331
Buffalo BillsBuffalo,@ NYJ,15,1.0,4,0,1,0,0,17,296,70,366
Carolina PanthersCarolina,@ ARI,15,4.0,1,0,1,0,0,10,104,65,169
New England PatriotsNew England,vs CLE,14,5.0,1,0,0,0,0,7,118,99,217
Detroit LionsDetroit,@ PIT,10,0.0,1,0,2,0,0,16,242,145,387
Kansas City ChiefsKansas City,@ LV,10,2.0,1,0,1,0,0,14,249,50,299
Minnesota VikingsMinnesota,@ LAC,8,2.0,1,0,0,0,0,20,171,82,253
Washington Football TeamWashington,vs TB,8,0.0,2,0,0,0,0,19,220,53,273
Pittsburgh SteelersPittsburgh,vs DET,8,4.0,0,0,0,0,0,16,77,229,306
Seattle SeahawksSeattle,@ GB,7,1.0,1,0,0,0,0,17,287,106,393
Tampa Bay BuccaneersTampa Bay,@ WAS,7,5.0,0,0,1,0,0,29,226,94,320
Tennessee TitansTennessee,vs NO,7,4.0,0,0,1,0,0,21,287,86,373
New York JetsNY Jets,vs BUF,6,2.0,1,0,1,0,0,45,350,139,489
Los Angeles ChargersLA Chargers,vs MIN,5,2.0,0,0,1,0,0,27,278,103,381
Baltimore RavensBaltimore,@ MIA,5,4.0,0,0,0,0,0,22,290,60,350
Arizona CardinalsArizona,vs CAR,4,0.0,1,0,1,0,0,34,175,166,341
Denver BroncosDenver,vs PHI,4,2.0,1,0,0,0,0,30,170,216,386
New Orleans SaintsNew Orleans,@ TEN,3,2.0,0,0,0,0,0,23,198,66,264
Jacksonville JaguarsJacksonville,@ IND,2,1.0,0,0,0,0,0,23,168,127,295
Las Vegas RaidersLas Vegas,vs KC,2,0.0,0,0,1,0,0,41,422,94,516
Cleveland BrownsCleveland,@ NE,2,2.0,0,0,0,0,0,45,268,184,452
Atlanta FalconsAtlanta,@ DAL,2,0.0,0,0,1,0,0,43,317,114,431
Los Angeles RamsLA Rams,@ SF,1,1.0,0,0,0,0,0,31,179,156,335
