Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Joshua KartyLAJ. KartyLA,vs MIA,19,0,0,6,5,2
Jason SandersMIAJ. SandersMIA,@ LA,15,2,2,3,3,2
Ka'imi FairbairnHOUK. FairbairnHOU,vs DET,13,2,2,4,3,1
Joey SlyeNEJ. SlyeNE,@ CHI,13,1,1,4,4,0
Tyler BassBUFT. BassBUF,@ IND,12,3,3,3,3,0
Jake BatesDETJ. BatesDET,@ HOU,12,2,2,2,2,2
John Parker RomoNEJ. RomoNE,@ JAX,12,0,0,4,4,0
Jake MoodySFJ. MoodySF,@ TB,11,2,2,6,3,0
Harrison ButkerKCH. ButkerKC,vs DEN,10,1,1,3,3,0
Jake ElliottPHIJ. ElliottPHI,@ DAL,10,4,4,2,2,0
Eddy PineiroCARE. PineiroCAR,vs NYG,10,2,2,2,2,1
Cameron DickerLACC. DickerLAC,vs TEN,9,3,3,2,2,0
Zane GonzalezWASZ. GonzalezWAS,vs PIT,9,3,3,2,2,0
Matt GayINDM. GayIND,vs BUF,8,2,2,2,2,0
Blake GrupeNOB. GrupeNO,vs ATL,8,2,2,2,2,0
Chase McLaughlinTBC. McLaughlinTB,vs SF,8,2,2,2,2,0
Chad RylandARIC. RylandARI,vs NYJ,7,4,4,1,1,0
Brandon AubreyDALB. AubreyDAL,vs PHI,6,0,0,2,2,0
Spencer ShraderKCS. ShraderKC,@ ARI,6,0,0,2,2,0
Nick FolkTENN. FolkTEN,@ LAC,5,2,2,2,1,0
Graham GanoNYGG. GanoNYG,@ CAR,5,2,2,2,1,0
Younghoe KooATLY. KooATL,@ NO,5,2,2,4,1,0
Chris BoswellPITC. BoswellPIT,@ WAS,4,4,4,0,0,0
Evan McPhersonCINE. McPhersonCIN,@ BAL,4,4,4,0,0,0
Cairo SantosCHIC. SantosCHI,vs NE,3,0,0,1,1,0
Justin TuckerBALJ. TuckerBAL,vs CIN,3,4,3,0,0,0
Wil LutzDENW. LutzDEN,@ KC,2,2,2,2,0,0
Cam LittleJAXC. LittleJAX,vs MIN,1,1,1,0,0,0
