Player,Game,Pts*,XPA,XPM,FGA,FGM,50+
Greg ZuerleinG. Zuerlein,NYJ@MIN,18.00,1,1,5,5,1
Michael BadgleyM. Badgley,JAX@DET,16.00,4,4,4,4,0
Robbie GouldR. Gould,MIA@SF,15.00,3,3,4,4,0
Younghoe KooY. Koo,PIT@ATL,14.00,1,1,3,3,2
Matt GayM. Gay,SEA@LA,13.00,2,2,3,3,1
Brandon McManusB. McManus,DEN@BAL,13.00,0,0,4,3,2
Matthew WrightM. Wright,PIT@ATL,13.00,1,1,4,4,0
Daniel CarlsonD. Carlson,LAC@LV,11.00,3,3,3,2,1
Greg JosephG. Joseph,NYJ@MIN,11.00,3,3,2,2,1
Wil LutzW. Lutz,NO@TB,10.00,1,1,3,3,0
Chase McLaughlinC. McLaughlin,IND@DAL,9.00,1,1,2,2,1
Evan McPhersonE. McPherson,KC@CIN,9.00,3,3,2,2,0
Jason MyersJ. Myers,SEA@LA,9.00,3,3,2,2,0
Cade YorkC. York,CLE@HOU,9.00,3,3,2,2,0
Mason CrosbyM. Crosby,GB@CHI,8.00,2,2,2,2,0
Cameron DickerC. Dicker,LAC@LV,8.00,2,2,3,2,0
Graham GanoG. Gano,WAS@NYG,8.00,2,2,3,2,0
Joey SlyeJ. Slye,WAS@NYG,8.00,2,2,3,2,0
Cairo SantosC. Santos,GB@CHI,7.00,2,1,3,2,0
Tyler BassT. Bass,BUF@NE,6.00,3,3,1,1,0
Harrison ButkerH. Butker,KC@CIN,6.00,3,3,2,1,0
Ka'imi FairbairnK. Fairbairn,CLE@HOU,6.00,0,0,2,2,0
Brett MaherB. Maher,IND@DAL,6.00,7,6,0,0,0
Riley PattersonR. Patterson,JAX@DET,6.00,0,0,2,2,0
Jake ElliottJ. Elliott,TEN@PHI,5.00,5,5,0,0,0
Jason SandersJ. Sanders,MIA@SF,5.00,2,2,1,1,0
Ryan SuccopR. Succop,NO@TB,5.00,2,2,1,1,0
Randy BullockR. Bullock,TEN@PHI,4.00,1,1,1,1,0
Nick FolkN. Folk,BUF@NE,4.00,1,1,2,1,0
Justin TuckerJ. Tucker,DEN@BAL,4.00,1,1,1,1,0
