Player,Game,Pts*,XPA,XPM,FGA,FGM,50+
Wil LutzW. Lutz,MIN@DEN,17.00,0,0,5,5,1
Tyler BassT. Bass,NYJ@BUF,16.00,3,2,4,4,1
Cairo SantosC. Santos,CHI@DET,16.00,2,2,4,4,1
Jason MyersJ. Myers,SEA@LA,14.00,1,1,4,3,2
Brandon McManusB. McManus,TEN@JAX,10.00,4,4,2,2,0
Evan McPhersonE. McPherson,CIN@BAL,10.00,2,2,3,2,1
Jason SandersJ. Sanders,LV@MIA,10.00,2,2,3,2,1
Justin TuckerJ. Tucker,CIN@BAL,10.00,4,4,2,2,0
Brandon AubreyB. Aubrey,DAL@CAR,9.00,4,3,2,2,0
Jake MoodyJ. Moody,TB@SF,9.00,3,3,2,2,0
Cameron DickerC. Dicker,LAC@GB,8.00,2,2,2,2,0
Greg JosephG. Joseph,MIN@DEN,8.00,2,2,2,2,0
Randy BullockR. Bullock,NYG@WAS,7.00,4,4,1,1,0
Daniel CarlsonD. Carlson,LV@MIA,7.00,1,1,2,2,0
Dustin HopkinsD. Hopkins,PIT@CLE,7.00,1,1,2,2,0
Joey SlyeJ. Slye,NYG@WAS,7.00,2,1,2,2,0
Matt PraterM. Prater,ARI@HOU,6.00,1,1,1,1,1
Harrison ButkerH. Butker,PHI@KC,5.00,2,2,1,1,0
Anders CarlsonA. Carlson,LAC@GB,5.00,3,2,2,1,0
Lucas HavrisikL. Havrisik,SEA@LA,5.00,2,2,1,1,0
Chris BoswellC. Boswell,PIT@CLE,4.00,1,1,1,1,0
Eddy PineiroE. Pineiro,DAL@CAR,4.00,1,1,1,1,0
Matt AmmendolaM. Ammendola,ARI@HOU,3.00,3,3,1,0,0
Jake ElliottJ. Elliott,PHI@KC,3.00,3,3,0,0,0
Riley PattersonR. Patterson,CHI@DET,3.00,3,3,0,0,0
Nick FolkN. Folk,TEN@JAX,2.00,2,2,0,0,0
Chase McLaughlinC. McLaughlin,TB@SF,2.00,2,2,0,0,0
