Player,Game,Pts*,Passing_Att,Passing_Cmp,Passing_Yds,Passing_TD,Passing_Int,Passing_2Pt,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_2Pt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_2Pt,Fumble_FL,Fumble_TD
Lamar JacksonL. Jackson,DET@BAL,40.00,27,21,357,3,0,0,9,36,1,0,0,0,0,0,1,0
Patrick MahomesP. Mahomes,LAC@KC,40.00,42,32,424,4,1,0,4,29,0,0,0,0,0,0,0,0
Gardner MinshewG. Minshew,CLE@IND,33.00,23,15,305,2,1,0,3,29,2,0,0,0,0,0,3,0
D'Onta ForemanD. Foreman,LV@CHI,29.00,0,0,0,0,0,0,16,89,2,0,3,31,1,0,0,0
Josh AllenJ. Allen,BUF@NE,28.00,41,27,265,2,1,1,7,17,1,0,0,0,0,0,1,0
Jalen HurtsJ. Hurts,MIA@PHI,28.00,31,23,279,2,1,0,11,21,1,0,0,0,0,0,1,0
Kirk CousinsK. Cousins,SF@MIN,25.00,45,35,378,2,1,0,2,-1,0,0,0,0,0,0,0,0
Tyrod TaylorT. Taylor,WAS@NYG,25.00,29,18,279,2,0,0,8,25,0,0,0,0,0,0,0,0
Jordan AddisonJ. Addison,SF@MIN,24.00,0,0,0,0,0,0,0,0,0,0,7,123,2,0,0,0
Mac JonesM. Jones,BUF@NE,23.00,30,25,272,2,0,0,3,11,0,0,0,0,0,0,0,0
Travis KelceT. Kelce,LAC@KC,23.00,0,0,0,0,0,0,0,0,0,0,12,179,1,0,0,0
Gus EdwardsG. Edwards,DET@BAL,20.00,0,0,0,0,0,0,14,64,1,0,1,80,0,0,0,0
Christian McCaffreyC. McCaffrey,SF@MIN,20.00,0,0,0,0,0,0,15,45,1,0,3,51,1,0,1,0
A.J. BrownA. Brown,MIA@PHI,19.00,0,0,0,0,0,0,0,0,0,0,10,137,1,0,0,0
Derek CarrD. Carr,JAX@NO,19.00,55,33,301,1,1,1,3,14,0,0,0,0,0,0,0,0
Travis EtienneT. Etienne,JAX@NO,19.00,0,0,0,0,0,0,14,53,2,0,3,24,0,0,0,0
Trevor LawrenceT. Lawrence,JAX@NO,19.00,29,20,204,1,0,0,8,59,0,0,0,0,0,0,0,0
Jordan LoveJ. Love,GB@DEN,19.00,31,21,180,2,1,0,3,21,0,0,0,0,0,0,0,0
Mark AndrewsM. Andrews,DET@BAL,18.00,0,0,0,0,0,0,0,0,0,0,4,63,2,0,0,0
Josh DownsJ. Downs,CLE@IND,18.00,0,0,0,0,0,0,0,0,0,0,5,125,1,0,0,0
Baker MayfieldB. Mayfield,ATL@TB,18.00,42,27,275,1,1,0,3,32,0,0,0,0,0,0,0,0
Geno SmithG. Smith,ARI@SEA,18.00,24,18,219,2,1,0,6,10,0,0,0,0,0,0,1,0
Jahmyr GibbsJ. Gibbs,DET@BAL,17.00,0,0,0,0,0,0,11,68,1,0,9,58,0,0,0,0
Alvin KamaraA. Kamara,JAX@NO,17.00,0,0,0,0,0,0,17,62,0,0,12,91,0,1,0,0
Jonathan TaylorJ. Taylor,CLE@IND,17.00,0,0,0,0,0,0,18,75,1,0,3,45,0,0,0,0
Saquon BarkleyS. Barkley,WAS@NYG,16.00,0,0,0,0,0,0,21,77,0,0,3,41,1,0,1,0
Desmond RidderD. Ridder,ATL@TB,16.00,25,19,250,0,0,0,6,38,1,0,0,0,0,0,3,0
James CookJ. Cook,BUF@NE,15.00,0,0,0,0,0,0,13,56,0,0,3,46,1,0,0,0
Joshua DobbsJ. Dobbs,ARI@SEA,15.00,33,19,146,0,0,0,7,43,1,0,0,0,0,0,0,0
Jerome FordJ. Ford,CLE@IND,15.00,0,0,0,0,0,0,11,74,1,0,2,20,0,0,0,0
Kareem HuntK. Hunt,CLE@IND,15.00,0,0,0,0,0,0,10,31,2,0,0,0,0,0,0,0
Puka NacuaP. Nacua,PIT@LA,15.00,0,0,0,0,0,0,0,0,0,0,8,154,0,0,0,0
Kenny PickettK. Pickett,PIT@LA,15.00,25,17,230,0,0,0,8,0,1,0,0,0,0,0,0,0
Matthew StaffordM. Stafford,PIT@LA,15.00,29,14,231,1,1,1,1,8,0,0,0,0,0,0,0,0
Darren WallerD. Waller,WAS@NYG,15.00,0,0,0,0,0,0,0,0,0,0,7,98,1,0,0,0
Russell WilsonR. Wilson,GB@DEN,15.00,29,20,194,1,0,0,1,21,0,0,0,0,0,0,0,0
Tyson BagentT. Bagent,LV@CHI,14.00,29,21,162,1,0,0,3,24,0,0,0,0,0,0,0,0
Mike EvansM. Evans,ATL@TB,14.00,0,0,0,0,0,0,0,0,0,0,6,82,1,0,0,0
Tyreek HillT. Hill,MIA@PHI,14.00,0,0,0,0,0,0,0,0,0,0,11,88,1,0,0,0
Christian KirkC. Kirk,JAX@NO,14.00,0,0,0,0,0,0,0,0,0,0,6,90,1,0,1,0
Michael PittmanM. Pittman,CLE@IND,14.00,0,0,0,0,0,0,0,0,0,0,2,83,1,0,0,0
Marquez Valdes-ScantlingM. Valdes-Scantling,LAC@KC,14.00,0,0,0,0,0,0,0,0,0,0,3,84,1,0,0,0
Dallas GoedertD. Goedert,MIA@PHI,13.00,0,0,0,0,0,0,0,0,0,0,5,77,1,0,0,0
