Player,Game,Pts*,XPA,XPM,FGA,FGM,50+
Brandon AubreyB. Aubrey,PHI@DAL,21.00,3,3,4,4,3
Greg ZuerleinG. Zuerlein,HOU@NYJ,16.00,3,3,3,3,2
Lucas HavrisikL. Havrisik,LA@BAL,13.00,2,2,3,3,1
Chase McLaughlinC. McLaughlin,TB@ATL,11.00,3,3,2,2,1
Justin TuckerJ. Tucker,LA@BAL,11.00,2,2,3,3,0
Anders CarlsonA. Carlson,GB@NYG,10.00,1,1,4,3,0
Evan McPhersonE. McPherson,IND@CIN,10.00,4,4,2,2,0
Cairo SantosC. Santos,DET@CHI,10.00,2,1,3,3,0
Jake ElliottJ. Elliott,PHI@DAL,9.00,1,1,2,2,1
Dustin HopkinsD. Hopkins,JAX@CLE,9.00,4,4,1,1,1
Jason SandersJ. Sanders,TEN@MIA,9.00,3,3,3,2,0
Tyler BassT. Bass,BUF@KC,8.00,2,2,2,2,0
Nick FolkN. Folk,TEN@MIA,8.00,2,2,2,2,0
Chris BoswellC. Boswell,NE@PIT,6.00,1,1,1,1,1
Randy BullockR. Bullock,GB@NYG,6.00,3,3,2,1,0
Wil LutzW. Lutz,DEN@LAC,6.00,3,3,1,1,0
Eddy PineiroE. Pineiro,CAR@NO,6.00,0,0,3,2,0
Harrison ButkerH. Butker,BUF@KC,5.00,2,2,1,1,0
Younghoe KooY. Koo,TB@ATL,5.00,2,2,3,1,0
Blake GrupeB. Grupe,CAR@NO,4.00,4,4,1,0,0
Jake MoodyJ. Moody,SEA@SF,4.00,4,4,0,0,0
Jason MyersJ. Myers,SEA@SF,4.00,1,1,1,1,0
Greg JosephG. Joseph,MIN@LV,3.00,0,0,2,1,0
Brandon McManusB. McManus,JAX@CLE,3.00,3,3,0,0,0
Chad RylandC. Ryland,NE@PIT,3.00,3,3,0,0,0
Cameron DickerC. Dicker,DEN@LAC,1.00,1,1,0,0,0
Riley PattersonR. Patterson,DET@CHI,1.00,2,1,0,0,0
Matt AmmendolaM. Ammendola,HOU@NYJ,0.00,1,0,0,0,0
Matt GayM. Gay,IND@CIN,0.00,1,0,1,0,0
