Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Buffalo BillsBuffalo,@ MIA,21,2.0,3,0,0,0,1,10,212,139,351
Houston TexansHouston,vs CHI,18,7.0,2,0,0,0,0,13,134,71,205
Pittsburgh SteelersPittsburgh,@ DEN,16,2.0,2,0,0,0,0,6,231,64,295
Minnesota VikingsMinnesota,vs SF,16,6.0,1,0,1,1,0,17,294,102,396
Arizona CardinalsArizona,vs LA,14,5.0,0,0,1,0,0,10,192,53,245
Los Angeles ChargersLA Chargers,@ CAR,14,2.0,1,0,0,0,0,3,69,90,159
New York JetsNY Jets,@ TEN,14,4.0,1,0,1,1,0,17,170,130,300
Green Bay PackersGreen Bay,vs IND,14,1.0,3,0,0,0,0,10,198,140,338
Cleveland BrownsCleveland,@ JAX,13,4.0,0,1,0,0,0,13,196,127,323
Kansas City ChiefsKansas City,vs CIN,12,3.0,0,0,1,0,1,25,246,74,320
New Orleans SaintsNew Orleans,@ DAL,11,3.0,2,0,0,0,0,19,285,68,353
Detroit LionsDetroit,vs TB,11,5.0,1,0,0,0,0,20,146,70,216
San Francisco 49ersSan Francisco,@ MIN,9,4.0,1,0,1,0,0,23,257,146,403
Seattle SeahawksSeattle,@ NE,9,3.0,0,0,0,1,0,20,125,185,310
Denver BroncosDenver,vs PIT,9,2.0,0,0,0,0,0,13,110,141,251
Cincinnati BengalsCincinnati,@ KC,9,2.0,2,0,1,0,0,26,137,149,286
Chicago BearsChicago,@ HOU,9,3.0,0,0,1,0,0,19,235,75,310
Tampa Bay BuccaneersTampa Bay,@ DET,8,0.0,2,0,0,0,0,16,324,139,463
Baltimore RavensBaltimore,vs LV,8,5.0,1,0,0,0,0,26,233,27,260
Washington CommandersWashington,vs NYG,7,1.0,0,0,1,0,0,18,175,129,304
Jacksonville JaguarsJacksonville,vs CLE,6,2.0,0,0,0,0,0,18,172,125,297
Indianapolis ColtsIndianapolis,@ GB,6,0.0,0,0,1,0,0,16,122,261,383
New York GiantsNY Giants,@ WAS,6,5.0,0,0,0,0,0,21,210,215,425
Carolina PanthersCarolina,vs LAC,6,1.0,1,0,1,0,0,26,130,219,349
Dallas CowboysDallas,vs NO,5,1.0,1,0,0,1,0,44,242,190,432
Las Vegas RaidersLas Vegas,@ BAL,5,2.0,1,0,0,0,0,23,232,151,383
Atlanta FalconsAtlanta,@ PHI,4,1.0,1,0,0,0,0,21,179,186,365
New England PatriotsNew England,vs SEA,4,3.0,0,0,0,0,0,23,312,46,358
Los Angeles RamsLA Rams,@ ARI,3,1.0,0,0,1,0,0,41,258,231,489
Tennessee TitansTennessee,vs NYJ,3,2.0,0,0,0,0,0,24,164,101,265
Philadelphia EaglesPhiladelphia,vs ATL,2,1.0,0,0,0,0,0,22,233,152,385
Miami DolphinsMiami,vs BUF,0,0.0,0,0,0,0,0,31,139,108,247
