Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Younghoe KooATLY. KooATL,vs LV,21,4,4,5,5,1
Graham GanoNYGG. GanoNYG,@ CIN,13,1,1,4,4,0
Jason SandersMIAJ. SandersMIA,@ NYJ,12,2,2,2,2,2
Robbie GouldSFR. GouldSF,@ LA,11,2,2,4,3,0
Dustin HopkinsWASD. HopkinsWAS,@ DAL,11,5,5,2,2,0
Jason MyersSEAJ. MyersSEA,@ PHI,11,2,2,3,3,0
Dan BaileyMIND. BaileyMIN,vs CAR,10,2,2,2,2,1
Nick FolkNEN. FolkNE,vs ARI,10,2,2,2,2,1
Greg ZuerleinDALG. ZuerleinDAL,vs WAS,10,1,1,3,3,0
Tyler BassBUFT. BassBUF,vs LAC,9,3,3,2,2,0
Harrison ButkerKCH. ButkerKC,@ TB,9,3,3,2,2,0
Ka'imi FairbairnHOUK. FairbairnHOU,@ DET,9,4,3,2,2,0
Stephen GostkowskiTENS. GostkowskiTEN,@ IND,9,6,6,1,1,0
Cody ParkeyCLEC. ParkeyCLE,@ JAX,9,3,3,2,2,0
Aldrick RosasJAXA. RosasJAX,vs CLE,9,1,1,3,2,1
Joey SlyeCARJ. SlyeCAR,@ MIN,9,3,3,4,2,0
Matt GayLAM. GayLA,vs SF,8,2,2,2,2,0
Chris BoswellPITC. BoswellPIT,vs BAL,7,2,1,2,2,0
Wil LutzNOW. LutzNO,@ DEN,7,4,4,1,1,0
Daniel CarlsonLVD. CarlsonLV,@ ATL,6,0,0,2,2,0
Ryan SuccopTBR. SuccopTB,vs KC,6,3,3,1,1,0
Randy BullockCINR. BullockCIN,vs NYG,5,2,2,1,1,0
Mason CrosbyGBM. CrosbyGB,vs CHI,5,6,5,0,0,0
Zane GonzalezARIZ. GonzalezARI,@ NE,5,2,2,2,1,0
Brandon McManusDENB. McManusDEN,vs NO,5,0,0,1,1,1
Matt PraterDETM. PraterDET,vs HOU,5,2,2,1,1,0
Cairo SantosCHIC. SantosCHI,@ GB,5,2,2,1,1,0
Michael BadgleyLACM. BadgleyLAC,@ BUF,3,1,0,1,1,0
Sergio CastilloNYJS. CastilloNYJ,vs MIA,3,0,0,2,1,0
Jake ElliottPHIJ. ElliottPHI,vs SEA,3,1,0,1,1,0
Rodrigo BlankenshipINDR. BlankenshipIND,vs TEN,2,2,2,0,0,0
Justin TuckerBALJ. TuckerBAL,@ PIT,2,2,2,0,0,0
