Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Greg ZuerleinNYJG. ZuerleinNYJ,vs CIN,16,0,0,4,4,2
Graham GanoNYGG. GanoNYG,vs DAL,14,1,1,4,3,2
Cairo SantosCHIC. SantosCHI,vs HOU,13,2,2,3,3,1
Riley PattersonJAXR. PattersonJAX,@ LAC,12,3,3,3,3,0
Matt PraterARIM. PraterARI,vs LA,12,0,0,4,4,0
Younghoe KooATLY. KooATL,@ SEA,11,3,3,2,2,1
Brett MaherDALB. MaherDAL,@ NYG,11,2,2,4,3,0
Jason MyersSEAJ. MyersSEA,vs ATL,11,2,2,3,3,0
Daniel CarlsonLVD. CarlsonLV,@ TEN,10,1,1,3,3,0
Nick FolkNEN. FolkNE,vs BAL,10,2,2,2,2,1
Chase McLaughlinINDC. McLaughlinIND,vs KC,10,2,2,2,2,1
Eddy PineiroCARE. PineiroCAR,vs NO,10,1,1,3,3,0
Evan McPhersonCINE. McPhersonCIN,@ NYJ,9,3,3,3,2,0
Justin TuckerBALJ. TuckerBAL,@ NE,9,5,4,1,1,1
Ka'imi FairbairnHOUK. FairbairnHOU,@ CHI,8,2,2,2,2,0
Matt GayLAM. GayLA,@ ARI,8,2,2,2,2,0
Randy BullockTENR. BullockTEN,vs LV,6,3,3,1,1,0
Jake ElliottPHIJ. ElliottPHI,@ WAS,6,3,3,1,1,0
Robbie GouldSFR. GouldSF,@ DEN,6,1,1,1,1,1
Austin SeibertDETA. SeibertDET,@ MIN,6,3,3,3,1,0
Ryan SuccopTBR. SuccopTB,vs GB,6,0,0,2,2,0
Tyler BassBUFT. BassBUF,@ MIA,5,2,2,2,1,0
Chris BoswellPITC. BoswellPIT,@ CLE,5,2,2,2,1,0
Brandon McManusDENB. McManusDEN,vs SF,5,0,0,2,1,1
Cade YorkCLEC. YorkCLE,vs PIT,5,3,2,1,1,0
Dustin HopkinsLACD. HopkinsLAC,vs JAX,4,1,1,1,1,0
Greg JosephMING. JosephMIN,vs DET,4,4,4,2,0,0
Matt AmmendolaGBM. AmmendolaGB,@ IND,3,1,0,2,1,0
Jason SandersMIAJ. SandersMIA,vs BUF,3,3,3,0,0,0
Mason CrosbyGBM. CrosbyGB,@ TB,2,2,2,0,0,0
Wil LutzNOW. LutzNO,@ CAR,2,2,2,2,0,0
