Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Wil LutzNOW. LutzNO,vs CIN,14,2,2,4,4,0
Ryan SuccopTBR. SuccopTB,@ PIT,14,0,0,4,4,1
Dustin HopkinsLACD. HopkinsLAC,vs DEN,13,1,1,4,4,0
Jason MyersSEAJ. MyersSEA,vs ARI,13,1,1,4,4,0
Brandon McManusDENB. McManusDEN,@ LAC,12,1,1,3,3,1
Cade YorkCLEC. YorkCLE,vs NE,11,0,0,3,3,1
Chris BoswellPITC. BoswellPIT,vs TB,10,2,2,2,2,1
Harrison ButkerKCH. ButkerKC,vs BUF,10,2,2,3,2,1
Jake ElliottPHIJ. ElliottPHI,vs DAL,10,2,2,2,2,1
Greg ZuerleinNYJG. ZuerleinNYJ,@ GB,9,3,3,3,2,0
Nick FolkNEN. FolkNE,@ CLE,8,5,5,2,1,0
Chase McLaughlinINDC. McLaughlinIND,vs JAX,8,2,2,2,2,0
Evan McPhersonCINE. McPhersonCIN,@ NO,8,3,3,1,1,1
Justin TuckerBALJ. TuckerBAL,@ NYG,8,2,2,3,2,0
Tyler BassBUFT. BassBUF,@ KC,6,3,3,1,1,0
Graham GanoNYGG. GanoNYG,vs BAL,6,3,3,1,1,0
Matt GayLAM. GayLA,vs CAR,6,3,3,1,1,0
Joey SlyeWASJ. SlyeWAS,@ CHI,6,0,0,3,2,0
Brett MaherDALB. MaherDAL,@ PHI,5,2,2,2,1,0
Mason CrosbyGBM. CrosbyGB,vs NYJ,4,1,1,2,1,0
Greg JosephMING. JosephMIN,@ MIA,4,2,1,1,1,0
Younghoe KooATLY. KooATL,vs SF,4,4,4,0,0,0
Eddy PineiroCARE. PineiroCAR,@ LA,4,1,1,1,1,0
Jason SandersMIAJ. SandersMIA,vs MIN,4,1,1,2,1,0
Matt AmmendolaGBM. AmmendolaGB,@ SEA,3,1,0,1,1,0
Riley PattersonJAXR. PattersonJAX,@ IND,3,3,3,0,0,0
Robbie GouldSFR. GouldSF,@ ATL,2,2,2,0,0,0
Cairo SantosCHIC. SantosCHI,vs WAS,1,1,1,0,0,0
