Team,Game,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Miami DolphinsMIA,MIA@NYJ,24.00,7.0,2,0,0,0,1,13,130,29,159
Dallas CowboysDAL,WAS@DAL,19.00,4.0,1,0,0,0,1,10,268,108,376
Denver BroncosDEN,CLE@DEN,19.00,4.0,0,1,3,0,0,12,162,107,269
Baltimore RavensBAL,BAL@LAC,18.00,3.0,1,0,3,0,0,10,193,86,279
San Francisco 49ersSF,SF@SEA,17.00,6.0,1,0,1,0,0,13,132,88,220
Chicago BearsCHI,CHI@MIN,17.00,2.0,4,0,0,0,0,10,169,73,242
Green Bay PackersGB,GB@DET,16.00,3.0,0,0,3,0,1,22,324,140,464
Atlanta FalconsATL,NO@ATL,15.00,1.0,1,0,1,0,1,15,296,148,444
New York GiantsNYG,NE@NYG,15.00,2.0,3,0,0,0,0,7,136,147,283
New England PatriotsNE,NE@NYG,15.00,6.0,0,0,1,0,0,10,162,58,220
Indianapolis ColtsIND,TB@IND,14.00,6.0,1,0,1,0,0,20,173,125,298
New York JetsNYJ,MIA@NYJ,14.00,2.0,2,0,1,0,1,34,228,167,395
Minnesota VikingsMIN,CHI@MIN,14.00,3.0,0,0,2,0,0,12,199,118,317
Tennessee TitansTEN,CAR@TEN,13.00,4.0,0,0,1,0,0,10,162,96,258
Pittsburgh SteelersPIT,PIT@CIN,13.00,4.0,1,0,0,0,0,10,197,25,222
Seattle SeahawksSEA,SF@SEA,9.00,1.0,1,0,0,0,1,31,208,169,377
Cincinnati BengalsCIN,PIT@CIN,8.00,2.0,0,0,1,0,0,16,268,153,421
Los Angeles RamsLA,LA@ARI,8.00,4.0,0,0,0,0,0,14,219,73,292
Buffalo BillsBUF,BUF@PHI,6.00,2.0,1,0,1,0,0,37,193,185,378
Los Angeles ChargersLAC,BAL@LAC,6.00,2.0,0,0,0,0,0,20,164,197,361
Kansas City ChiefsKC,KC@LV,5.00,1.0,0,0,0,0,0,17,235,123,358
Carolina PanthersCAR,CAR@TEN,5.00,1.0,0,0,0,0,0,17,184,80,264
New Orleans SaintsNO,NO@ATL,5.00,0.0,2,0,0,0,0,24,168,228,396
Jacksonville JaguarsJAX,JAX@HOU,5.00,4.0,0,0,0,0,0,21,261,91,352
Philadelphia EaglesPHI,BUF@PHI,5.00,1.0,1,0,0,1,0,34,332,173,505
Tampa Bay BuccaneersTB,TB@IND,5.00,2.0,1,0,0,0,0,27,239,155,394
Cleveland BrownsCLE,CLE@DEN,3.00,1.0,0,0,1,0,0,29,125,169,294
Houston TexansHOU,JAX@HOU,3.00,0.0,1,0,0,0,0,24,364,81,445
Arizona CardinalsARI,LA@ARI,2.00,0.0,1,0,0,0,0,37,229,228,457
Las Vegas RaidersLV,KC@LV,1.00,1.0,0,0,0,0,0,31,291,69,360
Detroit LionsDET,GB@DET,0.00,0.0,0,0,0,0,0,29,268,109,377
Washington CommandersWAS,WAS@DAL,0.00,0.0,0,0,0,0,0,45,331,100,431
