Player,Game,Pts*,XPA,XPM,FGA,FGM,50+
Matt GayM. Gay,IND@BAL,24.00,1,1,5,5,4
Evan McPhersonE. McPherson,LA@CIN,17.00,1,1,5,4,2
Jason MyersJ. Myers,CAR@SEA,17.00,2,2,5,5,0
Tyler BassT. Bass,BUF@WAS,15.00,4,4,3,3,1
Chris BoswellC. Boswell,PIT@LV,13.00,2,2,3,3,1
Ka'imi FairbairnK. Fairbairn,HOU@JAX,13.00,4,4,3,3,0
Jake MoodyJ. Moody,NYG@SF,12.00,3,3,3,3,0
Matt PraterM. Prater,DAL@ARI,12.00,1,1,3,3,1
Harrison ButkerH. Butker,CHI@KC,11.00,5,5,2,2,0
Jake ElliottJ. Elliott,PHI@TB,11.00,2,2,3,3,0
Dustin HopkinsD. Hopkins,TEN@CLE,11.00,3,3,2,2,1
Brandon AubreyB. Aubrey,DAL@ARI,10.00,1,1,3,3,0
Brett MaherB. Maher,LA@CIN,10.00,1,1,3,3,0
Jason SandersJ. Sanders,DEN@MIA,10.00,10,10,0,0,0
Eddy PineiroE. Pineiro,CAR@SEA,9.00,3,3,3,2,0
Chad RylandC. Ryland,NE@NYJ,9.00,1,1,4,2,1
Graham GanoG. Gano,NYG@SF,8.00,0,0,2,2,1
Wil LutzW. Lutz,DEN@MIA,8.00,2,2,2,2,0
Riley PattersonR. Patterson,ATL@DET,8.00,2,2,2,2,0
Justin TuckerJ. Tucker,IND@BAL,7.00,2,2,2,1,1
Greg JosephG. Joseph,LAC@MIN,6.00,3,3,1,1,0
Younghoe KooY. Koo,ATL@DET,6.00,0,0,3,2,0
Greg ZuerleinG. Zuerlein,NE@NYJ,6.00,1,1,1,1,1
Blake GrupeB. Grupe,NO@GB,5.00,2,2,2,1,0
Brandon McManusB. McManus,HOU@JAX,5.00,2,2,3,1,0
Joey SlyeJ. Slye,BUF@WAS,5.00,0,0,1,1,1
Anders CarlsonA. Carlson,NO@GB,4.00,1,1,1,1,0
Daniel CarlsonD. Carlson,PIT@LV,4.00,1,1,1,1,0
Cameron DickerC. Dicker,LAC@MIN,4.00,4,4,1,0,0
Cairo SantosC. Santos,CHI@KC,4.00,1,1,1,1,0
Nick FolkN. Folk,TEN@CLE,3.00,0,0,1,1,0
Chase McLaughlinC. McLaughlin,PHI@TB,3.00,0,0,1,1,0
