Player,Game,Pts*,XPA,XPM,FGA,FGM,50+
Jason SandersJ. Sanders,DAL@MIA,22.00,1,1,5,5,3
Cameron DickerC. Dicker,BUF@LAC,18.00,1,1,5,5,1
Younghoe KooY. Koo,IND@ATL,17.00,2,2,5,5,0
Jake ElliottJ. Elliott,NYG@PHI,15.00,3,3,4,4,0
Justin TuckerJ. Tucker,BAL@SF,15.00,3,3,4,4,0
Chase McLaughlinC. McLaughlin,JAX@TB,14.00,3,3,3,3,1
Greg ZuerleinG. Zuerlein,WAS@NYJ,14.00,3,3,3,3,1
Chris BoswellC. Boswell,CIN@PIT,12.00,4,4,2,2,1
Lucas HavrisikL. Havrisik,NO@LA,12.00,3,3,4,3,0
Anders CarlsonA. Carlson,GB@CAR,11.00,4,3,2,2,1
Chad RylandC. Ryland,NE@DEN,10.00,3,2,3,2,1
Cairo SantosC. Santos,ARI@CHI,9.00,3,3,2,2,0
Brandon AubreyB. Aubrey,DAL@MIA,8.00,2,2,2,2,0
Jason MyersJ. Myers,SEA@TEN,8.00,2,2,2,2,0
Mason CrosbyM. Crosby,NYG@PHI,7.00,2,2,1,1,1
Michael BadgleyM. Badgley,DET@MIN,6.00,4,3,1,1,0
Tyler BassT. Bass,BUF@LAC,6.00,3,3,1,1,0
Daniel CarlsonD. Carlson,LV@KC,6.00,0,0,2,2,0
Greg JosephG. Joseph,DET@MIN,6.00,3,3,1,1,0
Eddy PineiroE. Pineiro,GB@CAR,6.00,3,1,1,1,1
Matt PraterM. Prater,ARI@CHI,6.00,1,1,1,1,1
Nick FolkN. Folk,SEA@TEN,5.00,2,2,1,1,0
Jake MoodyJ. Moody,BAL@SF,5.00,2,2,1,1,0
Matt GayM. Gay,IND@ATL,4.00,1,1,1,1,0
Joey SlyeJ. Slye,WAS@NYJ,4.00,4,4,0,0,0
Evan McPhersonE. McPherson,CIN@PIT,3.00,0,0,1,1,0
Harrison ButkerH. Butker,LV@KC,2.00,2,2,1,0,0
Ka'imi FairbairnK. Fairbairn,CLE@HOU,2.00,2,2,0,0,0
Blake GrupeB. Grupe,NO@LA,2.00,2,2,0,0,0
Dustin HopkinsD. Hopkins,CLE@HOU,2.00,2,2,0,0,0
Wil LutzW. Lutz,NE@DEN,1.00,1,1,1,0,0
Brandon McManusB. McManus,JAX@TB,0.00,0,0,1,0,0
