Player,Game,Pts*,Passing_Att,Passing_Cmp,Passing_Yds,Passing_TD,Passing_Int,Passing_2Pt,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_2Pt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_2Pt,Fumble_FL,Fumble_TD
Jalen HurtsJ. Hurts,PHI@ARI,43.00,44,24,338,3,0,0,11,63,1,0,0,0,0,0,0,0
Ryan TannehillR. Tannehill,DET@TEN,42.00,27,21,273,3,0,0,3,21,2,0,0,0,0,0,0,0
Josh AllenJ. Allen,BUF@DEN,41.00,40,28,359,2,0,0,3,33,2,0,0,0,0,0,0,0
Kyler MurrayK. Murray,PHI@ARI,39.00,36,27,406,3,1,0,8,29,1,0,0,0,0,0,1,0
Lamar JacksonL. Jackson,JAX@BAL,34.00,22,17,243,3,1,0,10,35,1,0,0,0,0,0,0,0
Matt RyanM. Ryan,TB@ATL,33.00,49,34,356,3,0,0,1,16,0,0,0,0,0,0,0,0
Patrick MahomesP. Mahomes,KC@NO,32.00,47,26,254,3,0,1,7,37,0,0,0,0,0,0,1,0
Justin HerbertJ. Herbert,LAC@LV,31.00,32,22,314,2,0,0,4,14,1,0,0,0,0,0,0,0
Tom BradyT. Brady,TB@ATL,27.00,45,31,390,2,0,0,2,-2,0,0,0,0,0,0,0,0
Marcus MariotaM. Mariota,LAC@LV,27.00,28,17,226,1,1,0,9,88,1,0,0,0,0,0,0,0
David MontgomeryD. Montgomery,CHI@MIN,27.00,0,0,0,0,0,0,32,146,2,0,1,16,0,0,0,0
Deshaun WatsonD. Watson,HOU@IND,27.00,41,33,373,2,0,0,6,25,0,0,0,0,0,0,1,0
Drew BreesD. Brees,KC@NO,25.00,34,15,234,3,1,0,0,0,0,0,0,0,0,0,0,0
Baker MayfieldB. Mayfield,CLE@NYG,24.00,32,27,297,2,0,0,4,11,0,0,0,0,0,0,0,0
Tony PollardT. Pollard,SF@DAL,24.00,0,0,0,0,0,0,12,69,2,0,6,63,0,0,0,0
Kirk CousinsK. Cousins,CHI@MIN,22.00,35,24,271,2,1,0,3,25,0,0,0,0,0,0,0,0
Derrick HenryD. Henry,DET@TEN,22.00,0,0,0,0,0,0,24,147,1,1,2,5,0,0,0,0
Calvin RidleyC. Ridley,TB@ATL,22.00,0,0,0,0,0,0,0,0,0,0,10,163,1,0,0,0
Giovani BernardG. Bernard,PIT@CIN,21.00,0,0,0,0,0,0,25,83,1,0,1,14,1,0,0,0
Dalvin CookD. Cook,CHI@MIN,21.00,0,0,0,0,0,0,24,132,1,0,5,27,0,0,0,0
DeAndre HopkinsD. Hopkins,PHI@ARI,21.00,0,0,0,0,0,0,1,1,0,0,9,169,1,0,1,0
Aaron JonesA. Jones,CAR@GB,21.00,0,0,0,0,0,0,20,145,1,0,3,13,0,0,0,0
Philip RiversP. Rivers,HOU@IND,21.00,28,22,228,2,0,0,1,-1,0,0,0,0,0,0,0,0
Darren WallerD. Waller,LAC@LV,21.00,0,0,0,0,0,0,0,0,0,0,9,150,1,0,0,0
Salvon AhmedS. Ahmed,NE@MIA,20.00,0,0,0,0,0,0,23,122,1,0,1,5,0,1,0,0
Andy DaltonA. Dalton,SF@DAL,20.00,33,19,209,2,0,0,2,8,0,0,0,0,0,0,0,0
Melvin GordonM. Gordon,BUF@DEN,20.00,0,0,0,0,0,0,11,61,2,0,4,20,0,0,0,0
Gardner MinshewG. Minshew,JAX@BAL,20.00,29,22,226,2,0,0,2,9,0,0,0,0,0,0,1,0
Ryan FinleyR. Finley,PIT@CIN,19.00,13,7,89,1,0,0,10,47,1,0,0,0,0,0,0,0
Zach PascalZ. Pascal,HOU@IND,19.00,0,0,0,0,0,0,0,0,0,0,5,79,2,0,0,0
Aaron RodgersA. Rodgers,CAR@GB,19.00,29,20,143,1,0,0,5,26,1,0,0,0,0,0,0,0
Jared GoffJ. Goff,NYJ@LA,18.00,34,22,209,2,1,0,1,9,0,0,0,0,0,0,0,0
D'Andre SwiftD. Swift,DET@TEN,18.00,0,0,0,0,0,0,15,67,2,0,4,15,0,0,1,0
Teddy BridgewaterT. Bridgewater,CAR@GB,17.00,35,21,258,0,0,0,4,26,1,0,0,0,0,0,1,0
Corey DavisC. Davis,DET@TEN,17.00,0,0,0,0,0,0,0,0,0,0,4,110,1,0,0,0
Leonard FournetteL. Fournette,TB@ATL,17.00,0,0,0,0,0,0,14,49,2,0,3,16,0,0,0,0
Marvin JonesM. Jones,DET@TEN,17.00,0,0,0,0,0,0,0,0,0,0,10,112,1,0,0,0
Matthew StaffordM. Stafford,DET@TEN,17.00,32,22,252,1,0,0,2,12,0,0,0,0,0,0,0,0
Tua TagovailoaT. Tagovailoa,NE@MIA,17.00,26,20,145,0,1,1,3,9,2,0,0,0,0,0,0,0
Josh JacobsJ. Jacobs,LAC@LV,16.00,0,0,0,0,0,0,26,76,1,0,3,38,0,0,0,0
J.D. McKissicJ. McKissic,SEA@WAS,16.00,0,0,0,0,0,0,13,51,0,0,9,56,1,0,0,0
Benjamin SnellB. Snell,PIT@CIN,16.00,0,0,0,0,0,0,18,84,1,0,3,23,0,0,0,0
Antonio BrownA. Brown,TB@ATL,15.00,0,0,0,0,0,0,0,0,0,0,5,93,1,0,0,0
Sam DarnoldS. Darnold,NYJ@LA,15.00,31,22,207,1,0,0,5,18,0,0,0,0,0,0,0,0
Dwayne HaskinsD. Haskins,SEA@WAS,15.00,55,38,295,1,2,0,3,28,0,0,0,0,0,0,0,0
Alvin KamaraA. Kamara,KC@NO,15.00,0,0,0,0,0,0,11,54,0,0,3,40,1,0,0,0
Nick MullensN. Mullens,SF@DAL,15.00,36,21,219,2,2,0,1,7,0,0,0,0,0,0,1,0
Jonathan TaylorJ. Taylor,HOU@IND,15.00,0,0,0,0,0,0,16,83,1,0,4,12,0,0,0,0
Mitchell TrubiskyM. Trubisky,CHI@MIN,15.00,21,15,202,1,1,0,8,34,0,0,0,0,0,0,0,0
Robert WoodsR. Woods,NYJ@LA,15.00,0,0,0,0,0,0,1,40,0,0,6,56,1,0,0,0
Kendrick BourneK. Bourne,SF@DAL,14.00,0,0,0,0,0,0,0,0,0,0,4,86,1,0,0,0
Stefon DiggsS. Diggs,BUF@DEN,14.00,0,0,0,0,0,0,0,0,0,0,11,147,0,0,0,0
Travis KelceT. Kelce,KC@NO,14.00,0,0,0,0,0,0,0,0,0,0,8,68,1,1,0,0
Brandon AiyukB. Aiyuk,SF@DAL,13.00,0,0,0,0,0,0,0,0,0,0,9,73,1,0,0,0
Le'Veon BellL. Bell,KC@NO,13.00,0,0,0,0,0,0,15,62,1,0,1,14,0,0,0,0
J.K. DobbinsJ. Dobbins,JAX@BAL,13.00,0,0,0,0,0,0,14,64,1,0,1,17,0,0,0,0
Drew LockD. Lock,BUF@DEN,13.00,32,20,132,1,0,0,5,37,0,0,0,0,0,0,1,0
D.J. MooreD. Moore,CAR@GB,13.00,0,0,0,0,0,0,1,1,0,0,6,131,0,0,0,0
Devin SingletaryD. Singletary,BUF@DEN,13.00,0,0,0,0,0,0,8,68,1,0,3,16,0,0,0,0
Greg WardG. Ward,PHI@ARI,13.00,0,0,0,0,0,0,0,0,0,0,4,15,2,0,0,0
Russell WilsonR. Wilson,SEA@WAS,13.00,27,18,121,1,1,0,6,52,0,0,0,0,0,0,0,0
Mark AndrewsM. Andrews,JAX@BAL,12.00,0,0,0,0,0,0,0,0,0,0,5,66,1,0,0,0
Nick ChubbN. Chubb,CLE@NYG,12.00,0,0,0,0,0,0,15,50,1,0,2,16,0,0,0,0
Noah FantN. Fant,BUF@DEN,12.00,0,0,0,0,0,0,0,0,0,0,8,68,1,0,0,0
Russell GageR. Gage,TB@ATL,12.00,0,0,0,0,0,0,0,0,0,0,5,68,1,0,0,0
Hunter HenryH. Henry,LAC@LV,12.00,0,0,0,0,0,0,0,0,0,0,5,65,1,0,0,0
Tyler HigbeeT. Higbee,NYJ@LA,12.00,0,0,0,0,0,0,0,0,0,0,4,67,1,0,0,0
David JohnsonD. Johnson,HOU@IND,12.00,0,0,0,0,0,0,8,27,0,0,11,106,0,0,0,0
Tyron JohnsonT. Johnson,LAC@LV,12.00,0,0,0,0,0,0,0,0,0,0,3,61,1,0,0,0
Jarvis LandryJ. Landry,CLE@NYG,12.00,0,0,0,0,0,0,0,0,0,0,7,61,1,0,0,0
Jeffery WilsonJ. Wilson,SF@DAL,12.00,0,0,0,0,0,0,16,60,1,0,0,0,0,0,0,0
Cole BeasleyC. Beasley,BUF@DEN,11.00,0,0,0,0,0,0,0,0,0,0,8,112,0,0,0,0
Tyler ConklinT. Conklin,CHI@MIN,11.00,0,0,0,0,0,0,0,0,0,0,3,57,1,0,0,0
Chase EdmondsC. Edmonds,PHI@ARI,11.00,0,0,0,0,0,0,11,47,0,0,3,19,1,0,0,0
Darrynton EvansD. Evans,DET@TEN,11.00,0,0,0,0,0,0,8,30,0,0,2,27,1,0,0,0
Mike EvansM. Evans,TB@ATL,11.00,0,0,0,0,0,0,0,0,0,0,6,110,0,0,0,0
Frank GoreF. Gore,NYJ@LA,11.00,0,0,0,0,0,0,23,59,1,0,1,6,0,0,0,0
Chad HansenC. Hansen,HOU@IND,11.00,0,0,0,0,0,0,0,0,0,0,2,55,1,0,0,0
Tyreek HillT. Hill,KC@NO,11.00,0,0,0,0,0,0,1,1,0,0,6,53,1,0,0,0
Carlos HydeC. Hyde,SEA@WAS,11.00,0,0,0,0,0,0,2,55,1,0,2,8,0,0,0,0
Diontae JohnsonD. Johnson,PIT@CIN,11.00,0,0,0,0,0,0,0,0,0,0,8,59,1,0,0,0
Darnell MooneyD. Mooney,CHI@MIN,11.00,0,0,0,0,0,0,1,16,0,0,4,49,1,0,0,0
Cam NewtonC. Newton,NE@MIA,11.00,27,17,209,0,0,0,9,38,0,0,0,0,0,0,0,0
C.J. BeathardC. Beathard,SF@DAL,10.00,7,5,100,1,0,0,0,0,0,0,0,0,0,0,0,0
A.J. BrownA. Brown,DET@TEN,10.00,0,0,0,0,0,0,0,0,0,0,5,44,1,0,0,0
Keke CouteeK. Coutee,HOU@IND,10.00,0,0,0,0,0,0,0,0,0,0,5,53,1,0,1,0
Austin HooperA. Hooper,CLE@NYG,10.00,0,0,0,0,0,0,0,0,0,0,5,41,1,0,0,0
Justin JeffersonJ. Jefferson,CHI@MIN,10.00,0,0,0,0,0,0,0,0,0,0,8,104,0,0,0,0
Ty JohnsonT. Johnson,NYJ@LA,10.00,0,0,0,0,0,0,3,16,0,0,6,39,1,0,0,0
Jakobi MeyersJ. Meyers,NE@MIA,10.00,0,0,0,0,0,0,0,0,0,0,7,111,0,0,1,0
James RobinsonJ. Robinson,JAX@BAL,10.00,0,0,0,0,0,0,16,35,0,0,3,18,1,0,0,0
Logan ThomasL. Thomas,SEA@WAS,10.00,0,0,0,0,0,0,0,0,0,0,13,101,0,0,0,0
Quez WatkinsQ. Watkins,PHI@ARI,10.00,0,0,0,0,0,0,0,0,0,0,3,40,1,0,0,0
Marquise BrownM. Brown,JAX@BAL,9.00,0,0,0,0,0,0,0,0,0,0,6,98,0,0,0,0
Larry FitzgeraldL. Fitzgerald,PHI@ARI,9.00,0,0,0,0,0,0,0,0,0,0,3,35,1,0,0,0
Chris GodwinC. Godwin,TB@ATL,9.00,0,0,0,0,0,0,0,0,0,0,4,36,1,0,0,0
Jalen GuytonJ. Guyton,LAC@LV,9.00,0,0,0,0,0,0,1,4,0,0,4,91,0,0,0,0
Dawson KnoxD. Knox,BUF@DEN,9.00,0,0,0,0,0,0,0,0,0,0,2,36,1,0,0,0
Ben RoethlisbergerB. Roethlisberger,PIT@CIN,9.00,38,20,170,1,1,0,2,-1,0,0,0,0,0,0,1,0
Matt BreidaM. Breida,NE@MIA,8.00,0,0,0,0,0,0,12,86,0,0,0,0,0,0,0,0
Michael GallupM. Gallup,SF@DAL,8.00,0,0,0,0,0,0,0,0,0,0,3,26,1,0,0,0
Mecole HardmanM. Hardman,KC@NO,8.00,0,0,0,0,0,0,1,-5,0,0,3,22,1,0,0,0
Lil'Jordan HumphreyL. Humphrey,KC@NO,8.00,0,0,0,0,0,0,0,0,0,0,2,29,1,0,0,0
Hayden HurstH. Hurst,TB@ATL,8.00,0,0,0,0,0,0,0,0,0,0,4,21,1,0,0,0
Jake KumerowJ. Kumerow,BUF@DEN,8.00,0,0,0,0,0,0,0,0,0,0,1,22,1,0,0,0
CeeDee LambC. Lamb,SF@DAL,8.00,0,0,0,0,0,0,0,0,0,0,5,85,0,0,0,0
Colt McCoyC. McCoy,CLE@NYG,8.00,31,19,221,0,0,0,2,3,0,0,0,0,0,0,0,0
Zack MossZ. Moss,BUF@DEN,8.00,0,0,0,0,0,0,13,81,0,0,0,0,0,0,0,0
